NAME,uid,iso3,ADM0_NAME,orgunit_le,level4,orgunit_pa,ADM1_NAME,orgunit_co,GAUL_CODE
Gaborone,VB7am4futjm,BWA,Botswana,5,South East District,Dy1sl76KWJO,Gaborone District,bw.2.Gaborone District,1
Lobatse,m9qc7MnDafM,BWA,Botswana,5,Southern,PnQKlXXlzLS,Lobatse District,bw.2.Lobatse District,2
Selebi-Phikwe,qUdeJw9Q0Vk,BWA,Botswana,5,Central District,dBanTQZVvtG,Selibe-Phikwe District,bw.2.Selibe-Phikwe District,3
Francistown,h1CepDrLWib,BWA,Botswana,5,North East District,wZl8hXAOSB0,Francistown District,bw.2.Francistown District,4
Boteti,p5JLtcOw9iv,BWA,Botswana,5,Central District,dBanTQZVvtG,Boteti District,bw.2.Boteti District,5
Chobe,e9Ze74PEe99,BWA,Botswana,5,Chobe District,ML4czwDtK10,Chobe District,bw.2.Chobe District,6
Ghanzi,saOJtBcENzM,BWA,Botswana,5,Ghanzi District,pvsGhTskezZ,Ghanzi District,bw.2.Ghanzi District,7
Kgalagadi,KrgFtpUJ20E,BWA,Botswana,5,Kgalagadi District,TNWnoYr2nga,Kgalagadi District,bw.2.Kgalagadi District,8
Kweneng East,Uz8LWtC0vYF,BWA,Botswana,5,Kweneng District,VUnIpCPLhPI,Kweneng East District,bw.2.Kweneng East District,9
Ngamiland,TnDQJQtNVCK,BWA,Botswana,5,North West District,Vvry5LAFBk2,Ngamiland District,bw.2.Ngamiland District,10
North East,nszh0FzynAQ,BWA,Botswana,5,North East District,wZl8hXAOSB0,North East District,bw.2.North East District,11
South East,YksWHI1yLuv,BWA,Botswana,5,South East District,Dy1sl76KWJO,South East District,bw.2.South East District,12
Mabutsane,GgzMAsHUgHC,BWA,Botswana,5,Southern,PnQKlXXlzLS,Mabutsane District,bw.2.Mabutsane District,13
Okavango,ML9AwCIGjAx,BWA,Botswana,5,North West District,Vvry5LAFBk2,Okavango District,bw.2.Okavango District,14
Hukuntsi District,oGXMBBGIRJl,BWA,Botswana,5,Kgalagadi District,TNWnoYr2nga,Hukuntsi District,bw.2.Hukuntsi District,15
Goodhope,y8A4MNQse4l,BWA,Botswana,5,Southern,PnQKlXXlzLS,Goodhope District,bw.2.Goodhope District,16
Kweneng West,w2kp2bfOmNv,BWA,Botswana,5,Kweneng District,VUnIpCPLhPI,Kweneng West District,bw.2.kweneng West District,17
Mahalapye,iY69BUSqcnC,BWA,Botswana,5,Central District,dBanTQZVvtG,Mahalapye District,bw.2.Mahalapye District,18
Tutume,gchw5PMi4N2,BWA,Botswana,5,Central District,dBanTQZVvtG,Tutume District,bw.2.Tutume District,19
Serowe/Palapye,YmeyoDakwFX,BWA,Botswana,5,Central District,dBanTQZVvtG,Serowe/Palapye District,bw.2.Serowe/Palapye District,20
Bobirwa,gGqaAXuUGpb,BWA,Botswana,5,Central District,dBanTQZVvtG,Bobirwa District,bw.2.Bobirwa District,21
Jwaneng,dEkUfWWZQ61,BWA,Botswana,5,Southern,PnQKlXXlzLS,Jwaneng District,bw.2.Jwaneng District,22
Southern,LEUjALXInGD,BWA,Botswana,5,Southern,PnQKlXXlzLS,Southern District,bw.2.Southern District,23
Kgatleng,yNcvm7JYBfi,BWA,Botswana,5,Kgatleng District,HQWVsxPWw8B,Kgatleng District,bw.2.Kgatleng District,24
