GAUL_CODE,NAME,iso3,ADM0_NAME,ADM1_NAME,Source,Timestamp,GlobalID,AMAPCODE
25002,Ajeromi/Ifelodun,NGA,Nigeria,LA,NGA_TEAMGIS,8/7/2018,b44f187e-1ebd-4ef3-9bc3-3e2be785e640,NIE LAS AGL
27015,Mariga,NGA,Nigeria,NI,EHA_ABRAHAM,1/25/2017,344d9dce-9643-4c16-a1f0-595d97dea13c,NIE NIS BMG
4018,Onitsha South,NGA,Nigeria,AN,WHO,8/8/2015,28bad07d-261e-4f59-ada6-5836ddf47d88,NIE ANS FGG
518,Suru,NGA,Nigeria,KB,EHA-TOSIN,8/8/2015,26e64265-20f4-4372-831e-bba54a414408,NIE KBS DKG
505,Bagudu,NGA,Nigeria,KB,EHA-MICHAEL,4/20/2016,559d2be3-71e7-4f37-b6b4-031d29287593,NIE KBS BGD
514,Maiyama,NGA,Nigeria,KB,EHA-SAMUEL,8/8/2015,3239bc28-d97e-4539-bb82-3a8a4d9f1d7e,NIE KBS MYM
519,Wasagu-Danko,NGA,Nigeria,KB,EHA-MICHAEL,2/9/2016,18756e0e-0db4-4515-8fa5-28c61e49a1a7,NIE KBS RBH
801,Anka,NGA,Nigeria,ZA,EHA-OLUSEYE,9/5/2016,e12946eb-5eb6-4968-842c-bcf84cfbc0b2,NIE ZAS ANK
19016,Kudan,NGA,Nigeria,KD,eHA-Tosin,8/8/2015,9772a843-1b44-446b-9bf6-b8eb803b9389,NIE KDS HKY
19005,Ikara,NGA,Nigeria,KD,EHA-OLUSEYE,12/22/2015,5c1feb9a-eca5-4de0-a0ce-b2bf2d30d388,NIE KDS KAR
25004,Amuwo Odofin,NGA,Nigeria,LA,NGA_TEAMGIS,8/7/2018,2a5b0ca2-4065-45f2-9a2f-2545dc1fe9c3,NIE LAS FST
25018,Surulere,NGA,Nigeria,LA,EHA-OLUSEYE,5/10/2016,95c41101-4143-4abf-8adb-f63b79b09555,NIE LAS LSR
17027,Onuimo,NGA,Nigeria,IM,GRID,5/16/2018,9d87368d-fa6e-4294-990f-f4bf40d68bc4,NIE IMS KWE
20018,Ungogo,NGA,Nigeria,KN,EHA-SAMUEL,2/6/2016,8eeff76f-806e-41e4-9e40-b8ca45603649,NIE KNS UGG
20011,Sumaila,NGA,Nigeria,KN,NGA_TEAMGIS,8/8/2015,2322539f-f0cf-4263-a340-79828b2b6f1e,NIE KNS SML
513,Koko-Besse,NGA,Nigeria,KB,NGA_TEAMGIS,8/8/2015,51ebceb2-f512-423d-8695-7d134ade519f,NIE KBS BES
33023,Tai,NGA,Nigeria,RI,WHO,8/8/2015,5403c032-1c54-4c3a-92cd-dca5ad0b265d,NIE RVS SKN
19004,Igabi,NGA,Nigeria,KD,EHA-OLUSEYE,9/5/2016,852169ab-2c76-4e9a-9d0e-35a6e93e073a,NIE KDS TRK
810,Maru,NGA,Nigeria,ZA,EHA-OLUSEYE,9/5/2016,cb999436-935f-4996-8748-e2da58c83643,NIE ZAS MRR
33019,Omumma,NGA,Nigeria,RI,WHO,8/8/2015,f94fd30a-edae-4b7f-9c6d-cbc0761a986f,NIE RVS BER
16006,Gombe,NGA,Nigeria,GO,GRID,1/20/2017,efb6c09a-e495-43ba-b15b-47f2b9953c8d,NIE GMS GME
27022,Shiroro,NGA,Nigeria,NI,EHA-OLUSEYE,12/14/2015,bf84e5ed-8b0d-47cf-b833-86347131b6c6,NIE NIS KUT
708,Gulani,NGA,Nigeria,YO,Abraham.Oluseye,8/13/2017,ff4b0ecf-1feb-4c02-9c76-64f28c02e6c9,NIE YBS GLN
105,Biu,NGA,Nigeria,BR,Abraham.Oluseye,7/20/2017,8d2b50e8-c1b8-4cd5-af99-bba17d802432,NIE BOS BBU
4013,Njikoka,NGA,Nigeria,AN,GRID,8/8/2015,d1791c20-67c2-405c-ba79-d971977fc583,NIE ANS ABN
703,Damaturu,NGA,Nigeria,YO,Abraham.Oluseye,8/13/2017,2d89d961-234e-4860-a524-1ff40ba5ab54,NIE YBS DTR
120,Magumeri,NGA,Nigeria,BR,Abraham.Oluseye,8/13/2017,32fb415a-bb40-4617-a6e2-67af8fda579f,NIE BOS MGM
19001,Birnin Gwari,NGA,Nigeria,KD,EHA-OLUSEYE,6/7/2016,8d63fba5-0389-4f93-bd84-35e527376454,NIE KDS BNG
805,Bungudu,NGA,Nigeria,ZA,EHA-SAMUEL,2/4/2016,5904150b-39d1-4136-9a01-d49c7eaaae27,NIE ZAS BUG
