AMAP11,AMAP11H,GAUL_CODE,uid,name_1,level_1,level1na_1,level2na_1,iso3,ADM0_NAME,ADM1_NAME,NAME
CAE LIT NDM,CAE-LIT-NDM,2138514,Q966kXsyR20,Ndom,5,Global,Africa,CMR,Cameroon,Littoral,Ndom
CAE LIT NGA,CAE-LIT-NGA,2137643,HBG4z9eT0gp,Ngambe,5,Global,Africa,CMR,Cameroon,Littoral,Ngambe
CAE LIT YAB,CAE-LIT-YAB,2138105,GvTDrgjcU6R,Yabassi,5,Global,Africa,CMR,Cameroon,Littoral,Yabassi
CAE LIT NKS,CAE-LIT-NKS,2138259,A0XPpQxn05b,Nkongsamba,5,Global,Africa,CMR,Cameroon,Littoral,Nkongsamba
CAE LIT MAN,CAE-LIT-MAN,2137641,O4ls7EsyEQP,Manjo,5,Global,Africa,CMR,Cameroon,Littoral,Manjo
CAE LIT MEL,CAE-LIT-MEL,2137385,VFxTcRztfUD,Melong,5,Global,Africa,CMR,Cameroon,Littoral,Melong
CAE LIT LOU,CAE-LIT-LOU,2137378,Ns6ZJi0iwJj,Loum,5,Global,Africa,CMR,Cameroon,Littoral,Loum
CAE LIT ABL,CAE-LIT-ABL,5274220,VT9tkLtgee9,Abo,5,Global,Africa,CMR,Cameroon,Littoral,Abo
CAE LIT MBN,CAE-LIT-MBN,2137377,nUeu5anINhj,Mbanga,5,Global,Africa,CMR,Cameroon,Littoral,Mbanga
CAE LIT DEI,CAE-LIT-DEI,2137367,wE76sY8tY19,Deido,5,Global,Africa,CMR,Cameroon,Littoral,Deido
CAE LIT JAP,CAE-LIT-JAP,5238182,bLF8QVYOUu3,Japoma,5,Global,Africa,CMR,Cameroon,Littoral,Japoma
CAE LIT BON,CAE-LIT-BON,2137640,dWexWkTwCVe,Bonassama,5,Global,Africa,CMR,Cameroon,Littoral,Bonassama
CAE LIT MBU,CAE-LIT-MBU,2137642,bIoxP4GA2JE,Mbangue,5,Global,Africa,CMR,Cameroon,Littoral,Mbangue
CAE LIT LOG,CAE-LIT-LOG,2138260,ZGqUbMqrxSK,Logbaba,5,Global,Africa,CMR,Cameroon,Littoral,Logbaba
CAE LIT NEW,CAE-LIT-NEW,2137376,k7lIVnxWbm7,New Bell,5,Global,Africa,CMR,Cameroon,Littoral,New Bell
CAE LIT NYL,CAE-LIT-NYL,2137384,AW764lDxjdr,Nylon,5,Global,Africa,CMR,Cameroon,Littoral,Nylon
CAE LIT POU,CAE-LIT-POU,2137381,AFX0djkDX6A,Pouma,5,Global,Africa,CMR,Cameroon,Littoral,Pouma
CAE LIT EDE,CAE-LIT-EDE,2137644,jEG1QQsvDeX,Edea,5,Global,Africa,CMR,Cameroon,Littoral,Edea
