,iso3,Country_who,Country_mbg,Region,,,,,,,,
4,AFG,NA,Afghanistan,n,,,,,,,,
7,ASM,NA,American Samoa,n,,Algeria,,,,Algeria,,
6,ARM,NA,Armenia,n,,Angola,,,,Egypt,,
8,AZE,NA,Azerbaijan,n,,Benin,,,,Libya,,
5,AGO,Angola,Angola,,,Morocco,,,,Morocco,,Democratic Republic of the Congo
13,BHR,NA,Bahrain,n,,Botswana,,,,South Sudan,,
12,BGD,NA,Bangladesh,n,,Burkina Faso,,,,Sudan,,
14,BLZ,NA,Belize,n,,Burundi,,,,Tunisia,,
9,BDI,Burundi,Burundi,,,Western Sahara,,,,Western Sahara,,Algeria
10,BEN,Benin,Benin,,,,,,,,,Uganda
11,BFA,Burkina Faso,Burkina Faso,,,East Africa Countries List,,,,,,Sudan
17,BTN,NA,Bhutan,n,,Cameroon,,,,,,
15,BOL,NA,Bolivia,n,,Central Africa Countries List,,,,,,
16,BRA,NA,Brazil,n,,Central African Republic,,,,,,
60,KHM,NA,Cambodia,n,,Chad,,,,,,
20,CHN,NA,China,n,,Comoros,,,,,,
25,COL,NA,Colombia,n,,Congo,,,,,,
18,BWA,Botswana,Botswana,,,Madagascar,,,,,,Cameroon
19,CAF,Central African Republic,Central African Republic,,,Malawi,,,,,,Niger
28,CRI,NA,Costa Rica,n,,Cote d'Ivoire (Ivory Coast),,,,,,
21,CIV,Côte d'Ivoire,Cote d'Ivoire,,,Mayotte,,,,,,Mali
22,CMR,Cameroon,Cameroon,,,Mozambique,,,,,,Malawi
23,COD,Democratic Republic of the Congo,Democratic Republic of the Congo,,,Reunion,,,,,,Zambia
24,COG,Congo,Congo,,,Rwanda,,,,,,Senegal
29,CUB,NA,Cuba,n,,Democratic Republic of the Congo,,,,,,
26,COM,Comoros,Comoros,,,Somalia,,,,,,Chad
27,CPV,Cape Verde,Cape Verde,,,Tanzania,,,,,,Guinea
30,DJI,NA,Djibouti,yes,,Djibouti,,,,,,
31,DMA,NA,Dominica,n,,Egypt,,,,,,
32,DOM,NA,Dominican Republic,n,,Equatorial Guinea,,,,,,
34,ECU,NA,Ecuador,n,,Eritrea,,,,,,
35,EGY,NA,Egypt,yes,,Ethiopia,,,,,,
33,DZA,Algeria,Algeria,,,Cape Verde,,,,,,Burundi
100,SLV,NA,El Salvador,n,,Gabon,,,,,,
39,FSM,NA,Federated States of Micronesia,n,,Gambia,,,,,,
36,ERI,Eritrea,Eritrea,,,Ghana,,,,,,Sierra Leone
37,ETH,Ethiopia,Ethiopia,,,Guinea,,,,,,Central African Republic
38,FJI,NA,Fiji,n,,Guinea-Bissau,,,,,,
1,NA,NA,French Guiana,n,,Kenya,,,,,,
40,GAB,Gabon,Gabon,,,Mali,,,,,,Liberia
41,GEO,NA,Georgia,n,,Lesotho,,,,,,
42,GHA,Ghana,Ghana,,,Niger,,,,,,Gabon
43,GIN,Guinea,Guinea,,,Nigeria,,,,,,Namibia
44,GMB,Gambia,The Gambia,,,Saint Helena,,,,,,Botswana
45,GNB,Guinea-Bissau,Guinea-Bissau,,,Senegal,,,,,,Lesotho
46,GNQ,Equatorial Guinea,Equatorial Guinea,,,Sierra Leone,,,,,,Equatorial Guinea
47,GRD,NA,Grenada,n,,Liberia,,,,,,
48,GTM,NA,Guatemala,n,,Libya,,,,,,
49,GUY,NA,Guyana,n,,Mauritania,,,,,,
51,HTI,NA,Haiti,n,,Mauritius,,,,,,
50,HND,NA,Honduras,n,,Namibia,,,,,,
53,IND,NA,India,n,,Sao Tome and Principe,,,,,,
52,IDN,NA,Indonesia,n,,Seychelles,,,,,,
54,IRN,NA,Iran,n,,South Africa Countries List,,,,,,
55,IRQ,NA,Iraq,n,,South Sudan,,,,,,
56,JAM,NA,Jamaica,n,,Sudan,,,,,,
57,JOR,NA,Jordan,n,,Togo,,,,,,
58,KEN,Kenya,Kenya,,,,,,,,,Seychelles
61,KIR,NA,Kiribati,n,,Tunisia,,,,,,
59,KGZ,NA,Kyrgyzstan,n,,Uganda,,,,,,
62,LAO,NA,Laos,n,,Zambia,,,,,,
80,MYS,NA,Malaysia,n,,Zimbabwe,,,,,,
63,LBR,Liberia,Liberia,,,South Africa,,,,,,
70,MDV,NA,Maldives,n,,,,,,,,
72,MHL,NA,Marshall Islands,n,,,,,,,,
66,LSO,Lesotho,Lesotho,,,Swaziland,,,,,,
71,MEX,NA,Mexico,n,,,,,,,,
68,MDA,NA,Moldova,n,,,,,,,,
69,MDG,Madagascar,Madagascar,,,,,,,,,
75,MNG,NA,Mongolia,n,,,,,,,,
67,MAR,NA,Morocco,n,,,,,,,,
74,MMR,NA,Myanmar,n,,,,,,,,
73,MLI,Mali,Mali,,,,,,,,,
85,NPL,NA,Nepal,n,,,,,,,,
84,NIC,NA,Nicaragua,n,,,,,,,,
76,MOZ,Mozambique,Mozambique,,,,,,,,,
77,MRT,Mauritania,Mauritania,,,,,,,,,
78,MUS,Mauritius,NA,,,,,,,,,
79,MWI,Malawi,Malawi,,,,,,,,,
83,NGA,NA,Nigeria,yes,,,,,,,,
81,NAM,Namibia,Namibia,,,,,,,,,
82,NER,Niger,Niger,,,,,,,,,
92,PRK,NA,North Korea,n,,,,,,,,
86,OMN,NA,Oman,n,,,,,,,,
87,PAK,NA,Pakistan,n,,,,,,,,
94,PSE,NA,Palestine,n,,,,,,,,
88,PAN,NA,Panama,n,,,,,,,,
91,PNG,NA,Papua New Guinea,n,,,,,,,,
93,PRY,NA,Paraguay,n,,,,,,,,
89,PER,NA,Peru,n,,,,,,,,
90,PHL,NA,Philippines,n,,,,,,,,
64,LCA,NA,Saint Lucia,n,,,,,,,,
121,VCT,NA,Saint Vincent and the Grenadines,n,,,,,,,,
125,WSM,NA,Samoa,n,,,,,,,,
95,RWA,Rwanda,Rwanda,,,,,,,,,
98,SLB,NA,Solomon Islands,n,,,,,,,,
97,SEN,Senegal,Senegal,,,,,,,,,
101,SOM,NA,Somalia,n,,,,,,,,
99,SLE,Sierra Leone,Sierra Leone,,,,,,,,,
65,LKA,NA,Sri Lanka,n,,,,,,,,
96,SDN,NA,Sudan,yes,,,,,,,,
102,SSD,South Sudan,South Sudan,,,,,,,,,
103,STP,Sao Tome and Principe,Sao Tome and Principe,,,,,,,,,
104,SUR,NA,Suriname,n,,,,,,,,
105,SWZ,Swaziland,Swaziland,,,,,,,,,
106,SYC,Seychelles,Seychelles,,,,,,,,,
