,iso3,Country_who,Country_mbg
1,AFG,Afghanistan,Afghanistan
2,AGO,Angola,Angola
3,ARM,Armenia,Armenia
4,ASM,NA,American Samoa
5,AZE,Azerbaijan,Azerbaijan
6,BDI,Burundi,Burundi
7,BEN,Benin,Benin
8,BFA,Burkina Faso,Burkina Faso
9,BGD,Bangladesh,Bangladesh
10,BHR,Bahrain,Bahrain
11,BLZ,Belize,Belize
12,BOL,Bolivia,Bolivia
13,BRA,Brazil,Brazil
14,BTN,Bhutan,Bhutan
15,BWA,Botswana,Botswana
16,CAF,CAR,Central African Republic
17,CHN,NA,China
18,CIV,Côte d'Ivoire,Cote d'Ivoire
19,CMR,Cameroon,Cameroon
20,COD,DRCongo,Democratic Republic of the Congo
21,COG,Congo,Congo
22,COL,Colombia,Colombia
23,COM,Comoros,Comoros
24,CPV,Cabo Verde,Cape Verde
25,CRI,Costa Rica,Costa Rica
26,CUB,Cuba,Cuba
27,DJI,NA,Djibouti
28,DMA,Dominica,Dominica
29,DOM,Dominican Republic,Dominican Republic
30,DZA,Algeria,Algeria
31,ECU,Ecuador,Ecuador
32,EGY,NA,Egypt
33,ERI,Eritrea,Eritrea
34,ETH,Ethiopia,Ethiopia
35,FJI,NA,Fiji
36,FSM,NA,Federated States of Micronesia
37,GAB,Gabon,Gabon
38,GEO,Georgia,Georgia
39,GHA,Ghana,Ghana
40,GIN,Guinea,Guinea
41,GMB,Gambia,The Gambia
42,GNB,Guinea-Bissau,Guinea-Bissau
43,GNQ,Equatorial Guinea,Equatorial Guinea
44,GRD,Grenada,Grenada
45,GTM,Guatemala,Guatemala
46,GUY,Guyana,Guyana
47,HND,Honduras,Honduras
48,HTI,Haiti,Haiti
49,IDN,Indonesia,Indonesia
50,IND,India,India
51,IRN,NA,Iran
52,IRQ,NA,Iraq
53,JAM,Jamaica,Jamaica
54,JOR,NA,Jordan
55,KEN,Kenya,Kenya
56,KGZ,Kyrgyzstan,Kyrgyzstan
57,KHM,NA,Cambodia
58,KIR,NA,Kiribati
59,LAO,Laos,Laos
60,LBR,Liberia,Liberia
61,LCA,Saint Lucia,Saint Lucia
62,LKA,Sri Lanka,Sri Lanka
63,LSO,Lesotho,Lesotho
64,MAR,NA,Morocco
65,MDA,Republic of Moldova,Moldova
66,MDG,Madagascar,Madagascar
67,MDV,Maldives,Maldives
68,MEX,Mexico,Mexico
69,MHL,NA,Marshall Islands
70,MLI,Mali,Mali
71,MMR,Myanmar,Myanmar
72,MNG,NA,Mongolia
73,MOZ,Mozambique,Mozambique
74,MRT,Mauritania,Mauritania
75,MWI,Malawi,Malawi
76,MYS,NA,Malaysia
77,NA,NA,French Guiana
78,NA,NA,West Bank and Gaza
79,NAM,Namibia,Namibia
80,NER,Niger,Niger
81,NGA,NA,Nigeria
82,NIC,Nicaragua,Nicaragua
83,NPL,Nepal,Nepal
84,OMN,Oman,Oman
85,PAK,Pakistan,Pakistan
86,PAN,Panama,Panama
87,PER,Peru,Peru
88,PHL,NA,Philippines
89,PNG,NA,Papua New Guinea
90,PRK,DPRKorea,North Korea
91,PRY,Paraguay,Paraguay
92,PSE,NA,Palestine
93,RWA,Rwanda,Rwanda
94,SDN,Sudan,Sudan
95,SEN,Senegal,Senegal
96,SLB,NA,Solomon Islands
97,SLE,Sierra Leone,Sierra Leone
98,SLV,El Salvador,El Salvador
99,SOM,Somalia,Somalia
100,SSD,South Sudan,South Sudan
101,STP,Sao Tome & Principe,Sao Tome and Principe
102,SUR,Suriname,Suriname
103,SWZ,Swaziland,Swaziland
104,SYC,Seychelles,Seychelles
105,SYR,NA,Syria
106,TCD,Chad,Chad
107,TGO,Togo,Togo
108,THA,Thailand,Thailand
109,TJK,Tajikistan,Tajikistan
110,TKM,Turkmenistan,Turkmenistan
111,TLS,Timor-Leste,Timor-Leste
112,TON,NA,Tonga
113,TUN,NA,Tunisia
114,TZA,Tanzania,Tanzania
115,UGA,Uganda,Uganda
116,UKR,Ukraine,Ukraine
117,URY,Uruguay,Uruguay
118,UZB,Uzbekistan,Uzbekistan
119,VCT,Saint Vincent & The Grenadines,Saint Vincent and the Grenadines
120,VEN,Venezuela,Venezuela
121,VNM,NA,Vietnam
122,VUT,NA,Vanuatu
123,WSM,NA,Samoa
124,YEM,Yemen,Yemen
125,ZAF,South Africa,South Africa
126,ZMB,Zambia,Zambia
127,ZWE,Zimbabwe,Zimbabwe
