OBJECTID,distName,constName,NAME,wardNum,GAUL_CODE,constCode,notes,mergedWard,province,area,ADM0_NAME
1,Mansa,Bahati,Lukangaba,6,5906,59,,0,Luapula,1032.06,Zambia
2,Samfya,Bangeulu,Mano,12,6712,67,,0,Luapula,479.024,Zambia
3,Kabwe,Bwacha,Muwowo East,2,402,4,,0,Central,161.572,Zambia
4,Ndola,Bwana Mkubwa,Chichele,16,3316,33,,0,Copperbelt,155.475,Zambia
5,Monze,Bweengwa,Hamangaba,6,12706,127,,0,Southern,310.216,Zambia
6,Chadiza,Chadiza,Mangwe,1,3701,37,,0,Eastern,143.874,Zambia
7,Chama,Chama North,Mazonde,1,3901,39,,0,Eastern,1095.16,Zambia
8,Chama,Chama South,Chipala,13,4013,40,,0,Eastern,1316.16,Zambia
9,Lundazi,Chasefu,Kajilime,5,4805,48,,0,Eastern,892.497,Zambia
10,Chavuma,Chavuma,Nyatanda Nyambingila,12,10312,103,,0,Northwestern,1563.66,Zambia
11,Lusaka,Chawama,Lilayi,4,7504,75,,0,Lusaka,28.2623,Zambia
12,Mansa,Mansa,Luapula,15,6115,61,,0,Luapula,1265.56,Zambia
13,Chiengi,Chiengi,Mununga,13,6513,65,,0,Luapula,356.985,Zambia
14,Ndola,Chifubu,Pamodzi,1,3401,34,,0,Copperbelt,87.9203,Zambia
15,Samfya,Chifunabuli,Mbabala,10,6810,68,,0,Luapula,583.605,Zambia
16,Kafue,Chilanga,Chinyanja,17,7217,72,,0,Lusaka,359.329,Zambia
17,Chilubi,Chilubi,Luangwa,22,8222,82,,0,Northern,742.235,Zambia
18,Kaputa,Chimbamilonga,Chubo,9,8809,88,,0,Northern,1748.79,Zambia
19,Chinsali,Chinsali,Munwakubili,11,8311,83,,0,Northern,1084.92,Zambia
20,Chipata,Chipangali,MISSING,-99,-99,41,Map only shows future wards. Maybe Nthope?,0,Eastern,1088.58,Zambia
21,Chipata,Chipata,MISSING,-99,-99,42,Map only shows future wards. Maybe Kanjala?,0,Eastern,143.308,Zambia
22,Mwense,Chipili,Nsenga,1,6201,62,,0,Luapula,1030.82,Zambia
23,Chibombo,Chisamba,Chamuka,4,104,1,,0,Central,2003.11,Zambia
24,Serenje,Chitambo,Muchinka,7,1207,12,,0,Central,1032.28,Zambia
25,Choma,Choma,Moomba,20,11520,115,,0,Southern,314.576,Zambia
26,Chongwe,Chongwe,Manyika,9,7309,73,,0,Lusaka,257.975,Zambia
27,Kalomo,Dundumwezi,Chikanta,1,11901,119,,0,Southern,878.257,Zambia
28,Luangwa,Feira,Kaunga,14,7114,71,,0,Lusaka,71.8385,Zambia
29,Gwembe,Gwembe,Chisanga,1,11801,118,,0,Southern,563.86,Zambia
30,Isoka,Mafinga,Mafinga,10,8510,85,,0,Eastern,702.871,Zambia
31,Isoka,Isoka,Nkombwa,7,8607,86,,0,Eastern,1453.5,Zambia
32,Itezhi Tezhi,Itezhi Tezhi,Itezhi Tezhi,1,13001,130,,0,Southern,8345.79,Zambia
33,Kabompo,Kabompo East,Kashinakaji,3,10403,104,,0,Northwestern,2488.77,Zambia
34,Kabompo,Kabompo West,Litoya,12,10512,105,,0,Northwestern,793.362,Zambia
35,Lusaka,Kabwata,Kamulanga,9,7609,76,,0,Lusaka,15.9607,Zambia
36,Kabwe,Kabwe Central,Mpima,16,516,5,,0,Central,180.314,Zambia
37,Kafue,Kafue,Chikupi,11,7011,70,,0,Lusaka,503.585,Zambia
38,Masaiti,Kafulafuta,Ishitwe,7,2907,29,,0,Copperbelt,392.654,Zambia
39,Kalabo,Kalabo,Nguma,16,13416,134,,0,Western,713.527,Zambia
40,Kalomo,Kalomo Central,Mayoba,10,12010,120,,0,Southern,1421.62,Zambia
41,Kitwe,Kamfinsa,MISSING,-99,-99,20,,0,Copperbelt,288.558,Zambia
42,Mpika,Kanchibiya,Lubaleshi,4,9804,98,,0,Northern,2477.35,Zambia
43,Mufulira,Kankoyo,Kangwa Nsuluka,23,2623,26,,0,Copperbelt,84.4946,Zambia
44,Lusaka,Kanyama,Kanyama,10,7710,77,,0,Lusaka,30.0195,Zambia
45,Kaoma,Kaoma Central,Litoya,5,13705,137,,0,Western,1498.91,Zambia
46,Kapiri Mposhi,Kapiri Mposhi,Lunchu,11,611,6,,0,Central,897.299,Zambia
47,Petauke,Kapoche,Manyane,8,5308,53,,0,Eastern,310.252,Zambia
48,Kaputa,Kaputa,Munkonge,22,8922,89,,0,Northern,1254.89,Zambia
49,Kasama,Kasama,Bululu,2,9002,90,,0,Northern,799.722,Zambia
50,Kasempa,Kasempa,Nyoka,17,10617,106,,0,Northwestern,2300.67,Zambia
51,Chipata,Kasenengwa,MISSING,-99,-99,43,Map only shows future wards. Maybe Ngongwe?,0,Eastern,645.215,Zambia
52,Kazungula,Katombola,Ngwezi,6,12106,121,,0,Southern,1751.42,Zambia
53,Chibombo,Katuba,Mungule,9,209,2,,0,Central,392.33,Zambia
54,Kawambwa,Kawambwa,Senga,1,5601,56,,0,Luapula,1010.03,Zambia
55,Chibombo,Keembe,Chitanda,18,318,3,,0,Central,1001.78,Zambia
56,Mufulira,Mufulira,Mutundu,11,2811,28,,0,Copperbelt,322.312,Zambia
57,Kalabo,Liuwa,Kuuli,6,13506,135,,0,Western,2877.7,Zambia
58,Livingstone,Livingstone,Kasiya,5,12305,123,,0,Southern,227.95,Zambia
