ADM1_NAME,NAME,GAUL_CODE,NOM_DS2,iso3,ADM0_NAME
Kirundo,Busoni,1004,DS Busoni,BDI,Burundi
Cibitoke,Mabayi,0601,DS Mabayi,BDI,Burundi
Cibitoke,Cibitoke,0602,DS Cibitoke,BDI,Burundi
Bubanza,Bubanza,0101,DS Bubanza,BDI,Burundi
Bubanza,Mpanda,0102,DS Mpanda,BDI,Burundi
Bujumbura Mairie,Zone Nord,0201,DS Zone Nord,BDI,Burundi
Bujumbura Mairie,Zone Centre,0202,DS Zone Centre,BDI,Burundi
Bujumbura Mairie,Zone Sud,0203,DS Zone Sud,BDI,Burundi
Bujumbura Rural,Rwibaga,0302,DS Rwibaga,BDI,Burundi
Kayanza,Kayanza,0901,DS Kayanza,BDI,Burundi
Kayanza,Musema,0902,DS Musema,BDI,Burundi
Kayanza,Gahombo,0903,DS Gahombo,BDI,Burundi
Ngozi,Ngozi,1501,DS Ngozi,BDI,Burundi
Ngozi,Kiremba,1502,DS Kiremba,BDI,Burundi
Ngozi,Buye,1503,DS Buye,BDI,Burundi
Kirundo,Kirundo,1001,DS Kirundo,BDI,Burundi
Kirundo,Vumbi,1003,DS Vumbi,BDI,Burundi
Kirundo,Mukenke,1002,DS Mukenke,BDI,Burundi
Muyinga,Muyinga,1301,DS Muyinga,BDI,Burundi
Muyinga,Giteranyi,1303,DS Giteranyi,BDI,Burundi
Muyinga,Gashoho,1302,DS Gashoho,BDI,Burundi
Gitega,Gitega,0701,DS Gitega,BDI,Burundi
Gitega,Mutaho,0703,DS Mutaho,BDI,Burundi
Gitega,Kibuye,0702,DS Kibuye,BDI,Burundi
Gitega,Ryansoro,0704,DS Ryansoro,BDI,Burundi
Muramvya,Muramvya,1201,DS Muramvya,BDI,Burundi
Muramvya,Kiganda,1202,DS Kiganda,BDI,Burundi
Karuzi,Buhiga,0801,DS Buhiga,BDI,Burundi
Karuzi,Nyabikere,0802,DS Nyabikere,BDI,Burundi
Mwaro,Kibumbu,1401,DS Kibumbu,BDI,Burundi
Mwaro,Fota,1402,DS Fota,BDI,Burundi
Cankuzo,Cankuzo,0501,DS Cankuzo,BDI,Burundi
Cankuzo,Murore,0502,DS Murore,BDI,Burundi
Ruyigi,Ruyigi,1703,DS Ruyigi,BDI,Burundi
Ruyigi,Butezi,1701,DS Butezi,BDI,Burundi
Ruyigi,Kinyinya,1702,DS Kinyinya,BDI,Burundi
Bururi,Bururi,0401,DS Bururi,BDI,Burundi
Bururi,Matana,0402,DS Matana,BDI,Burundi
Rutana,Rutana,1601,DS Rutana,BDI,Burundi
Rutana,Gihofi,1602,DS Gihofi,BDI,Burundi
Makamba,Makamba,1101,DS Makamba,BDI,Burundi
Makamba,Nyanza-Lac,1102,DS Nyanza-Lac,BDI,Burundi
Bujumbura Rural,Isale,0303,DS Isale,BDI,Burundi
Rumonge,Rumonge,1801,DS Rumonge,BDI,Burundi
Rumonge,Bugarama,1802,DS Bugarama,BDI,Burundi
Bujumbura Rural,Kabezi,0301,DS Kabezi,BDI,Burundi
