ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME,GAUL_CODE,ISO
1002,Badakhshan,2,Afghanistan,1002,AFG
2002,Badghis,2,Afghanistan,2002,AFG
3002,Baghlan,2,Afghanistan,3002,AFG
4002,Balkh,2,Afghanistan,4002,AFG
5002,Bamyan,2,Afghanistan,5002,AFG
6002,Daykundi,2,Afghanistan,6002,AFG
7002,Farah,2,Afghanistan,7002,AFG
8002,Faryab,2,Afghanistan,8002,AFG
9002,Ghazni,2,Afghanistan,9002,AFG
10002,Ghor,2,Afghanistan,10002,AFG
11002,Hilmand,2,Afghanistan,11002,AFG
12002,Hirat,2,Afghanistan,12002,AFG
13002,Jawzjan,2,Afghanistan,13002,AFG
14002,Kabul,2,Afghanistan,14002,AFG
15002,Kandahar,2,Afghanistan,15002,AFG
16002,Kapisa,2,Afghanistan,16002,AFG
17002,Khost,2,Afghanistan,17002,AFG
18002,Kunar,2,Afghanistan,18002,AFG
19002,Kunduz,2,Afghanistan,19002,AFG
20002,Laghman,2,Afghanistan,20002,AFG
21002,Logar,2,Afghanistan,21002,AFG
22002,Nangarhar,2,Afghanistan,22002,AFG
23002,Nimroz,2,Afghanistan,23002,AFG
24002,Nuristan,2,Afghanistan,24002,AFG
25002,Paktika,2,Afghanistan,25002,AFG
26002,Paktya,2,Afghanistan,26002,AFG
27002,Panjshir,2,Afghanistan,27002,AFG
28002,Parwan,2,Afghanistan,28002,AFG
29002,Samangan,2,Afghanistan,29002,AFG
30002,Sari Pul,2,Afghanistan,30002,AFG
31002,Takhar,2,Afghanistan,31002,AFG
32002,Uruzgan,2,Afghanistan,32002,AFG
33002,Wardak,2,Afghanistan,33002,AFG
34002,Zabul,2,Afghanistan,34002,AFG
1003,Bengo,3,Angola,1003,AGO
2003,Benguela,3,Angola,2003,AGO
3003,Bi??,3,Angola,3003,AGO
4003,Cabinda,3,Angola,4003,AGO
5003,Cuando Cubango,3,Angola,5003,AGO
6003,Cuanza Norte,3,Angola,6003,AGO
7003,Cuanza Sul,3,Angola,7003,AGO
8003,Cunene,3,Angola,8003,AGO
9003,Huambo,3,Angola,9003,AGO
10003,Hu?¡la,3,Angola,10003,AGO
11003,Luanda,3,Angola,11003,AGO
12003,Lunda Norte,3,Angola,12003,AGO
13003,Lunda Sul,3,Angola,13003,AGO
14003,Malanje,3,Angola,14003,AGO
15003,Moxico,3,Angola,15003,AGO
16003,Namibe,3,Angola,16003,AGO
17003,U?¡ge,3,Angola,17003,AGO
18003,Zaire,3,Angola,18003,AGO
1005,Br?ñnd??,5,?àland,1005,ALA
2005,Ecker??,5,?àland,2005,ALA
3005,Finstr??m,5,?àland,3005,ALA
4005,F??gl??,5,?àland,4005,ALA
5005,Geta,5,?àland,5005,ALA
6005,Hammarland,5,?àland,6005,ALA
7005,Jomala,5,?àland,7005,ALA
8005,K??kar,5,?àland,8005,ALA
9005,Kumlinge,5,?àland,9005,ALA
10005,Lemland,5,?àland,10005,ALA
11005,Lumparland,5,?àland,11005,ALA
12005,Mariehamn,5,?àland,12005,ALA
13005,Saltvik,5,?àland,13005,ALA
14005,Sottunga,5,?àland,14005,ALA
15005,Sund,5,?àland,15005,ALA
