ADM1_CODE,ADM1_NAME,STR1_YEAR,EXP1_YEAR,STATUS,DISP_AREA,ADM0_CODE,ADM0_NAME,iso3,Shape_Leng,Shape_Area,FID_1,GAUL_CODE,GAUL_CODE2
40542,Bubanza,1000,3000,Member State,NO,43,Burundi,BDI,1.488152477,0.085479465,0,40542,
40543,Bujumbura Mairie,1991,3000,Member State,NO,43,Burundi,BDI,0.797587156,0.022629711,1,40543,
40544,Bujumbura Rural,1991,3000,Member State,NO,43,Burundi,BDI,2.408655781,0.118377601,2,40544,
40545,Bururi,1000,3000,Member State,NO,43,Burundi,BDI,2.896426025,0.257064524,3,40545,
40546,Cankuzo,1000,3000,Member State,NO,43,Burundi,BDI,2.19801887,0.152698769,4,40546,
40547,Cibitoke,1000,3000,Member State,NO,43,Burundi,BDI,2.037051697,0.126353103,5,40547,
40548,Gitega,1000,3000,Member State,NO,43,Burundi,BDI,3.143920352,0.154477179,6,40548,
40549,Karuzi,1000,3000,Member State,NO,43,Burundi,BDI,2.020866625,0.114788027,7,40549,
40550,Kayanza,1000,3000,Member State,NO,43,Burundi,BDI,1.856232644,0.095948307,8,40550,
40551,Kirundo,1000,3000,Member State,NO,43,Burundi,BDI,1.881669324,0.144283582,9,40551,
40552,Makamba,1000,3000,Member State,NO,43,Burundi,BDI,2.609991111,0.200175692,10,40552,
40553,Muramvya,1998,3000,Member State,NO,43,Burundi,BDI,1.398875824,0.054158201,11,40553,
40554,Muyinga,1000,3000,Member State,NO,43,Burundi,BDI,3.016681686,0.145147326,12,40554,
40555,Mwaro,1998,3000,Member State,NO,43,Burundi,BDI,1.752402702,0.066803546,13,40555,
40556,Ngozi,1000,3000,Member State,NO,43,Burundi,BDI,1.949416145,0.114429178,14,40556,
40557,Rutana,1000,3000,Member State,NO,43,Burundi,BDI,2.296576899,0.150047851,15,40557,
40558,Ruyigi,1000,3000,Member State,NO,43,Burundi,BDI,2.462171962,0.182789658,16,40558,
592,Administrative unit not available,1000,3000,FR Territory,NO,25,Bassas da India,#N/A,0.07653134,9.16756E-05,17,592,
696,Administrative unit not available,1000,3000,UK Territory,NO,38,British Indian Ocean Territory,#N/A,2.704746818,0.004048454,18,696,
967,Anjouan,1000,3000,Member State,NO,58,Comoros,COM,1.358193447,0.035457139,19,967,
968,Moheli,1000,3000,Member State,NO,58,Comoros,COM,1.251605961,0.017437432,20,968,
969,Ngazidja,1000,3000,Member State,NO,58,Comoros,COM,1.798014267,0.084153227,21,969,
1093,Ali Sabieh,1000,3000,Member State,NO,70,Djibouti,DJI,1.734962243,0.178469779,22,1093,
1094,Dikhil,1000,3000,Member State,NO,70,Djibouti,DJI,3.962249079,0.649005998,23,1094,
1095,Djibouti,1000,3000,Member State,NO,70,Djibouti,DJI,2.217458121,0.065520271,24,1095,
1096,Obock,1000,3000,Member State,NO,70,Djibouti,DJI,3.106878151,0.368469624,25,1096,
