,ADM1_NAME,ADM2_NAME,iso3.x,vaccine,ADM0_NAME.x,who_coverage,GAUL_CODE,merge_status,ADM1_NAME.x,ADM2_NAME.who,ADM1_NAME.y,ADM2_NAME.shpfile
1,chobe,chobe,BWA,DTP3,Botswana,104.7449901,4720,success,NA,chobe,NA,NA
2,francistown,francistown,BWA,DTP3,Botswana,115.6849791,4721,success,NA,francistown,NA,NA
3,gaborone,gaborone,BWA,DTP3,Botswana,80.17833862,4722,success,NA,gaborone,NA,NA
4,jwaneng,jwaneng,BWA,DTP3,Botswana,142.0061201,4724,success,NA,jwaneng,NA,NA
5,kgatleng,kgatleng,BWA,DTP3,Botswana,97.84214457,4728,success,NA,kgatleng,NA,NA
6,lobatse,lobatse,BWA,DTP3,Botswana,142.0214849,4731,success,NA,lobatse,NA,NA
7,selibephikwe,selibephikwe,BWA,DTP3,Botswana,112.9552776,4735,success,NA,selibephikwe,NA,NA
8,southeast,southeast,BWA,DTP3,Botswana,46.0289434,4736,success,NA,southeast,NA,NA
9,NA,NA,BWA,DTP3,Botswana,107.5637247,NA,fuzzy success,hukuntsi,hukuntsi,kgalagadi,hukunsti
10,NA,NA,BWA,DTP3,Botswana,112.8748713,NA,fuzzy success,mahalapye,mahalapye,central,mahalapye
11,NA,NA,BWA,DTP3,Botswana,100.6508825,NA,fuzzy success,tutume,tutume,central,tutume
12,bobirwa,bobirwa,BWA,DTP3,Botswana,104.0499923,NA,in WHO but not shpfile,NA,bobirwa,NA,NA
13,boteti,boteti,BWA,DTP3,Botswana,123.2165296,NA,in WHO but not shpfile,NA,boteti,NA,NA
14,gantsi,gantsi,BWA,DTP3,Botswana,80.08258365,NA,in WHO but not shpfile,NA,gantsi,NA,NA
15,goodhope,goodhope,BWA,DTP3,Botswana,67.86490806,NA,in WHO but not shpfile,NA,goodhope,NA,NA
16,kanyemoshupa,kanyemoshupa,BWA,DTP3,Botswana,74.23785987,NA,in WHO but not shpfile,NA,kanyemoshupa,NA,NA
17,kgalagadisouth,kgalagadisouth,BWA,DTP3,Botswana,86.97220129,NA,in WHO but not shpfile,NA,kgalagadisouth,NA,NA
18,kwenengeast,kwenengeast,BWA,DTP3,Botswana,44.4604858,NA,in WHO but not shpfile,NA,kwenengeast,NA,NA
19,kwenengwest,kwenengwest,BWA,DTP3,Botswana,102.2254236,NA,in WHO but not shpfile,NA,kwenengwest,NA,NA
20,mabutsane,mabutsane,BWA,DTP3,Botswana,82.09977522,NA,in WHO but not shpfile,NA,mabutsane,NA,NA
21,ngami,ngami,BWA,DTP3,Botswana,115.1028739,NA,in WHO but not shpfile,NA,ngami,NA,NA
22,northeast,northeast,BWA,DTP3,Botswana,71.50257582,NA,in WHO but not shpfile,NA,northeast,NA,NA
23,okavango,okavango,BWA,DTP3,Botswana,116.4088368,NA,in WHO but not shpfile,NA,okavango,NA,NA
24,serowepalapye,serowepalapye,BWA,DTP3,Botswana,101.3430445,NA,in WHO but not shpfile,NA,serowepalapye,NA,NA
25,central,bobonong,NA,DTP3,Botswana,NA,4712,in shpfile but not WHO,NA,NA,NA,bobonong
26,central,lethlakane,NA,DTP3,Botswana,NA,4713,in shpfile but not WHO,NA,NA,NA,lethlakane
27,central,machaneng,NA,DTP3,Botswana,NA,4714,in shpfile but not WHO,NA,NA,NA,machaneng
28,central,mahalapye,NA,DTP3,Botswana,NA,4715,in shpfile but not WHO,NA,NA,NA,mahalapye
29,central,palapye,NA,DTP3,Botswana,NA,4716,in shpfile but not WHO,NA,NA,NA,palapye
30,central,serowe,NA,DTP3,Botswana,NA,4717,in shpfile but not WHO,NA,NA,NA,serowe
31,central,tuli,NA,DTP3,Botswana,NA,4718,in shpfile but not WHO,NA,NA,NA,tuli
32,central,tutume,NA,DTP3,Botswana,NA,4719,in shpfile but not WHO,NA,NA,NA,tutume
33,ghanzi,ghanzi,NA,DTP3,Botswana,NA,4723,in shpfile but not WHO,NA,NA,NA,ghanzi
34,kgalagadi,gemsbok,NA,DTP3,Botswana,NA,4725,in shpfile but not WHO,NA,NA,NA,gemsbok
35,kgalagadi,hukunsti,NA,DTP3,Botswana,NA,4726,in shpfile but not WHO,NA,NA,NA,hukunsti
36,kgalagadi,tshabong,NA,DTP3,Botswana,NA,4727,in shpfile but not WHO,NA,NA,NA,tshabong
37,kweneng,kwenengnorth,NA,DTP3,Botswana,NA,4729,in shpfile but not WHO,NA,NA,NA,kwenengnorth
38,kweneng,kwenengsouth,NA,DTP3,Botswana,NA,4730,in shpfile but not WHO,NA,NA,NA,kwenengsouth
39,northeast,masungu,NA,DTP3,Botswana,NA,4732,in shpfile but not WHO,NA,NA,NA,masungu
