,NAME,NAME.who,NAME.shpfile,iso3.x,who_coverage,who_coverage.x,who_coverage.y,merge_status,merge_status.x,merge_status.y,GAUL_CODE,GAUL_CODE.x,GAUL_CODE.y
191,NA,dano,sno,BFA,NA,103.6986167,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,10579
192,NA,dedougou,kndougou,BFA,NA,94.84991904,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,10569
193,NA,do,sno,BFA,NA,114.527027,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,10579
194,NA,dori,poni,BFA,NA,110.0082034,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,10585
195,NA,gourcy,gourma,BFA,NA,100.243129,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,10564
196,NA,koudougou,kndougou,BFA,NA,92.3246493,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,10569
197,NA,leo,sno,BFA,NA,105.4453723,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,10579
198,NA,manga,banwa,BFA,NA,83.1675534,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,10542
199,NA,manga,bazga,BFA,NA,83.1675534,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,10559
200,NA,pama,bam,BFA,NA,97.71123403,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,10552
201,NA,po,poni,BFA,NA,99.03004495,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,10585
202,NA,po,sno,BFA,NA,99.03004495,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,10579
203,NA,reo,sno,BFA,NA,106.5916198,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,10579
204,NA,toma,como,BFA,NA,104.9432739,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,10547
205,NA,toma,ioba,BFA,NA,104.9432739,NA,fuzzy success,in WHO but not shpfile,in shpfile but not WHO,NA,NA,10583
206,banfora,banfora,NA,BFA,105.0602585,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
207,barsalgho,barsalgho,NA,BFA,99.45458593,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
208,baskuy,baskuy,NA,BFA,98.38380897,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
209,batie,batie,NA,BFA,105.1007396,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
210,bittou,bittou,NA,BFA,98.70629371,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
211,bogande,bogande,NA,BFA,103.9014623,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
212,bogodogo,bogodogo,NA,BFA,112.3477038,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
213,boromo,boromo,NA,BFA,92.52684448,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
214,boulmiougou,boulmiougou,NA,BFA,87.45817593,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
