who,,shpfile (adm2),shpfile,shpfile,shpfile (adm3 match success)
birkelane,birkilane,birkilane,agnamcivol,koussanar,coki
coki,coki,dakar,almadies,kouthiabaouolof,daroumousty
dahra,dakar,,babagarage,lambaye,guediawaye
dakarcentre,,guinguino,bala,loudiaouolof,niakhar
dakarnord,,kbmer,bambandiayene,lourescale,rufisque
dakarouest,,kbmer,bambilor,,sakal
dakarsud,,kdougou,bandafassi,makacoulibantang,velingara
daroumousty,daroumousty,koupentoum,barkedji,mampatim,
diamniadio,,lingure,bele,mbadakhoune,
diankhemakha,diankemakha,malmehodar,bembou,mbane,
dioffior,,mback,boghal,mbediene,
diouloulou,,mdinayorofoula,bona,medinasabakh,
guediawaye,guediawaye,niorodurip,bonconto,meouane,
guinguineo,guinguino,ranrouferlo,boynguelbamba,mequane,
joal,,salmata,cabrousse,merinadakhar,
kebemer,,sdhiou,cascas,meurmomarsarr,
kedougou,,this,colobane,missirah,
keurmassar,,vlingara,dakarplateau,missirahwadene,
keurmomarsarr,,,dakarplateau,moudery,
khombole,,,dakately,ndame,
kidira,,,darouminameii,ndiayemberess,
koumpentoum,koupentoum,,darsalam,ndiedieng,
lingucre,lingure,,,ndindy,
makacolibantang,,,diaroume,ndiob,
malemhoddar,malmehodar,,diende,ndorna,
mbacke,mback,,dioulacolon,ndoulo,
mbao,mabo,,djibabouya,ngothie,
medinayorofoulah,mdinayorofoula,,djibanar,ngoye,
mekhe,,,djilor,nguelou,
ndoffane,,,djiredji,niaguis,
niakhar,niakhar,,dodji,niakhene,
nioro,,,fafacourou,niaming,
passy,,,fimela,niayes,
pete,,,fissel,niodior,
poponguine,,,fongolimbi,notto,
pout,,,gamadjisarre,nyassia,
ranerou,,,gniby,ogo,
richardtoll,,,granddakar,orkadiere,
sakal,sakal,,idamouride,ouadiour,
salemata,salmata,,kael,ourosidy,
sedhiou,sdhiou,,karantaba,pakour,
sokone,,,katabai,pambal,
thiadiaye,thiaroye,,katakel,paoskoto,
thics,this,,kenieba,parcellesassainies,
thilogne,,,keurmboucki,pikinedagoudane,
thionckessyl,,,keurmoussa,rao,
touba,toubacouta,,koulor,sabodala,
velingara,velingara,,koumbal,sagattadjolof,
,,,,sagattagueth,
,,,,sagattagueth,
,,,,sagattagueth,
,,,,sagna,
,,,,salde,
,,,,sarebidji,
,,,,sarecolysale,
,,,,sessene,
,,,,simbandibrassou,
,,,,sindia,
,,,,sindian,
,,,,taif,
,,,,tattaguine,
,,,,tendouck,
,,,,tenghory,
,,,,thiaroye,
,,,,thienaba,
,,,,thiesnord,
,,,,thiessud,
,,,,thileboubacar,
,,,,toubacouta,
,,,,wackngouna,
,,,,yangyang,
