,ADM1_NAME,iso3.x,ADM0_NAME.x,year,who_coverage,vaccine,ADM0_NAME.y,iso3.y,merge_status,ADM1_NAME.who,ADM1_NAME.shpfile,GAUL_CODE,Note
1,adrar,DZA,Algeria,2016,87,DTP3,Algeria,DZA,success,adrar,adrar,341,
2,aindefla,DZA,Algeria,2016,94,DTP3,Algeria,DZA,success,aindefla,aindefla,342,
3,aintemouchent,DZA,Algeria,2016,93,DTP3,Algeria,DZA,success,aintemouchent,aintemouchent,343,
4,alger,DZA,Algeria,2016,90,DTP3,Algeria,DZA,success,alger,alger,344,
5,annaba,DZA,Algeria,2016,88,DTP3,Algeria,DZA,success,annaba,annaba,345,
6,batna,DZA,Algeria,2016,89,DTP3,Algeria,DZA,success,batna,batna,346,
7,bechar,DZA,Algeria,2016,90,DTP3,Algeria,DZA,success,bechar,bechar,347,
8,bejaia,DZA,Algeria,2016,91,DTP3,Algeria,DZA,success,bejaia,bejaia,348,
9,biskra,DZA,Algeria,2016,88,DTP3,Algeria,DZA,success,biskra,biskra,349,
10,blida,DZA,Algeria,2016,93,DTP3,Algeria,DZA,success,blida,blida,350,
11,bouira,DZA,Algeria,2016,90,DTP3,Algeria,DZA,success,bouira,bouira,352,
12,chlef,DZA,Algeria,2016,91,DTP3,Algeria,DZA,success,chlef,chlef,354,
13,constantine,DZA,Algeria,2016,92,DTP3,Algeria,DZA,success,constantine,constantine,355,
14,djelfa,DZA,Algeria,2016,89,DTP3,Algeria,DZA,success,djelfa,djelfa,356,
15,elbayadh,DZA,Algeria,2016,88,DTP3,Algeria,DZA,success,elbayadh,elbayadh,357,
16,eloued,DZA,Algeria,2016,90,DTP3,Algeria,DZA,success,eloued,eloued,358,
17,eltarf,DZA,Algeria,2016,90,DTP3,Algeria,DZA,success,eltarf,eltarf,359,
18,ghardaia,DZA,Algeria,2016,95,DTP3,Algeria,DZA,success,ghardaia,ghardaia,360,
19,guelma,DZA,Algeria,2016,94,DTP3,Algeria,DZA,success,guelma,guelma,361,
20,illizi,DZA,Algeria,2016,91,DTP3,Algeria,DZA,success,illizi,illizi,362,
21,jijel,DZA,Algeria,2016,92,DTP3,Algeria,DZA,success,jijel,jijel,363,
22,khenchela,DZA,Algeria,2016,95,DTP3,Algeria,DZA,success,khenchela,khenchela,364,
23,laghouat,DZA,Algeria,2016,92,DTP3,Algeria,DZA,success,laghouat,laghouat,365,
24,mascara,DZA,Algeria,2016,94,DTP3,Algeria,DZA,success,mascara,mascara,366,
25,medea,DZA,Algeria,2016,95,DTP3,Algeria,DZA,success,medea,medea,367,
26,mila,DZA,Algeria,2016,92,DTP3,Algeria,DZA,success,mila,mila,368,
27,mostaganem,DZA,Algeria,2016,91,DTP3,Algeria,DZA,success,mostaganem,mostaganem,369,
28,msila,DZA,Algeria,2016,94,DTP3,Algeria,DZA,success,msila,msila,370,
29,naama,DZA,Algeria,2016,90,DTP3,Algeria,DZA,success,naama,naama,371,
30,oran,DZA,Algeria,2016,88,DTP3,Algeria,DZA,success,oran,oran,372,
31,ouargla,DZA,Algeria,2016,92,DTP3,Algeria,DZA,success,ouargla,ouargla,373,
32,oumelbouaghi,DZA,Algeria,2016,98,DTP3,Algeria,DZA,success,oumelbouaghi,oumelbouaghi,374,
33,relizane,DZA,Algeria,2016,96,DTP3,Algeria,DZA,success,relizane,relizane,375,
34,saida,DZA,Algeria,2016,93,DTP3,Algeria,DZA,success,saida,saida,376,
35,setif,DZA,Algeria,2016,91,DTP3,Algeria,DZA,success,setif,setif,377,
36,sidibelabbes,DZA,Algeria,2016,93,DTP3,Algeria,DZA,success,sidibelabbes,sidibelabbes,378,
37,skikda,DZA,Algeria,2016,93,DTP3,Algeria,DZA,success,skikda,skikda,379,
38,soukahras,DZA,Algeria,2016,96,DTP3,Algeria,DZA,success,soukahras,soukahras,380,
39,tamanrasset,DZA,Algeria,2016,84,DTP3,Algeria,DZA,success,tamanrasset,tamanrasset,381,
40,tebessa,DZA,Algeria,2016,92,DTP3,Algeria,DZA,success,tebessa,tebessa,382,
41,tiaret,DZA,Algeria,2016,90,DTP3,Algeria,DZA,success,tiaret,tiaret,384,
