,V1,ADM1_NAME,ADM2_NAME,iso3,ADM0_NAME.x,year,vaccine,GAUL_CODE,merge_status,ADM1_NAME.who,ADM1_NAME.shpfile,ADM2_NAME.who,ADM2_NAME.shpfile,who_coverage,Note,V16,V17,V18,V19
1,1,bengo,ambriz,AGO,Angola,2016,DTP3,1886,success,NA,NA,ambriz,NA,68,,NA,NA,NA,NA
2,2,bengo,dande,AGO,Angola,2016,DTP3,1887,success,NA,NA,dande,NA,90,,NA,NA,NA,NA
3,3,bengo,nambuangongo,AGO,Angola,2016,DTP3,1890,success,NA,NA,nambuangongo,NA,73,,NA,NA,NA,NA
4,4,benguela,balombo,AGO,Angola,2016,DTP3,1892,success,NA,NA,balombo,NA,79,,NA,NA,NA,NA
5,5,benguela,benguela,AGO,Angola,2016,DTP3,1893,success,NA,NA,benguela,NA,71,,NA,NA,NA,NA
6,6,benguela,bocoio,AGO,Angola,2016,DTP3,1894,success,NA,NA,bocoio,NA,87,,NA,NA,NA,NA
7,7,benguela,chongoroi,AGO,Angola,2016,DTP3,1896,success,NA,NA,chongoroi,NA,104,,NA,NA,NA,NA
8,8,benguela,cubal,AGO,Angola,2016,DTP3,1897,success,NA,NA,cubal,NA,75,,NA,NA,NA,NA
9,9,benguela,ganda,AGO,Angola,2016,DTP3,1898,success,NA,NA,ganda,NA,74,,NA,NA,NA,NA
10,10,benguela,lobito,AGO,Angola,2016,DTP3,1899,success,NA,NA,lobito,NA,81,,NA,NA,NA,NA
11,11,cabinda,belize,AGO,Angola,2016,DTP3,1909,success,NA,NA,belize,NA,57,,NA,NA,NA,NA
12,12,cabinda,bucozau,AGO,Angola,2016,DTP3,1910,success,NA,NA,bucozau,NA,127,,NA,NA,NA,NA
13,13,cabinda,cabinda,AGO,Angola,2016,DTP3,1911,success,NA,NA,cabinda,NA,35,,NA,NA,NA,NA
14,14,cuandocubango,calai,AGO,Angola,2016,DTP3,1913,success,NA,NA,calai,NA,40,,NA,NA,NA,NA
15,15,cuandocubango,cuangar,AGO,Angola,2016,DTP3,1914,success,NA,NA,cuangar,NA,75,,NA,NA,NA,NA
16,16,cuandocubango,cuchi,AGO,Angola,2016,DTP3,1915,success,NA,NA,cuchi,NA,54,,NA,NA,NA,NA
17,17,cuandocubango,cuitocuanavale,AGO,Angola,2016,DTP3,1916,success,NA,NA,cuitocuanavale,NA,29,,NA,NA,NA,NA
18,18,cuandocubango,dirico,AGO,Angola,2016,DTP3,1917,success,NA,NA,dirico,NA,3,,NA,NA,NA,NA
19,19,cuandocubango,mavinga,AGO,Angola,2016,DTP3,1918,success,NA,NA,mavinga,NA,30,,NA,NA,NA,NA
20,20,cuandocubango,menongue,AGO,Angola,2016,DTP3,1919,success,NA,NA,menongue,NA,32,,NA,NA,NA,NA
21,21,cuandocubango,nancova,AGO,Angola,2016,DTP3,1920,success,NA,NA,nancova,NA,599,,NA,NA,NA,NA
22,22,cuandocubango,rivungo,AGO,Angola,2016,DTP3,1921,success,NA,NA,rivungo,NA,12,,NA,NA,NA,NA
23,23,cuanzanorte,ambaca,AGO,Angola,2016,DTP3,1922,success,NA,NA,ambaca,NA,47,,NA,NA,NA,NA
24,24,cuanzanorte,banga,AGO,Angola,2016,DTP3,1923,success,NA,NA,banga,NA,168,,NA,NA,NA,NA
25,25,cuanzanorte,bolongongo,AGO,Angola,2016,DTP3,1924,success,NA,NA,bolongongo,NA,104,,NA,NA,NA,NA
26,26,cuanzanorte,cambambe,AGO,Angola,2016,DTP3,1926,success,NA,NA,cambambe,NA,91,,NA,NA,NA,NA
27,27,cuanzanorte,cazengo,AGO,Angola,2016,DTP3,1927,success,NA,NA,cazengo,NA,80,,NA,NA,NA,NA
28,28,cuanzanorte,golungoalto,AGO,Angola,2016,DTP3,1929,success,NA,NA,golungoalto,NA,43,,NA,NA,NA,NA
29,29,cuanzanorte,lucala,AGO,Angola,2016,DTP3,1930,success,NA,NA,lucala,NA,84,,NA,NA,NA,NA
30,30,cuanzanorte,quiculungo,AGO,Angola,2016,DTP3,1933,success,NA,NA,quiculungo,NA,103,,NA,NA,NA,NA
31,31,cuanzasul,amboim,AGO,Angola,2016,DTP3,1935,success,NA,NA,amboim,NA,75,,NA,NA,NA,NA
32,32,cuanzasul,cassongue,AGO,Angola,2016,DTP3,1936,success,NA,NA,cassongue,NA,107,,NA,NA,NA,NA
33,33,cuanzasul,conda,AGO,Angola,2016,DTP3,1937,success,NA,NA,conda,NA,171,,NA,NA,NA,NA
34,34,cuanzasul,ebo,AGO,Angola,2016,DTP3,1938,success,NA,NA,ebo,NA,77,,NA,NA,NA,NA
35,35,cuanzasul,libolo,AGO,Angola,2016,DTP3,1939,success,NA,NA,libolo,NA,64,,NA,NA,NA,NA
36,36,cuanzasul,mussende,AGO,Angola,2016,DTP3,1940,success,NA,NA,mussende,NA,101,,NA,NA,NA,NA
37,37,cuanzasul,portoamboim,AGO,Angola,2016,DTP3,1941,success,NA,NA,portoamboim,NA,63,,NA,NA,NA,NA
38,38,cuanzasul,quibala,AGO,Angola,2016,DTP3,1942,success,NA,NA,quibala,NA,60,,NA,NA,NA,NA
39,39,cuanzasul,quilenda,AGO,Angola,2016,DTP3,1943,success,NA,NA,quilenda,NA,95,,NA,NA,NA,NA
40,40,cuanzasul,seles,AGO,Angola,2016,DTP3,1944,success,NA,NA,seles,NA,69,,NA,NA,NA,NA
41,41,cuanzasul,sumbe,AGO,Angola,2016,DTP3,1945,success,NA,NA,sumbe,NA,60,,NA,NA,NA,NA
42,42,cunene,cahama,AGO,Angola,2016,DTP3,1947,success,NA,NA,cahama,NA,94,,NA,NA,NA,NA
43,43,cunene,cuanhama,AGO,Angola,2016,DTP3,1948,success,NA,NA,cuanhama,NA,50,,NA,NA,NA,NA
44,44,cunene,curoca,AGO,Angola,2016,DTP3,1949,success,NA,NA,curoca,NA,52,,NA,NA,NA,NA
45,45,cunene,cuvelai,AGO,Angola,2016,DTP3,1950,success,NA,NA,cuvelai,NA,112,,NA,NA,NA,NA
46,46,cunene,ombadja,AGO,Angola,2016,DTP3,1952,success,NA,NA,ombadja,NA,85,,NA,NA,NA,NA
47,47,huambo,bailundo,AGO,Angola,2016,DTP3,1966,success,NA,NA,bailundo,NA,86,,NA,NA,NA,NA
48,48,huambo,catchiungo,AGO,Angola,2016,DTP3,1968,success,NA,NA,catchiungo,NA,93,,NA,NA,NA,NA
49,49,huambo,huambo,AGO,Angola,2016,DTP3,1970,success,NA,NA,huambo,NA,122,,NA,NA,NA,NA
50,50,huambo,londuimbale,AGO,Angola,2016,DTP3,1971,success,NA,NA,londuimbale,NA,100,,NA,NA,NA,NA
51,51,huambo,longonjo,AGO,Angola,2016,DTP3,1972,success,NA,NA,longonjo,NA,177,,NA,NA,NA,NA
52,52,huambo,mungo,AGO,Angola,2016,DTP3,1973,success,NA,NA,mungo,NA,85,,NA,NA,NA,NA
53,53,huambo,ukuma,AGO,Angola,2016,DTP3,1976,success,NA,NA,ukuma,NA,107,,NA,NA,NA,NA
54,54,luanda,cacuaco,AGO,Angola,2016,DTP3,1977,success,NA,NA,cacuaco,NA,65,,NA,NA,NA,NA
55,55,luanda,cazenga,AGO,Angola,2016,DTP3,1978,success,NA,NA,cazenga,NA,71,,NA,NA,NA,NA
56,56,luanda,ingombota,AGO,Angola,2016,DTP3,1979,success,NA,NA,ingombota,NA,131,,NA,NA,NA,NA
57,57,luanda,kilambakiaxi,AGO,Angola,2016,DTP3,1980,success,NA,NA,kilambakiaxi,NA,78,,NA,NA,NA,NA
58,58,luanda,maianga,AGO,Angola,2016,DTP3,1981,success,NA,NA,maianga,NA,80,,NA,NA,NA,NA
59,59,luanda,rangel,AGO,Angola,2016,DTP3,1982,success,NA,NA,rangel,NA,142,,NA,NA,NA,NA
60,60,luanda,samba,AGO,Angola,2016,DTP3,1983,success,NA,NA,samba,NA,135,,NA,NA,NA,NA
61,61,luanda,sambizanga,AGO,Angola,2016,DTP3,1984,success,NA,NA,sambizanga,NA,70,,NA,NA,NA,NA
62,62,luanda,viana,AGO,Angola,2016,DTP3,1985,success,NA,NA,viana,NA,61,,NA,NA,NA,NA
63,63,lundanorte,cambulo,AGO,Angola,2016,DTP3,1986,success,NA,NA,cambulo,NA,99,,NA,NA,NA,NA
64,64,lundanorte,caungula,AGO,Angola,2016,DTP3,1988,success,NA,NA,caungula,NA,76,,NA,NA,NA,NA
65,65,lundanorte,chitato,AGO,Angola,2016,DTP3,1989,success,NA,NA,chitato,NA,83,,NA,NA,NA,NA
66,66,lundanorte,cuango,AGO,Angola,2016,DTP3,1990,success,NA,NA,cuango,NA,116,,NA,NA,NA,NA
67,67,lundanorte,cuilo,AGO,Angola,2016,DTP3,1991,success,NA,NA,cuilo,NA,54,,NA,NA,NA,NA
68,68,lundanorte,lubalo,AGO,Angola,2016,DTP3,1992,success,NA,NA,lubalo,NA,95,,NA,NA,NA,NA
69,69,lundanorte,lucapa,AGO,Angola,2016,DTP3,1993,success,NA,NA,lucapa,NA,118,,NA,NA,NA,NA
70,70,lundasul,cacolo,AGO,Angola,2016,DTP3,1995,success,NA,NA,cacolo,NA,146,,NA,NA,NA,NA
71,71,lundasul,dala,AGO,Angola,2016,DTP3,1996,success,NA,NA,dala,NA,91,,NA,NA,NA,NA
72,72,lundasul,muconda,AGO,Angola,2016,DTP3,1997,success,NA,NA,muconda,NA,93,,NA,NA,NA,NA
73,73,lundasul,saurimo,AGO,Angola,2016,DTP3,1998,success,NA,NA,saurimo,NA,90,,NA,NA,NA,NA
74,74,malanje,calandula,AGO,Angola,2016,DTP3,2000,success,NA,NA,calandula,NA,71,,NA,NA,NA,NA
