,V1,ADM1_NAME,ADM2_NAME,iso3.x,ADM0_NAME.x,year,vaccine,merge_status,ADM1_NAME.who,ADM1_NAME.shpfile,ADM2_NAME.who,ADM2_NAME.shapefile,who_coverage,GAUL_CODE,Note
1,1,bubanza,bubanza,BDI,Burundi,2016,DTP3,success,NA,NA,bubanza,bubanza,108.6374817,40559,
2,2,bubanza,mpanda,BDI,Burundi,2016,DTP3,success,NA,NA,mpanda,mpanda,132.1077736,40561,
3,3,bujumburarural,isale,BDI,Burundi,2016,DTP3,success,NA,NA,isale,isale,107.3581467,40581,
4,4,bujumburarural,kabezi,BDI,Burundi,2016,DTP3,success,NA,NA,kabezi,kabezi,87.0470046,40582,
5,5,bururi,bururi,BDI,Burundi,2016,DTP3,success,NA,NA,bururi,bururi,86.12800457,40592,
6,6,bururi,matana,BDI,Burundi,2016,DTP3,success,NA,NA,matana,matana,68.15303921,40594,
7,7,cankuzo,cankuzo,BDI,Burundi,2016,DTP3,success,NA,NA,cankuzo,cankuzo,103.035641,40600,
8,8,cibitoke,mabayi,BDI,Burundi,2016,DTP3,success,NA,NA,mabayi,mabayi,116.0240387,40607,
9,9,gitega,gitega,BDI,Burundi,2016,DTP3,success,NA,NA,gitega,gitega,108.9171679,40616,
10,10,gitega,mutaho,BDI,Burundi,2016,DTP3,success,NA,NA,mutaho,mutaho,98.20523247,40619,
11,11,gitega,ryansoro,BDI,Burundi,2016,DTP3,success,NA,NA,ryansoro,ryansoro,93.18909078,40621,
12,12,kayanza,gahombo,BDI,Burundi,2016,DTP3,success,NA,NA,gahombo,gahombo,86.51434118,40630,
13,13,kayanza,kayanza,BDI,Burundi,2016,DTP3,success,NA,NA,kayanza,kayanza,100.1926331,40633,
14,14,kirundo,busoni,BDI,Burundi,2016,DTP3,success,NA,NA,busoni,busoni,100.2635107,40639,
15,15,kirundo,kirundo,BDI,Burundi,2016,DTP3,success,NA,NA,kirundo,kirundo,105.3641056,40642,
16,16,kirundo,vumbi,BDI,Burundi,2016,DTP3,success,NA,NA,vumbi,vumbi,105.8973488,40644,
17,17,makamba,makamba,BDI,Burundi,2016,DTP3,success,NA,NA,makamba,makamba,99.77631794,40649,
18,18,makamba,nyanzalac,BDI,Burundi,2016,DTP3,success,NA,NA,nyanzalac,nyanzalac,104.8318522,40650,
19,19,muyinga,gashoho,BDI,Burundi,2016,DTP3,success,NA,NA,gashoho,gashoho,126.6156018,40659,
20,20,muyinga,giteranyi,BDI,Burundi,2016,DTP3,success,NA,NA,giteranyi,giteranyi,92.40001539,40661,
21,21,muyinga,muyinga,BDI,Burundi,2016,DTP3,success,NA,NA,muyinga,muyinga,119.5315703,40662,
22,22,ngozi,kiremba,BDI,Burundi,2016,DTP3,success,NA,NA,kiremba,kiremba,97.37927791,40672,
23,23,ngozi,ngozi,BDI,Burundi,2016,DTP3,success,NA,NA,ngozi,ngozi,95.45058535,40675,
24,24,rutana,rutana,BDI,Burundi,2016,DTP3,success,NA,NA,rutana,rutana,97.24690282,40684,
25,25,ruyigi,butezi,BDI,Burundi,2016,DTP3,success,NA,NA,butezi,butezi,102.3641824,40686,
26,26,ruyigi,kinyinya,BDI,Burundi,2016,DTP3,success,NA,NA,kinyinya,kinyinya,111.8506338,40689,
27,27,ruyigi,ruyigi,BDI,Burundi,2016,DTP3,success,NA,NA,ruyigi,ruyigi,112.0505391,40691,
28,28,NA,NA,BDI,Burundi,2016,NA,fuzzy need fix,karusi,karuzi,buhiga,buhiga,108.5213757,40623,
29,29,NA,NA,BDI,Burundi,2016,NA,fuzzy need fix,muramya,muramvya,kiganda,kiganda,84.45801642,40653,
30,30,NA,NA,BDI,Burundi,2016,NA,fuzzy success,cibitoke,bujumburamairie,cibitoke,cibitoke,111.2040026,40568,
31,31,NA,NA,BDI,Burundi,2016,NA,need change,gitega,muramvya,kibuye,mbuye,105.3751275,40654,change
32,32,NA,NA,BDI,Burundi,2016,NA,fuzzy success,karusi,karuzi,nyabikere,nyabikere,103.3307389,40627,
33,33,NA,NA,BDI,Burundi,2016,NA,need change,kayanza,bujumburamairie,musema,musaga,84.99529694,40574,change
34,34,NA,NA,BDI,Burundi,2016,NA,fuzzy success,kirundo,bujumburarural,mukenke,mukike,102.8654289,40755,
35,35,NA,NA,BDI,Burundi,2016,NA,fuzzy success,muramya,muramvya,muramvya,muramvya,93.06794051,40655,
36,36,NA,NA,BDI,Burundi,2016,NA,fuzzy success,rumonge,bujumburarural,bugarama,bugarama,95.28556571,40580,
37,37,NA,NA,BDI,Burundi,2016,NA,fuzzy success,rumonge,bururi,rumonge,rumonge,107.8618802,40596,
38,38,NA,NA,BDI,Burundi,2016,NA,fuzzy success,rutana,mwaro,gihofi,gisozi,129.787148,40665,
39,39,bujumburamairie,zonecentre,BDI,Burundi,2016,DTP3,in WHO but not shpfile,NA,NA,zonecentre,NA,80.93616405,NA,
40,40,bujumburamairie,zonenord,BDI,Burundi,2016,DTP3,in WHO but not shpfile,NA,NA,zonenord,NA,111.900083,NA,
41,41,bujumburamairie,zonesud,BDI,Burundi,2016,DTP3,in WHO but not shpfile,NA,NA,zonesud,NA,95.25550916,NA,
42,42,bujumburarural,rwibaga,BDI,Burundi,2016,DTP3,in WHO but not shpfile,NA,NA,rwibaga,NA,63.2777438,NA,
43,43,cankuzo,murore,BDI,Burundi,2016,DTP3,in WHO but not shpfile,NA,NA,murore,NA,123.8137458,NA,
44,44,mwaro,fota,BDI,Burundi,2016,DTP3,in WHO but not shpfile,NA,NA,fota,NA,69.1761548,NA,
45,45,mwaro,kibumbu,BDI,Burundi,2016,DTP3,in WHO but not shpfile,NA,NA,kibumbu,NA,79.936748,NA,
46,46,bubanza,gihanga,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bubanza,NA,gihanga,NA,48356,
47,47,bubanza,musigati,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bubanza,NA,musigati,NA,40562,
48,48,bubanza,rugazi,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bubanza,NA,rugazi,NA,40563,
49,49,bujumburamairie,administrativeunitnotavailable,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Mairie,NA,administrativeunitnotavailable,NA,40564,
50,50,bujumburamairie,buterere,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Mairie,NA,buterere,NA,40565,
51,51,bujumburamairie,buyenzi,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Mairie,NA,buyenzi,NA,40566,
52,52,bujumburamairie,bwiza,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Mairie,NA,bwiza,NA,40567,
53,53,bujumburamairie,gihosha,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Mairie,NA,gihosha,NA,40569,
54,54,bujumburamairie,kamenge,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Mairie,NA,kamenge,NA,40570,
55,55,bujumburamairie,kanyosha,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Mairie,NA,kanyosha,NA,40571,
56,56,bujumburamairie,kinama,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Mairie,NA,kinama,NA,40572,
57,57,bujumburamairie,kinindo,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Mairie,NA,kinindo,NA,40573,
58,58,bujumburamairie,ngagara,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Mairie,NA,ngagara,NA,40575,
59,59,bujumburamairie,nyakabiga,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Mairie,NA,nyakabiga,NA,40576,
60,60,bujumburamairie,rohero,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Mairie,NA,rohero,NA,40577,
61,61,bujumburarural,kanyosha1,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Rural,NA,kanyosha1,NA,40753,
62,62,bujumburarural,mubimbi,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Rural,NA,mubimbi,NA,40584,
63,63,bujumburarural,mugongomanga,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Rural,NA,mugongomanga,NA,40754,
64,64,bujumburarural,muhuta,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Rural,NA,muhuta,NA,40586,
65,65,bujumburarural,mutambu,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Rural,NA,mutambu,NA,40756,
66,66,bujumburarural,mutimbuzi,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Rural,NA,mutimbuzi,NA,40589,
67,67,bujumburarural,nyabiraba,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bujumbura Rural,NA,nyabiraba,NA,40757,
68,68,bururi,burambi,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bururi,NA,burambi,NA,40591,
69,69,bururi,buyengero,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bururi,NA,buyengero,NA,40593,
70,70,bururi,mugamba,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bururi,NA,mugamba,NA,40595,
71,71,bururi,rutovu,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bururi,NA,rutovu,NA,40597,
72,72,bururi,songa,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bururi,NA,songa,NA,40598,
73,73,bururi,vyanda,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Bururi,NA,vyanda,NA,40599,
74,74,cankuzo,cendajuru,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Cankuzo,NA,cendajuru,NA,40601,
75,75,cankuzo,gisagara,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Cankuzo,NA,gisagara,NA,40602,
76,76,cankuzo,mishiha,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Cankuzo,NA,mishiha,NA,40604,
77,77,cibitoke,bukinanyana,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Cibitoke,NA,bukinanyana,NA,40606,
78,78,cibitoke,mugina,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Cibitoke,NA,mugina,NA,40608,
79,79,cibitoke,murwi,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Cibitoke,NA,murwi,NA,40609,
80,80,cibitoke,rugombo,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Cibitoke,NA,rugombo,NA,40610,
81,81,gitega,bugendana,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Gitega,NA,bugendana,NA,40611,
82,82,gitega,bukirasazi,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Gitega,NA,bukirasazi,NA,40612,
83,83,gitega,buraza,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Gitega,NA,buraza,NA,40613,
84,84,gitega,giheta,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Gitega,NA,giheta,NA,40614,
85,85,gitega,gishubi,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Gitega,NA,gishubi,NA,40615,
86,86,gitega,itaba,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Gitega,NA,itaba,NA,40617,
87,87,gitega,makebuko,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Gitega,NA,makebuko,NA,40618,
88,88,gitega,nyanrusange,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Gitega,NA,nyanrusange,NA,40620,
89,89,karuzi,bugenyuzi,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Karuzi,NA,bugenyuzi,NA,40622,
90,90,karuzi,gihogazi,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Karuzi,NA,gihogazi,NA,40624,
91,91,karuzi,gitaramuka,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Karuzi,NA,gitaramuka,NA,40625,
92,92,karuzi,mutumba,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Karuzi,NA,mutumba,NA,40626,
93,93,karuzi,shombo,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Karuzi,NA,shombo,NA,40628,
94,94,kayanza,butaganzwa,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Kayanza,NA,butaganzwa,NA,40629,
95,95,kayanza,gatara,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Kayanza,NA,gatara,NA,40631,
96,96,kayanza,kabarore,BDI,Burundi,NA,NA,in shpfile but not WHO,NA,Kayanza,NA,kabarore,NA,40632,
