countries,region,gaul_adm2,gadm_adm2,gaul_adm1,gadm_adm1,Unit match,Unit match Status,Name match,Shapefile,adm level,Note,Link,,,,,,,,,,,,%unit  match,location in WHO/location in shapefile,,,,,,,,
Algeria,Africa,3.1,3.2,100,100,100,,100,gaul,adm1,all match,,,,,,,,,,,,,%name match,locations match/total locations in both WHO and shapefiles,,,,,,,,
Angola,Africa,104.4,101.8,922.2,922.2,104.4,,91,gadm,adm2,,,,,,,,,,,,,,,,,,,,,,,
Benin,Africa,100,101.3,641.7,641.7,100,,100,gaul,adm2,minor name difference,,,,,,,,,,,,,Same,<10%,>10%,No data,,,,Country,Status,Note
Botswana,Africa,240,80,240,150,80,,NA,,<adm2,"name does not match really well with adm2, try adm3 if possible",,,,,,,,,,,,,Algeria,Angola,Botswana,Djibouti,,,,Botswana,<adm2,"name does not match really well with adm2, try adm3 if possible"
Burkina Faso,Africa,155.6,155.6,538.5,538.5,155.6,,NA,,">adm2, <adm3",most match with adm3 name,,,,,,,,,,,,,Benin,DRC,Burkina Faso,Egypt,,,,,">adm2, <adm3",most match with adm3 name
Burundi,Africa,34.3,34.6,270.6,270.6,34.3,,NA,,<adm2,"most match adm2, most remaining match adm3, the rest is zone north, south, center",,,,,,,,,,,,,Cape Verde,Gabon,Burundi,Nigeria,,,,,<adm2,"most match adm2, most remaining match adm3, the rest is zone north, south, center"
Cameroon,Africa,325.9,325.9,1890,1890,325.9,,NA,,">adm2, <adm3",>50% match with adm3 name,,,,,,,,,,,,,Eritrea,Madagascar,Cameroon,Sudan,,,,Cameroon,">adm2, <adm3",>50% match with adm3 name
Cape Verde,Africa,100, ,157.1,100,100,,82,gaul,adm2,,,,,,,,,,,,,,Ghana,Mozambique,Central African Republic,,,,,Central African Republic,">adm1, <adm2","name does not match with adm2, no adm3"
Central African Republic,Africa,42.3,58.8,176.5,176.5,58.8,,NA,,">adm1, <adm2","name does not match with adm2, no adm3",,,,,,,,,,,,,Guinea,Tanzania,Chad,,,,,Chad,">adm1, <adm2",name does not match really well with gaul adm2
Chad,Africa,28.5,180,353.6,430.4,28.5,,NA,,">adm1, <adm2",name does not match really well with gaul adm2,,,,,,,,,,,,,Kenya,Zimbabwe,Comoros,,,,,Comoros,">adm2, no adm3",no shpfile at IHME have close to the number of unit
Comoros,Africa,566.7,Inf,566.7,566.7,566.7,,NA,,">adm2, no adm3",no shpfile at IHME have close to the number of unit,,,,,,,,,,,,,Lesotho,,Congo,,,,,Congo,">adm1, <adm2","name does not match with adm2, no adm3"
Congo,Africa,46.1,85.4,341.7,341.7,85.4,,NA,,">adm1, <adm2","name does not match with adm2, no adm3",,,,,,,,,,,,,Liberia,,Cote d'Ivoire,,,,,Cote d'Ivoire,">adm2, <adm3","82/113 unit match adm3, recheck the name"
Cote d'Ivoire,Africa,248.5,241.2,585.7,585.7,241.2,,NA,,">adm2, <adm3","82/113 unit match adm3, recheck the name",,,,,,,,,,,,,Malawi,,Equatorial Guinea,,,,,,">adm1, <adm2",all match adm2 rxcept for annobon match adm1
Democratic Republic of the Congo,Africa,1036,1363.2,4709.1,5755.6,99.61389961,,96.52509653,specific,adm2,"specific shpfile, 2 unmatch unit, and 15 unmatch name",J:\WORK\11_geospatial\06_original shapefiles\country_specific\COD\health2\health2.dbf,,,,,,,,,,,,Rwanda,,Ethiopia,,,,,Ethiopia,>adm3,JRF has more unit than adm 3 (~800/600)
Djibouti,Africa,,,,,,no data,,,,no data in WHO/JRF,,,,,,,,,,,,,Sao Tome and Principe,,Gambia,,,,,,">adm1, <adm2",check link for regions
Egypt,Africa,,,,,,no data,,,,no data in WHO/JRF,,,,,,,,,,,,,Sierra Leone,,Guinea-Bissau,,,,,,">adm1, <adm2",all match (adm1 and adm2 except for bjagos island)
Equatorial Guinea,Africa,257.1,56.3,257.1,257.1,56.3,,NA,,">adm1, <adm2",all match adm2 rxcept for annobon match adm1,,,,,,,,,,,,,South Africa,,Mali,,,,,,">adm2, <<adm3","65/289 unit match adm3, recheck the name"
Eritrea,Africa,100,116,828.6,966.7,100,,93,gaul,adm2,"5 locations in who but not gaul, 5 in gaul not who",,,,,,,,,,,,,Swaziland,,Mauritania,,,,,,">adm2, <<adm3","check MRT_adm3 shpfile, recheck the name"
Ethiopia,Africa,1112,1042.5,7581.8,7581.8,1042.5,,NA,,>adm3,JRF has more unit than adm 3 (~800/600),,,,,,,,,,,,,Uganda,,Namibia,,,,,,">adm1, <adm2",50% match but rural/urban and east/west
Gabon,Africa,106.3,137.8,566.7,566.7,106.3,,55,gaul,adm2,name does not match really well,,,,,,,,,,,,,,,Niger,,,,,,">adm2, <<adm3","44/131 unit match adm3, no match"
Gambia,Africa,18.9,18.9,116.7,116.7,116.7,,69,,">adm1, <adm2",check link for regions,http://espen.afro.who.int/system/files/content/resources/GAMBIA_NTD_Master_Plan_2015_2020.pdf,,,,,,,,,,,,,,Senegal,,,,,Senegal,">adm2, <adm3",only some adm3 name match
Ghana,Africa,100,157.7,2160,2160,100,,99,gaul,adm2,3 locations mismatch,,,,,,,,,,,,,,,Seychelles,,,,,,<adm1,"all name match with adm1, but not report all"
Guinea,Africa,100,111.8,475,475,100,,100,gaul,adm2,"all match, only 2 locations need fuzzy matches",,,,,,,,,,,,,,,South Sudan,,,,,South Sudan,>adm3,80/49 unit match adm3
Guinea-Bissau,Africa,28.2,29.7,122.2,122.2,122.2,,77,,">adm1, <adm2",all match (adm1 and adm2 except for bjagos island),,,,,,,,,,,,,,,Togo,,,,,Togo,">adm2, no adm3",no shpfile at IHME have close to the number of unit
Kenya,Africa,63.5,15.6,587.5,100,100,,100,gadm,adm1,all match,,,,,,,,,,,,,,,Zambia,,,,,Zambia,">adm2, no adm3",no shpfile at IHME have close to the number of unit
Lesotho,Africa,4,Inf,100,100,100,,100,gaul,adm1,all match,,,,,,,,,,,,,16,7,22,4,,,,,,
Liberia,Africa,11,22.7,100,100,100,,100,gaul,adm1,all match,,,,,,,,,,,,,,,,,,,,,,
Madagascar,Africa,95,513.6,513.6,1883.3,95,,98,gaul,adm2,"recheck the locations, ",,,,,,,,,,,,,,,,,,,,Name match > 90%,,
Malawi,Africa,96.6,10.9,700,100,100,,100,gadm,adm1,all match,,,,,,,,,,,,,,,,,,,,Burkina Faso,,
Mali,Africa,130,130,722.2,722.2,130,,NA,,">adm2, <<adm3","65/289 unit match adm3, recheck the name",,,,,,,,,,,,,,,,,,,,Burundi,,
Mauritania,Africa,125,125,423.1,423.1,125,,NA,,">adm2, <<adm3","check MRT_adm3 shpfile, recheck the name",,,,,,,,,,,,,,,,,,,,Equatorial Guinea,,
Mozambique,Africa,109.7,121.4,1445.5,1445.5,109.7,,87,gaul,adm2,"fianarantsoa II is missing from gaul shapefile while antananarivo ii,iii,iv,v,vi are missing in jrf",,,,,,,,,,,,,,,,,,,,Gambia,,
Namibia,Africa,31.8,31.8,261.5,261.5,31.8,,NA,,">adm1, <adm2",50% match but rural/urban and east/west,,,,,,,,,,,,,,,,,,,,Guinea-Bissau,,
Niger,Africa,115.8,122.2,550,550,115.8,,78,,">adm2, <<adm3","44/131 unit match adm3, no match",,,,,,,,,,,,,,,,,,,,Namibia,,
Nigeria,Africa,,,,,,no data,,,,no data in WHO/JRF,,,,,,,,,,,,,,,,,,,,Niger,,
Rwanda,Africa,100,100,600,600,100,,100,gaul,adm2,minor difference in name,,,,,,,,,,,,,,,,,,,,Seychelles,,
Sao Tome and Principe,Africa,350,100,350,350,100,,88,gadm,adm2,only 1 name unmatched,,,,,,,,,,,,,,,,,,,,Mali,,
Senegal,Africa,176.7,165.2,542.9,506.7,165.2,,NA,,">adm2, <adm3",only some adm3 name match,,,,,,,,,,,,,,,,,,,,Mauritania,,
Seychelles,Africa,25,Inf,25,57.7,57.7,,NA,,<adm1,"all name match with adm1, but not report all",,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,Africa,100,100,350,350,100,,100,gaul,adm2,exactly same,,,,,,,,,,,,,,,,,,,,,,
South Africa,Africa,100,100,577.8,577.8,100,,96,gaul,adm2,4 umatched locations,,,,,,,,,,,,,,,,,,,,,,
South Sudan,Africa,173.9,177.8,800,800,173.9,,NA,,>adm3,80/49 unit match adm3,,,,,,,,,,,,,,,,,,,,,,
Sudan,Africa,,,,,,no data,,,,no data in WHO/JRF,,,,,,,,,,,,,,,,,,,,,,
Swaziland,Africa,7.5,7.3,100,100,100,,100,gaul,adm1,all match,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Africa,98.4,97.8,596.7,596.7,98.4,,82,gaul,adm2,"who has dc,tc,cc/ gaul has rural urban",,,,,,,,,,,,,,,,,,,,,,
Togo,Africa,133.3,190.5,800,800,133.3,,NA,,">adm2, no adm3",no shpfile at IHME have close to the number of unit,,,,,,,,,,,,,,,,,,,,,,
Uganda,Africa,65.9,64.7,100,193.1,100,,100,gaul,adm1,all match,,,,,,,,,,,,,,,,,,,,,,
Zambia,Africa,143.1,143.1,1144.4,1030,143.1,,NA,,">adm2, no adm3",no shpfile at IHME have close to the number of unit,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Africa,101.6,105,630,630,101.6,,97,gaul,adm2,"most match, recheck locations",,,,,,,,,,,,,,,,,,,,,,
Afghanistan,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
China,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laos,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,world,,,,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,
