"","iso3","ADM0_NAME","ADM1_NAME","NAME","GAUL_CODE"
"1","MOZ","Mozambique","zambezia","altomolocue",32018
"2","MOZ","Mozambique","niassa","amaramba",32025
"3","MOZ","Mozambique","cabodelgado","ancuabe",32039
"4","MOZ","Mozambique","nampula","angoche",32043
"5","MOZ","Mozambique","tete","angonia",32044
"6","MOZ","Mozambique","manica","barue",32162
"7","MOZ","Mozambique","sofala","beira",32189
"8","MOZ","Mozambique","gaza","bilene",32217
"9","MOZ","Mozambique","maputocidade","boane",32245
"10","MOZ","Mozambique","sofala","buzi",32336
"11","MOZ","Mozambique","tete","cahorabassa",32351
"12","MOZ","Mozambique","sofala","caia",32352
"13","MOZ","Mozambique","gaza","canicado",32368
"14","MOZ","Mozambique","tete","changara",32388
"15","MOZ","Mozambique","sofala","chemba",32392
"16","MOZ","Mozambique","sofala","cheringoma",32393
"17","MOZ","Mozambique","sofala","chibabava",32394
"18","MOZ","Mozambique","gaza","chibuto",32398
"19","MOZ","Mozambique","gaza","chicualacuala",32400
"20","MOZ","Mozambique","zambezia","chinde",32408
"21","MOZ","Mozambique","cabodelgado","chiure",32424
"22","MOZ","Mozambique","tete","chiuta",32425
"23","MOZ","Mozambique","gaza","chokwe",32428
"24","MOZ","Mozambique","manica","cidadedechimoio",32433
"25","MOZ","Mozambique","niassa","distritodelichinga",32522
"26","MOZ","Mozambique","gaza","distritodexaixai",32523
"27","MOZ","Mozambique","sofala","dondo",32539
"28","MOZ","Mozambique","nampula","eratinampula",32615
"29","MOZ","Mozambique","zambezia","gile",32730
"30","MOZ","Mozambique","sofala","gorongosa",32754
"31","MOZ","Mozambique","inhambane","govuro",32764
"32","MOZ","Mozambique","manica","guro",32790
"33","MOZ","Mozambique","zambezia","gurue",32791
"34","MOZ","Mozambique","inhambane","homoine",32831
"35","MOZ","Mozambique","zambezia","ile",32913
"36","MOZ","Mozambique","inhambane","inharrime",32929
"37","MOZ","Mozambique","niassa","lago",33243
"38","MOZ","Mozambique","zambezia","lugela",33313
"39","MOZ","Mozambique","tete","macanga",33327
"40","MOZ","Mozambique","cabodelgado","macimboadaprai",33332
"41","MOZ","Mozambique","cabodelgado","macomia",33334
"42","MOZ","Mozambique","zambezia","maganjadacosta",33344
"43","MOZ","Mozambique","tete","magoe",33347
"44","MOZ","Mozambique","maputocidade","magude",33349
"45","MOZ","Mozambique","nampula","maiaia",33353
"46","MOZ","Mozambique","niassa","majune",33359
"47","MOZ","Mozambique","nampula","malema",33374
"48","MOZ","Mozambique","niassa","mandimba",33384
"49","MOZ","Mozambique","maputocidade","manhica",33392
"50","MOZ","Mozambique","manica","manica",33394
"51","MOZ","Mozambique","gaza","manjacaze",33396
"52","MOZ","Mozambique","tete","maravia",33408
"53","MOZ","Mozambique","maputocidade","marracuene",33418
"54","MOZ","Mozambique","sofala","marromeu",33419
"55","MOZ","Mozambique","niassa","marrupa",33420
"56","MOZ","Mozambique","inhambane","massinga",33437
"57","MOZ","Mozambique","gaza","massingir",33438
"58","MOZ","Mozambique","maputocidade","matutuine",33449
"59","MOZ","Mozambique","niassa","maua",33450
"60","MOZ","Mozambique","niassa","mavago",33451
"61","MOZ","Mozambique","niassa","mecanhelas",33486
"62","MOZ","Mozambique","nampula","meconta",33487
"63","MOZ","Mozambique","nampula","mecuburi",33488
"64","MOZ","Mozambique","cabodelgado","mecufi",33489
"65","MOZ","Mozambique","niassa","mecula",33490
"66","MOZ","Mozambique","cabodelgado","meluco",33500
"67","MOZ","Mozambique","nampula","memba",33501
"68","MOZ","Mozambique","zambezia","milange",33520
"69","MOZ","Mozambique","maputocidade","moamba",33534
"70","MOZ","Mozambique","tete","moatize",33536
"71","MOZ","Mozambique","zambezia","mocuba",33539
"72","MOZ","Mozambique","nampula","mogincual",33540
"73","MOZ","Mozambique","nampula","mogovolas",33543
"74","MOZ","Mozambique","nampula","moma",33550
"75","MOZ","Mozambique","nampula","monapo",33552
"76","MOZ","Mozambique","cabodelgado","montepuez",33559
"77","MOZ","Mozambique","zambezia","mopeia",33562
"78","MOZ","Mozambique","zambezia","morrumbala",33567
"79","MOZ","Mozambique","inhambane","morrumbene",33568
"80","MOZ","Mozambique","nampula","mossuril",33569
"81","MOZ","Mozambique","manica","mossurize",33570
"82","MOZ","Mozambique","nampula","muecate",33599
"83","MOZ","Mozambique","cabodelgado","mueda",33600
"84","MOZ","Mozambique","nampula","murrupula",33616
"85","MOZ","Mozambique","tete","mutarara",33622
"86","MOZ","Mozambique","nampula","nacala",33644
"87","MOZ","Mozambique","maputocidade","namaacha",33652
"88","MOZ","Mozambique","zambezia","namacurra",33654
"89","MOZ","Mozambique","zambezia","namarroi",33656
"90","MOZ","Mozambique","cabodelgado","namuno",33659
"91","MOZ","Mozambique","cabodelgado","palma",33947
"92","MOZ","Mozambique","inhambane","panda",33950
"93","MOZ","Mozambique","zambezia","pebane",33956
"94","MOZ","Mozambique","cabodelgado","pembametuge",33958
"95","MOZ","Mozambique","zambezia","quelimane",33982
"96","MOZ","Mozambique","cabodelgado","quissanga",33988
"97","MOZ","Mozambique","nampula","ribaue",34005
"98","MOZ","Mozambique","niassa","sanga",34062
"99","MOZ","Mozambique","manica","sussundenga",34177
"100","MOZ","Mozambique","manica","tambara",34192
"101","MOZ","Mozambique","inhambane","vilanculos",34335
"102","MOZ","Mozambique","inhambane","zavala",34418
"103","MOZ","Mozambique","tete","zumbo",34435
"104","MOZ","Mozambique","nampula","ilhademocambique",34521
"105","MOZ","Mozambique","cabodelgado","ancuabe",42852
