OBJECTID,WHO_REGION,ISO_2_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,STARTDATE,ENDDATE,ISO_3_CODE,WHO_CODE,ADM3_ALTNA,ADM3_ALTCO,LVL,WHO_STATUS,UN_CODE,UNICEF_REG,CENTER_LON,CENTER_LAT,ADM3_VIZ_N,ADM2_VIZ_N,ADM1_VIZ_N,GUID,ADM2_GUID,ADM1_GUID,ADM0_GUID,NOTES,GlobalID,Shape_Leng,Shape_Area
1,AFRO,LR,DOWEIN,BOMI,BOMI,LIBERIA,LR001001001001000000,LR001001001000000000,LR001001000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-10.91461709000,6.57894718000,Dowein,Bomi,Bomi,{C9D1D9C1-6C8A-4FF1-95CA-8F84669ADFFE},{D640DD92-005D-4F8D-8778-E1E4274175DB},{A9B6A09C-BB6D-40E7-8CBF-4909E304DC99},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{D80CA4D1-971F-47A4-B927-3948B8E42E9C},1.41643291684,0.02495753041
2,AFRO,LR,KLAY,BOMI,BOMI,LIBERIA,LR001001001002000000,LR001001001000000000,LR001001000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-10.82229770000,6.70937898000,Klay,Bomi,Bomi,{E40F6B44-58A2-4115-8A6F-CBB1942A90C7},{D640DD92-005D-4F8D-8778-E1E4274175DB},{A9B6A09C-BB6D-40E7-8CBF-4909E304DC99},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{CA2C8063-5A56-4AE1-A86C-63A797A16DAD},1.61027160168,0.04975538447
3,AFRO,LR,SENJEH,BOMI,BOMI,LIBERIA,LR001001001003000000,LR001001001000000000,LR001001000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-10.88370943000,6.85133396000,Senjeh,Bomi,Bomi,{7DEC4063-3155-4580-AB9A-40B3A8BED403},{D640DD92-005D-4F8D-8778-E1E4274175DB},{A9B6A09C-BB6D-40E7-8CBF-4909E304DC99},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{1C1E7066-A5AB-48BD-943E-D2C76BD1F55D},1.13299137080,0.04374317980
4,AFRO,LR,SUEHN MECCA,BOMI,BOMI,LIBERIA,LR001001001004000000,LR001001001000000000,LR001001000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-10.63930988000,6.73100941000,Suehn Mecca,Bomi,Bomi,{F966D84F-261B-4CA6-AC3F-3CF2405C4AFE},{D640DD92-005D-4F8D-8778-E1E4274175DB},{A9B6A09C-BB6D-40E7-8CBF-4909E304DC99},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{487ABA05-77F0-484F-A6E0-29EE60FFD741},1.10370489054,0.03765820227
5,AFRO,LR,BOINSEN,BONG,BONG,LIBERIA,LR001002001001000000,LR001002001000000000,LR001002000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-9.23686047000,6.68746946000,Boinsen,Bong,Bong,{3A375935-70F2-436A-B37D-25EF7E924312},{2028113B-9DAE-49D0-AB36-0F00F4E3D4C1},{D52205B7-1D9F-404D-AB14-95757A1B6579},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{A44F6A98-D5F3-4498-ACD1-839E63416316},0.84356528099,0.02210988325
6,AFRO,LR,FUAMAH,BONG,BONG,LIBERIA,LR001002001002000000,LR001002001000000000,LR001002000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-10.28504161000,6.94314117000,Fuamah,Bong,Bong,{A3589DEE-EDDF-41A9-935C-95159DD3C225},{2028113B-9DAE-49D0-AB36-0F00F4E3D4C1},{D52205B7-1D9F-404D-AB14-95757A1B6579},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{29DD37DB-00D6-4B14-B51F-B6B11C2AC876},1.40151065219,0.07664391863
7,AFRO,LR,JORQUELLEH,BONG,BONG,LIBERIA,LR001002001003000000,LR001002001000000000,LR001002000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-9.42786749000,6.92006606000,Jorquelleh,Bong,Bong,{884C7959-A875-4F8E-8601-16D5AA1D9AE6},{2028113B-9DAE-49D0-AB36-0F00F4E3D4C1},{D52205B7-1D9F-404D-AB14-95757A1B6579},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{CE3C112C-ECC4-447F-9EA5-A96496746156},1.81546650353,0.10656216120
8,AFRO,LR,KOKOYAH,BONG,BONG,LIBERIA,LR001002001004000000,LR001002001000000000,LR001002000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-9.56841661000,6.52675181000,Kokoyah,Bong,Bong,{817F543F-1A5E-4C68-B702-D60190FA1CFC},{2028113B-9DAE-49D0-AB36-0F00F4E3D4C1},{D52205B7-1D9F-404D-AB14-95757A1B6579},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{1E3D3AF9-B097-4854-8B84-7C7EFF7FF7C8},0.76814282179,0.02152811798
9,AFRO,LR,KPAAI,BONG,BONG,LIBERIA,LR001002001005000000,LR001002001000000000,LR001002000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-9.22800786000,6.92072378000,Kpaai,Bong,Bong,{2E92877B-3BDC-41D8-B463-170598A24D5F},{2028113B-9DAE-49D0-AB36-0F00F4E3D4C1},{D52205B7-1D9F-404D-AB14-95757A1B6579},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{83A868EE-C7F7-42CA-B269-FC04FCBFD17E},1.23043719629,0.05488295940
10,AFRO,GN,MANDIANA CTRE,MANDIANA,KANKAN,GUINEA,GN001004004008000000,GN001004004000000000,GN001004000000000000,GN001000000000000000,1/1/2000,12/31/9999,GIN,GUI,,,3,Member state,324,WCARO,-8.81881442000,10.61535829000,Mandiana Centre,Mandiana,Kankan,{773C791B-D879-4053-B58D-6881B3356FEE},{5FE6EEFE-756C-42FD-A228-6AC002879C97},{F4A65CE5-DE5C-458C-89D2-9A9948436620},{3740A605-5160-4F27-BD0D-D8F08466011A},ADM3_VIZ_NAME: Changed CTRE to Centre,{0AEB1CC3-1738-41ED-B6C7-005417AC192B},0.99260585239,0.04702959575
11,AFRO,GN,MISSAMANA,KANKAN,KANKAN,GUINEA,GN001004001009000000,GN001004001000000000,GN001004000000000000,GN001000000000000000,1/1/2000,12/31/9999,GIN,GUI,,,3,Member state,324,WCARO,-8.95021468000,10.24245220000,Missamana,Kankan,Kankan,{1A9092B8-22A9-4BA9-9EF8-8BA17E0CA72A},{6B598816-7B2E-4A23-82BC-A2FB71A01E39},{F4A65CE5-DE5C-458C-89D2-9A9948436620},{3740A605-5160-4F27-BD0D-D8F08466011A},,{1904152B-D459-4F72-994B-47D4CB114704},1.47169665958,0.09595774547
12,AFRO,GN,MISSIRA,KOUBIA,LABE,GUINEA,GN001006001005000000,GN001006001000000000,GN001006000000000000,GN001000000000000000,1/1/2000,12/31/9999,GIN,GUI,,,3,Member state,324,WCARO,-11.97097636000,11.46932245000,Missira,Koubia,Labe,{581D1D36-0127-4319-B140-83E1B9E3ABC2},{D29375BE-9AA5-4EB6-B335-84CAACC206C6},{8C1432DB-20F7-4B43-A09A-F370CA3EEC0C},{3740A605-5160-4F27-BD0D-D8F08466011A},,{0CC43A85-AE0F-4599-9E3E-59437A6DC7B6},0.75241944091,0.02923369299
