OBJECTID,WHO_REGION,ISO_2_CODE,ADM4_NAME,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM4_CODE,ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,STARTDATE,ENDDATE,ISO_3_CODE,WHO_CODE,ADM4_ALTNA,ADM3_ALTCO,LVL,WHO_STATUS,UN_CODE,UNICEF_REG,CENTER_LON,CENTER_LAT,ADM4_VIZ_N,ADM3_VIZ_N,ADM2_VIZ_N,ADM1_VIZ_N,GUID,ADM3_GUID,ADM2_GUID,ADM1_GUID,ADM0_GUID,NOTES,GlobalID,Shape_Leng,Shape_Area
1,AFRO,SL,BAGOLLAY,YAKEMU KPUKUMU,PUJEHUN,SOUTHERN,SIERRA LEONE,SL001003004012001000,SL001003004012000000,SL001003004000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.76856487000,7.19036888000,Bagollay,Yakemu Kpukumu,Pujehun,Southern,{404AAAC6-30F9-4061-80F5-BF59B4C4B86E},{81CDDD90-8D69-4FD6-B4E3-F4621B7696A9},{5897C1E2-657A-4ABE-A2D0-D58CA9BED62F},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{6FE232F3-D50A-4943-A2CA-43DC5CD29D48},0.09662380084,0.00056111625
2,AFRO,SL,BAPAWA,YAKEMU KPUKUMU,PUJEHUN,SOUTHERN,SIERRA LEONE,SL001003004012002000,SL001003004012000000,SL001003004000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.75513322000,7.26344634000,Bapawa,Yakemu Kpukumu,Pujehun,Southern,{441EE8F3-B0AC-4553-B5C5-792E9E497847},{81CDDD90-8D69-4FD6-B4E3-F4621B7696A9},{5897C1E2-657A-4ABE-A2D0-D58CA9BED62F},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{A746E21F-421E-439E-AF66-79FD1890AE42},0.26673836479,0.00230214933
3,AFRO,SL,BATOWA,YAKEMU KPUKUMU,PUJEHUN,SOUTHERN,SIERRA LEONE,SL001003004012003000,SL001003004012000000,SL001003004000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.66724618000,7.23934728000,Batowa,Yakemu Kpukumu,Pujehun,Southern,{3FA7800A-9F33-4D44-BADF-DC85A1FCDB1F},{81CDDD90-8D69-4FD6-B4E3-F4621B7696A9},{5897C1E2-657A-4ABE-A2D0-D58CA9BED62F},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{D347FAB0-97FB-49F5-BF06-7051C82929D8},0.24706504960,0.00117106698
4,AFRO,SL,BEKOWA,YAKEMU KPUKUMU,PUJEHUN,SOUTHERN,SIERRA LEONE,SL001003004012004000,SL001003004012000000,SL001003004000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.82943131000,7.24894964000,Bekowa,Yakemu Kpukumu,Pujehun,Southern,{B51C7046-9422-45BA-9954-B818F8E123CC},{81CDDD90-8D69-4FD6-B4E3-F4621B7696A9},{5897C1E2-657A-4ABE-A2D0-D58CA9BED62F},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{80B55BD7-EABD-402F-A547-69C348C32DC2},0.10945857683,0.00054689392
5,AFRO,SL,DEYOMBO,YAKEMU KPUKUMU,PUJEHUN,SOUTHERN,SIERRA LEONE,SL001003004012005000,SL001003004012000000,SL001003004000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.65394466000,7.23027107000,Deyombo,Yakemu Kpukumu,Pujehun,Southern,{26FC63CC-CD00-4FDC-87E1-4C718AB8151C},{81CDDD90-8D69-4FD6-B4E3-F4621B7696A9},{5897C1E2-657A-4ABE-A2D0-D58CA9BED62F},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{60665ED0-E54C-45A8-9693-BF2E16DDE8DA},0.12128556652,0.00091082563
6,AFRO,SL,FORTUNE,YAKEMU KPUKUMU,PUJEHUN,SOUTHERN,SIERRA LEONE,SL001003004012006000,SL001003004012000000,SL001003004000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.80629454000,7.22437504000,Fortune,Yakemu Kpukumu,Pujehun,Southern,{4008D8B2-81D4-4D2C-9A60-FF32A10328B4},{81CDDD90-8D69-4FD6-B4E3-F4621B7696A9},{5897C1E2-657A-4ABE-A2D0-D58CA9BED62F},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{236EC08D-EE12-4C40-9EAD-97FDB9D1775B},0.14100405905,0.00073105350
7,AFRO,SL,KPUKUMU,YAKEMU KPUKUMU,PUJEHUN,SOUTHERN,SIERRA LEONE,SL001003004012009000,SL001003004012000000,SL001003004000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.76240034000,7.22083414000,Kpukumu,Yakemu Kpukumu,Pujehun,Southern,{C5C6EDF8-672A-44C1-B9AC-C9CFA8DE1038},{81CDDD90-8D69-4FD6-B4E3-F4621B7696A9},{5897C1E2-657A-4ABE-A2D0-D58CA9BED62F},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{E6B2A614-2F24-49FF-827E-A82598C9B514},0.35693801761,0.00244941529
8,AFRO,SL,SEIWOH,YAKEMU KPUKUMU,PUJEHUN,SOUTHERN,SIERRA LEONE,SL001003004012010000,SL001003004012000000,SL001003004000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.82075722000,7.19891483000,Seiwoh,Yakemu Kpukumu,Pujehun,Southern,{ACCD2E71-065C-4B9E-97FF-4DCD38EC3226},{81CDDD90-8D69-4FD6-B4E3-F4621B7696A9},{5897C1E2-657A-4ABE-A2D0-D58CA9BED62F},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{A8316577-E0F7-4AE9-B0D2-58CFF77BF23A},0.19468012991,0.00181404222
9,AFRO,SL,YABAI,YAKEMU KPUKUMU,PUJEHUN,SOUTHERN,SIERRA LEONE,SL001003004012012000,SL001003004012000000,SL001003004000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.84886965000,7.23151629000,Yabai,Yakemu Kpukumu,Pujehun,Southern,{DCCBBD2E-AD02-4DF2-8558-A4A6BC1B8772},{81CDDD90-8D69-4FD6-B4E3-F4621B7696A9},{5897C1E2-657A-4ABE-A2D0-D58CA9BED62F},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{3062A7CA-409A-4231-B54B-941DF651587B},0.18529128076,0.00160790012
10,AFRO,SL,MATHIRIE,KOYA,PORT LOKO,NORTHERN,SIERRA LEONE,SL001002004005013000,SL001002004005000000,SL001002004000000000,SL001002000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-12.91904310000,8.40308010000,Mathirie,Koya,Port Loko,Northern,{0398EAB6-CD3B-4175-9BE6-2D955C59B2C7},{9D1E3E89-5ECF-4223-AED1-7CD6F647C68F},{A28758B8-26B3-4838-9C28-37F59EAE608F},{BBF2DABC-CEB0-4274-A263-8E0B43201D81},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{945E988D-E654-4FC3-833C-76E36AD82DFF},0.23352596345,0.00308977685
