,ADM1_NAME,ADM2_NAME,iso3,ADM0_NAME.x,year,vaccine,GAUL_CODE,merge_status,ADM1_NAME.who,ADM1_NAME.shpfile,ADM2_NAME.who,ADM2_NAME.shpfile,who_coverage,Note
1,bengo,ambriz,AGO,Angola,2016,DTP3,1886,success,NA,NA,ambriz,NA,68,
2,bengo,dande,AGO,Angola,2016,DTP3,1887,success,NA,NA,dande,NA,90,
3,bengo,nambuangongo,AGO,Angola,2016,DTP3,1890,success,NA,NA,nambuangongo,NA,73,
4,benguela,balombo,AGO,Angola,2016,DTP3,1892,success,NA,NA,balombo,NA,79,
5,benguela,benguela,AGO,Angola,2016,DTP3,1893,success,NA,NA,benguela,NA,71,
6,benguela,bocoio,AGO,Angola,2016,DTP3,1894,success,NA,NA,bocoio,NA,87,
7,benguela,chongoroi,AGO,Angola,2016,DTP3,1896,success,NA,NA,chongoroi,NA,104,
8,benguela,cubal,AGO,Angola,2016,DTP3,1897,success,NA,NA,cubal,NA,75,
9,benguela,ganda,AGO,Angola,2016,DTP3,1898,success,NA,NA,ganda,NA,74,
10,benguela,lobito,AGO,Angola,2016,DTP3,1899,success,NA,NA,lobito,NA,81,
11,cabinda,belize,AGO,Angola,2016,DTP3,1909,success,NA,NA,belize,NA,57,
12,cabinda,bucozau,AGO,Angola,2016,DTP3,1910,success,NA,NA,bucozau,NA,127,
13,cabinda,cabinda,AGO,Angola,2016,DTP3,1911,success,NA,NA,cabinda,NA,35,
14,cuandocubango,calai,AGO,Angola,2016,DTP3,1913,success,NA,NA,calai,NA,40,
15,cuandocubango,cuangar,AGO,Angola,2016,DTP3,1914,success,NA,NA,cuangar,NA,75,
16,cuandocubango,cuchi,AGO,Angola,2016,DTP3,1915,success,NA,NA,cuchi,NA,54,
17,cuandocubango,cuitocuanavale,AGO,Angola,2016,DTP3,1916,success,NA,NA,cuitocuanavale,NA,29,
18,cuandocubango,dirico,AGO,Angola,2016,DTP3,1917,success,NA,NA,dirico,NA,3,
19,cuandocubango,mavinga,AGO,Angola,2016,DTP3,1918,success,NA,NA,mavinga,NA,30,
20,cuandocubango,menongue,AGO,Angola,2016,DTP3,1919,success,NA,NA,menongue,NA,32,
21,cuandocubango,nancova,AGO,Angola,2016,DTP3,1920,success,NA,NA,nancova,NA,599,
22,cuandocubango,rivungo,AGO,Angola,2016,DTP3,1921,success,NA,NA,rivungo,NA,12,
23,cuanzanorte,ambaca,AGO,Angola,2016,DTP3,1922,success,NA,NA,ambaca,NA,47,
24,cuanzanorte,banga,AGO,Angola,2016,DTP3,1923,success,NA,NA,banga,NA,168,
25,cuanzanorte,bolongongo,AGO,Angola,2016,DTP3,1924,success,NA,NA,bolongongo,NA,104,
26,cuanzanorte,cambambe,AGO,Angola,2016,DTP3,1926,success,NA,NA,cambambe,NA,91,
27,cuanzanorte,cazengo,AGO,Angola,2016,DTP3,1927,success,NA,NA,cazengo,NA,80,
28,cuanzanorte,golungoalto,AGO,Angola,2016,DTP3,1929,success,NA,NA,golungoalto,NA,43,
29,cuanzanorte,lucala,AGO,Angola,2016,DTP3,1930,success,NA,NA,lucala,NA,84,
30,cuanzanorte,quiculungo,AGO,Angola,2016,DTP3,1933,success,NA,NA,quiculungo,NA,103,
31,cuanzasul,amboim,AGO,Angola,2016,DTP3,1935,success,NA,NA,amboim,NA,75,
32,cuanzasul,cassongue,AGO,Angola,2016,DTP3,1936,success,NA,NA,cassongue,NA,107,
33,cuanzasul,conda,AGO,Angola,2016,DTP3,1937,success,NA,NA,conda,NA,171,
34,cuanzasul,ebo,AGO,Angola,2016,DTP3,1938,success,NA,NA,ebo,NA,77,
35,cuanzasul,libolo,AGO,Angola,2016,DTP3,1939,success,NA,NA,libolo,NA,64,
36,cuanzasul,mussende,AGO,Angola,2016,DTP3,1940,success,NA,NA,mussende,NA,101,
37,cuanzasul,portoamboim,AGO,Angola,2016,DTP3,1941,success,NA,NA,portoamboim,NA,63,
