,ADM1_NAME,ADM2_NAME,iso3.x,ADM0_NAME.x,year,vaccine,GAUL_CODE,merge_status,ADM1_NAME.who,ADM1_NAME.shpfile,ADM2_NAME.who,ADM2_NAME.gadm,who_coverage,Note
1,bubanza,bubanza,BDI,Burundi,2016,DTP3,40559,success,NA,NA,bubanza,NA,108.6374817,
2,bubanza,mpanda,BDI,Burundi,2016,DTP3,40561,success,NA,NA,mpanda,NA,132.1077736,
3,bujumburarural,isale,BDI,Burundi,2016,DTP3,40581,success,NA,NA,isale,NA,107.3581467,
4,bujumburarural,kabezi,BDI,Burundi,2016,DTP3,40582,success,NA,NA,kabezi,NA,87.0470046,
5,bururi,bururi,BDI,Burundi,2016,DTP3,40592,success,NA,NA,bururi,NA,86.12800457,
6,bururi,matana,BDI,Burundi,2016,DTP3,40594,success,NA,NA,matana,NA,68.15303921,
7,cankuzo,cankuzo,BDI,Burundi,2016,DTP3,40600,success,NA,NA,cankuzo,NA,103.035641,
8,cibitoke,mabayi,BDI,Burundi,2016,DTP3,40607,success,NA,NA,mabayi,NA,116.0240387,
9,gitega,gitega,BDI,Burundi,2016,DTP3,40616,success,NA,NA,gitega,NA,108.9171679,
10,gitega,mutaho,BDI,Burundi,2016,DTP3,40619,success,NA,NA,mutaho,NA,98.20523247,
11,gitega,ryansoro,BDI,Burundi,2016,DTP3,40621,success,NA,NA,ryansoro,NA,93.18909078,
12,kayanza,gahombo, ,Burundi,2016,DTP3,40630,success,NA,NA,gahombo,NA,86.51434118,
13,kayanza,kayanza,BDI,Burundi,2016,DTP3,40633,success,NA,NA,kayanza,NA,100.1926331,
14,kirundo,busoni,BDI,Burundi,2016,DTP3,40639,success,NA,NA,busoni,NA,100.2635107,
15,kirundo,kirundo,BDI,Burundi,2016,DTP3,40642,success,NA,NA,kirundo,NA,105.3641056,
16,kirundo,vumbi,BDI,Burundi,2016,DTP3,40644,success,NA,NA,vumbi,NA,105.8973488,
17,makamba,makamba,BDI,Burundi,2016,DTP3,40649,success,NA,NA,makamba,NA,99.77631794,
18,makamba,nyanzalac,BDI,Burundi,2016,DTP3,40650,success,NA,NA,nyanzalac,NA,104.8318522,
19,muyinga,gashoho,BDI,Burundi,2016,DTP3,40659,success,NA,NA,gashoho,NA,126.6156018,
20,muyinga,giteranyi,BDI,Burundi,2016,DTP3,40661,success,NA,NA,giteranyi,NA,92.40001539,
21,muyinga,muyinga,BDI,Burundi,2016,DTP3,40662,success,NA,NA,muyinga,NA,119.5315703,
22,ngozi,kiremba,BDI,Burundi,2016,DTP3,40672,success,NA,NA,kiremba,NA,97.37927791,
23,ngozi,ngozi,BDI,Burundi,2016,DTP3,40675,success,NA,NA,ngozi,NA,95.45058535,
24,rutana,rutana,BDI,Burundi,2016,DTP3,40684,success,NA,NA,rutana,NA,97.24690282,
25,ruyigi,butezi,BDI,Burundi,2016,DTP3,40686,success,NA,NA,butezi,NA,102.3641824,
26,ruyigi,kinyinya,BDI,Burundi,2016,DTP3,40689,success,NA,NA,kinyinya,NA,111.8506338,
27,ruyigi,ruyigi,BDI,Burundi,2016,DTP3,40691,success,NA,NA,ruyigi,NA,112.0505391,
28,NA,NA,BDI,Burundi,2016,NA,40623,fuzzy need fix,karusi,karuzi,buhiga,buhiga,108.5213757,
29,NA,NA,BDI,Burundi,2016,NA,40670,fuzzy need fix,karusi,ngozi,buhiga,busiga,108.5213757,r
30,NA,NA,BDI,Burundi,2016,NA,40603,fuzzy need fix,muramya,cankuzo,kiganda,kigamba,84.45801642,r
31,NA,NA,BDI,Burundi,2016,NA,40605,fuzzy need fix,muramya,cibitoke,kiganda,buganda,84.45801642,r
32,NA,NA,BDI,Burundi,2016,NA,40653,fuzzy need fix,muramya,muramvya,kiganda,kiganda,84.45801642,
33,NA,NA,BDI,Burundi,2016,NA,40652,fuzzy need fix,ngozi,muramvya,buye,bukeye,84.35458825,r
34,NA,NA,BDI,Burundi,2016,NA,40654,fuzzy need fix,ngozi,muramvya,buye,mbuye,84.35458825,r
35,NA,NA,BDI,Burundi,2016,NA,40568,fuzzy success,cibitoke,bujumburamairie,cibitoke,cibitoke,111.2040026,
36,NA,NA,BDI,Burundi,2016,NA,40654,fuzzy success,gitega,muramvya,kibuye,mbuye,105.3751275,change
37,NA,NA,BDI,Burundi,2016,NA,40627,fuzzy success,karusi,karuzi,nyabikere,nyabikere,103.3307389,
38,NA,NA,BDI,Burundi,2016,NA,40574,fuzzy success,kayanza,bujumburamairie,musema,musaga,84.99529694,change
39,NA,NA,BDI,Burundi,2016,NA,40755,fuzzy success,kirundo,bujumburarural,mukenke,mukike,102.8654289,
40,NA,NA,BDI,Burundi,2016,NA,40655,fuzzy success,muramya,muramvya,muramvya,muramvya,93.06794051,
41,NA,NA,BDI,Burundi,2016,NA,40580,fuzzy success,rumonge,bujumburarural,bugarama,bugarama,95.28556571,
42,NA,NA,BDI,Burundi,2016,NA,40596,fuzzy success,rumonge,bururi,rumonge,rumonge,107.8618802,
43,NA,NA,BDI,Burundi,2016,NA,40665,fuzzy success,rutana,mwaro,gihofi,gisozi,129.787148,
44,bujumburamairie,zonecentre,BDI,Burundi,2016,DTP3,NA,in WHO but not shpfile,NA,NA,zonecentre,NA,80.93616405,
45,bujumburamairie,zonenord,BDI,Burundi,2016,DTP3,NA,in WHO but not shpfile,NA,NA,zonenord,NA,111.900083,
46,bujumburamairie,zonesud,BDI,Burundi,2016,DTP3,NA,in WHO but not shpfile,NA,NA,zonesud,NA,95.25550916,
47,bujumburarural,rwibaga,BDI,Burundi,2016,DTP3,NA,in WHO but not shpfile,NA,NA,rwibaga,NA,63.2777438,
48,cankuzo,murore,BDI,Burundi,2016,DTP3,NA,in WHO but not shpfile,NA,NA,murore,NA,123.8137458,
49,mwaro,fota,BDI,Burundi,2016,DTP3,NA,in WHO but not shpfile,NA,NA,fota,NA,69.1761548,
50,mwaro,kibumbu,BDI,Burundi,2016,DTP3,NA,in WHO but not shpfile,NA,NA,kibumbu,NA,79.936748,
51,bubanza,gihanga,BDI,Burundi,NA,NA,48356,in shpfile but not WHO,NA,Bubanza,NA,gihanga,NA,
52,bubanza,musigati,BDI,Burundi,NA,NA,40562,in shpfile but not WHO,NA,Bubanza,NA,musigati,NA,
53,bubanza,rugazi,BDI,Burundi,NA,NA,40563,in shpfile but not WHO,NA,Bubanza,NA,rugazi,NA,
54,bujumburamairie,administrativeunitnotavailable,BDI,Burundi,NA,NA,40564,in shpfile but not WHO,NA,Bujumbura Mairie,NA,administrativeunitnotavailable,NA,
55,bujumburamairie,buterere,BDI,Burundi,NA,NA,40565,in shpfile but not WHO,NA,Bujumbura Mairie,NA,buterere,NA,
56,bujumburamairie,buyenzi,BDI,Burundi,NA,NA,40566,in shpfile but not WHO,NA,Bujumbura Mairie,NA,buyenzi,NA,
57,bujumburamairie,bwiza,BDI,Burundi,NA,NA,40567,in shpfile but not WHO,NA,Bujumbura Mairie,NA,bwiza,NA,
58,bujumburamairie,gihosha,BDI,Burundi,NA,NA,40569,in shpfile but not WHO,NA,Bujumbura Mairie,NA,gihosha,NA,
59,bujumburamairie,kamenge,BDI,Burundi,NA,NA,40570,in shpfile but not WHO,NA,Bujumbura Mairie,NA,kamenge,NA,
60,bujumburamairie,kanyosha,BDI,Burundi,NA,NA,40571,in shpfile but not WHO,NA,Bujumbura Mairie,NA,kanyosha,NA,
61,bujumburamairie,kinama,BDI,Burundi,NA,NA,40572,in shpfile but not WHO,NA,Bujumbura Mairie,NA,kinama,NA,
62,bujumburamairie,kinindo,BDI,Burundi,NA,NA,40573,in shpfile but not WHO,NA,Bujumbura Mairie,NA,kinindo,NA,
63,bujumburamairie,ngagara,BDI,Burundi,NA,NA,40575,in shpfile but not WHO,NA,Bujumbura Mairie,NA,ngagara,NA,
64,bujumburamairie,nyakabiga,BDI,Burundi,NA,NA,40576,in shpfile but not WHO,NA,Bujumbura Mairie,NA,nyakabiga,NA,
65,bujumburamairie,rohero,BDI,Burundi,NA,NA,40577,in shpfile but not WHO,NA,Bujumbura Mairie,NA,rohero,NA,
66,bujumburarural,administrativeunitnotavailable,BDI,Burundi,NA,NA,40578,in shpfile but not WHO,NA,Bujumbura Rural,NA,administrativeunitnotavailable,NA,
67,bujumburarural,administrativeunitnotavailable,BDI,Burundi,NA,NA,40579,in shpfile but not WHO,NA,Bujumbura Rural,NA,administrativeunitnotavailable,NA,
68,bujumburarural,kanyosha1,BDI,Burundi,NA,NA,40753,in shpfile but not WHO,NA,Bujumbura Rural,NA,kanyosha1,NA,
69,bujumburarural,mubimbi,BDI,Burundi,NA,NA,40584,in shpfile but not WHO,NA,Bujumbura Rural,NA,mubimbi,NA,
70,bujumburarural,mugongomanga,BDI,Burundi,NA,NA,40754,in shpfile but not WHO,NA,Bujumbura Rural,NA,mugongomanga,NA,
71,bujumburarural,muhuta,BDI,Burundi,NA,NA,40586,in shpfile but not WHO,NA,Bujumbura Rural,NA,muhuta,NA,
72,bujumburarural,mutambu,BDI,Burundi,NA,NA,40756,in shpfile but not WHO,NA,Bujumbura Rural,NA,mutambu,NA,
73,bujumburarural,mutimbuzi,BDI,Burundi,NA,NA,40589,in shpfile but not WHO,NA,Bujumbura Rural,NA,mutimbuzi,NA,
