NAME.who,NAME.shpfile,NAME.who_adm1,vaccine,iso3,who_coverage,merge_status,GAUL_CODE
aboumi,aboumi,hautogooue,BCG,GAB,34.98320759,success,74931
aboumi,aboumi,hautogooue,DTP1,GAB,59.84763805,success,74931
aboumi,aboumi,hautogooue,DTP3,GAB,52.80673946,success,74931
aboumi,aboumi,hautogooue,DTP4,GAB,-4444,success,74931
aboumi,aboumi,hautogooue,HepB_BD,GAB,-4444,success,74931
aboumi,aboumi,hautogooue,HepB_BDall,GAB,-4444,success,74931
aboumi,aboumi,hautogooue,HepB3,GAB,52.80673946,success,74931
aboumi,aboumi,hautogooue,Hib3,GAB,52.80673946,success,74931
aboumi,aboumi,hautogooue,IPV1,GAB,52.80673946,success,74931
aboumi,aboumi,hautogooue,MCV1,GAB,41.23954891,success,74931
aboumi,aboumi,hautogooue,MCV2,GAB,-4444,success,74931
aboumi,aboumi,hautogooue,MenA,GAB,-4444,success,74931
aboumi,aboumi,hautogooue,PAB_DTP1,GAB,-4444,success,74931
aboumi,aboumi,hautogooue,PCV1,GAB,-4444,success,74931
aboumi,aboumi,hautogooue,PCV2,GAB,-4444,success,74931
aboumi,aboumi,hautogooue,PCV3,GAB,-4444,success,74931
aboumi,aboumi,hautogooue,Pol3,GAB,52.80673946,success,74931
aboumi,aboumi,hautogooue,RCV1,GAB,-4444,success,74931
aboumi,aboumi,hautogooue,Rota1,GAB,-4444,success,74931
aboumi,aboumi,hautogooue,RotaC,GAB,-4444,success,74931
aboumi,aboumi,hautogooue,TT2plus,GAB,25.27878176,success,74931
aboumi,aboumi,hautogooue,VAD1,GAB,-4444,success,74931
aboumi,aboumi,hautogooue,YFV,GAB,41.23954891,success,74931
akieni,akieni,hautogooue,BCG,GAB,38.80047554,success,74998
akieni,akieni,hautogooue,DTP1,GAB,77.05058972,success,74998
akieni,akieni,hautogooue,DTP3,GAB,70.29615491,success,74998
akieni,akieni,hautogooue,DTP4,GAB,-4444,success,74998
akieni,akieni,hautogooue,HepB_BD,GAB,-4444,success,74998
akieni,akieni,hautogooue,HepB_BDall,GAB,-4444,success,74998
akieni,akieni,hautogooue,HepB3,GAB,70.29615491,success,74998
akieni,akieni,hautogooue,Hib3,GAB,70.29615491,success,74998
akieni,akieni,hautogooue,IPV1,GAB,70.29615491,success,74998
akieni,akieni,hautogooue,MCV1,GAB,61.54040608,success,74998
akieni,akieni,hautogooue,MCV2,GAB,-4444,success,74998
akieni,akieni,hautogooue,MenA,GAB,-4444,success,74998
akieni,akieni,hautogooue,PAB_DTP1,GAB,-4444,success,74998
akieni,akieni,hautogooue,PCV1,GAB,-4444,success,74998
akieni,akieni,hautogooue,PCV2,GAB,-4444,success,74998
akieni,akieni,hautogooue,PCV3,GAB,-4444,success,74998
akieni,akieni,hautogooue,Pol3,GAB,70.29615491,success,74998
akieni,akieni,hautogooue,RCV1,GAB,-4444,success,74998
akieni,akieni,hautogooue,Rota1,GAB,-4444,success,74998
akieni,akieni,hautogooue,RotaC,GAB,-4444,success,74998
akieni,akieni,hautogooue,TT2plus,GAB,36.5795729,success,74998
akieni,akieni,hautogooue,VAD1,GAB,-4444,success,74998
akieni,akieni,hautogooue,YFV,GAB,61.54040608,success,74998
bakoumba,bakoumba,hautogooue,BCG,GAB,24.71203902,success,75134
bakoumba,bakoumba,hautogooue,DTP1,GAB,43.06987335,success,75134
bakoumba,bakoumba,hautogooue,DTP3,GAB,47.54466539,success,75134
bakoumba,bakoumba,hautogooue,DTP4,GAB,-4444,success,75134
bakoumba,bakoumba,hautogooue,HepB_BD,GAB,-4444,success,75134
bakoumba,bakoumba,hautogooue,HepB_BDall,GAB,-4444,success,75134
bakoumba,bakoumba,hautogooue,HepB3,GAB,47.54466539,success,75134
bakoumba,bakoumba,hautogooue,Hib3,GAB,47.54466539,success,75134
bakoumba,bakoumba,hautogooue,IPV1,GAB,47.54466539,success,75134
bakoumba,bakoumba,hautogooue,MCV1,GAB,43.62922236,success,75134
bakoumba,bakoumba,hautogooue,MCV2,GAB,-4444,success,75134
bakoumba,bakoumba,hautogooue,MenA,GAB,-4444,success,75134
bakoumba,bakoumba,hautogooue,PAB_DTP1,GAB,-4444,success,75134
bakoumba,bakoumba,hautogooue,PCV1,GAB,-4444,success,75134
bakoumba,bakoumba,hautogooue,PCV2,GAB,-4444,success,75134
bakoumba,bakoumba,hautogooue,PCV3,GAB,-4444,success,75134
bakoumba,bakoumba,hautogooue,Pol3,GAB,47.54466539,success,75134
bakoumba,bakoumba,hautogooue,RCV1,GAB,-4444,success,75134
bakoumba,bakoumba,hautogooue,Rota1,GAB,-4444,success,75134
bakoumba,bakoumba,hautogooue,RotaC,GAB,-4444,success,75134
bakoumba,bakoumba,hautogooue,TT2plus,GAB,17.89139941,success,75134
bakoumba,bakoumba,hautogooue,VAD1,GAB,-4444,success,75134
bakoumba,bakoumba,hautogooue,YFV,GAB,43.62922236,success,75134
bitam,bitam,woleuntem,BCG,GAB,50.43582446,success,75239
bitam,bitam,woleuntem,DTP1,GAB,46.42335369,success,75239
bitam,bitam,woleuntem,DTP3,GAB,44.14884264,success,75239
bitam,bitam,woleuntem,DTP4,GAB,-4444,success,75239
bitam,bitam,woleuntem,HepB_BD,GAB,-4444,success,75239
bitam,bitam,woleuntem,HepB_BDall,GAB,-4444,success,75239
bitam,bitam,woleuntem,HepB3,GAB,44.14884264,success,75239
bitam,bitam,woleuntem,Hib3,GAB,44.14884264,success,75239
bitam,bitam,woleuntem,IPV1,GAB,44.14884264,success,75239
bitam,bitam,woleuntem,MCV1,GAB,27.35245337,success,75239
bitam,bitam,woleuntem,MCV2,GAB,-4444,success,75239
bitam,bitam,woleuntem,MenA,GAB,-4444,success,75239
bitam,bitam,woleuntem,PAB_DTP1,GAB,-4444,success,75239
bitam,bitam,woleuntem,PCV1,GAB,-4444,success,75239
bitam,bitam,woleuntem,PCV2,GAB,-4444,success,75239
bitam,bitam,woleuntem,PCV3,GAB,-4444,success,75239
bitam,bitam,woleuntem,Pol3,GAB,44.03220105,success,75239
bitam,bitam,woleuntem,RCV1,GAB,-4444,success,75239
bitam,bitam,woleuntem,Rota1,GAB,-4444,success,75239
bitam,bitam,woleuntem,RotaC,GAB,-4444,success,75239
bitam,bitam,woleuntem,TT2plus,GAB,21.79917956,success,75239
bitam,bitam,woleuntem,VAD1,GAB,-4444,success,75239
bitam,bitam,woleuntem,YFV,GAB,25.48618789,success,75239
bongoville,bongoville,hautogooue,BCG,GAB,36.47689275,success,75275
bongoville,bongoville,hautogooue,DTP1,GAB,41.35817907,success,75275
bongoville,bongoville,hautogooue,DTP3,GAB,50.54888553,success,75275
bongoville,bongoville,hautogooue,DTP4,GAB,-4444,success,75275
bongoville,bongoville,hautogooue,HepB_BD,GAB,-4444,success,75275
bongoville,bongoville,hautogooue,HepB_BDall,GAB,-4444,success,75275
bongoville,bongoville,hautogooue,HepB3,GAB,50.54888553,success,75275
bongoville,bongoville,hautogooue,Hib3,GAB,50.54888553,success,75275
bongoville,bongoville,hautogooue,IPV1,GAB,50.54888553,success,75275
bongoville,bongoville,hautogooue,MCV1,GAB,59.22899719,success,75275
bongoville,bongoville,hautogooue,MCV2,GAB,-4444,success,75275
bongoville,bongoville,hautogooue,MenA,GAB,-4444,success,75275
bongoville,bongoville,hautogooue,PAB_DTP1,GAB,-4444,success,75275
bongoville,bongoville,hautogooue,PCV1,GAB,-4444,success,75275
bongoville,bongoville,hautogooue,PCV2,GAB,-4444,success,75275
bongoville,bongoville,hautogooue,PCV3,GAB,-4444,success,75275
bongoville,bongoville,hautogooue,Pol3,GAB,50.54888553,success,75275
bongoville,bongoville,hautogooue,RCV1,GAB,-4444,success,75275
bongoville,bongoville,hautogooue,Rota1,GAB,-4444,success,75275
bongoville,bongoville,hautogooue,RotaC,GAB,-4444,success,75275
bongoville,bongoville,hautogooue,TT2plus,GAB,24.26459971,success,75275
bongoville,bongoville,hautogooue,VAD1,GAB,-4444,success,75275
bongoville,bongoville,hautogooue,YFV,GAB,58.20780758,success,75275
booue,booue,ogivindo,BCG,GAB,38.11591842,success,75278
booue,booue,ogivindo,DTP1,GAB,54.58498956,success,75278
booue,booue,ogivindo,DTP3,GAB,44.25283082,success,75278
booue,booue,ogivindo,DTP4,GAB,-4444,success,75278
booue,booue,ogivindo,HepB_BD,GAB,-4444,success,75278
booue,booue,ogivindo,HepB_BDall,GAB,-4444,success,75278
booue,booue,ogivindo,HepB3,GAB,44.25283082,success,75278
booue,booue,ogivindo,Hib3,GAB,44.25283082,success,75278
booue,booue,ogivindo,IPV1,GAB,44.25283082,success,75278
booue,booue,ogivindo,MCV1,GAB,51.85574008,success,75278
booue,booue,ogivindo,MCV2,GAB,-4444,success,75278
booue,booue,ogivindo,MenA,GAB,-4444,success,75278
booue,booue,ogivindo,PAB_DTP1,GAB,-4444,success,75278
booue,booue,ogivindo,PCV1,GAB,-4444,success,75278
booue,booue,ogivindo,PCV2,GAB,-4444,success,75278
booue,booue,ogivindo,PCV3,GAB,-4444,success,75278
booue,booue,ogivindo,Pol3,GAB,40.93874217,success,75278
booue,booue,ogivindo,RCV1,GAB,-4444,success,75278
booue,booue,ogivindo,Rota1,GAB,-4444,success,75278
booue,booue,ogivindo,RotaC,GAB,-4444,success,75278
booue,booue,ogivindo,TT2plus,GAB,25.83310443,success,75278
booue,booue,ogivindo,VAD1,GAB,-4444,success,75278
booue,booue,ogivindo,YFV,GAB,51.85574008,success,75278
boumango,boumango,hautogooue,BCG,GAB,31.98178318,success,75293
boumango,boumango,hautogooue,DTP1,GAB,37.06095695,success,75293
boumango,boumango,hautogooue,DTP3,GAB,38.88362696,success,75293
boumango,boumango,hautogooue,DTP4,GAB,-4444,success,75293
boumango,boumango,hautogooue,HepB_BD,GAB,-4444,success,75293
boumango,boumango,hautogooue,HepB_BDall,GAB,-4444,success,75293
boumango,boumango,hautogooue,HepB3,GAB,38.88362696,success,75293
boumango,boumango,hautogooue,Hib3,GAB,38.88362696,success,75293
boumango,boumango,hautogooue,IPV1,GAB,38.27607029,success,75293
boumango,boumango,hautogooue,MCV1,GAB,29.16272022,success,75293
boumango,boumango,hautogooue,MCV2,GAB,-4444,success,75293
boumango,boumango,hautogooue,MenA,GAB,-4444,success,75293
boumango,boumango,hautogooue,PAB_DTP1,GAB,-4444,success,75293
boumango,boumango,hautogooue,PCV1,GAB,-4444,success,75293
boumango,boumango,hautogooue,PCV2,GAB,-4444,success,75293
boumango,boumango,hautogooue,PCV3,GAB,-4444,success,75293
boumango,boumango,hautogooue,Pol3,GAB,38.88362696,success,75293
boumango,boumango,hautogooue,RCV1,GAB,-4444,success,75293
boumango,boumango,hautogooue,Rota1,GAB,-4444,success,75293
boumango,boumango,hautogooue,RotaC,GAB,-4444,success,75293
boumango,boumango,hautogooue,TT2plus,GAB,12.7705037,success,75293
boumango,boumango,hautogooue,VAD1,GAB,-4444,success,75293
boumango,boumango,hautogooue,YFV,GAB,29.16272022,success,75293
cocobeach,cocobeach,estuaire,BCG,GAB,60.17277288,success,75423
cocobeach,cocobeach,estuaire,DTP1,GAB,90.8992952,success,75423
cocobeach,cocobeach,estuaire,DTP3,GAB,69.7748111,success,75423
cocobeach,cocobeach,estuaire,DTP4,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,HepB_BD,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,HepB_BDall,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,HepB3,GAB,69.7748111,success,75423
cocobeach,cocobeach,estuaire,Hib3,GAB,69.7748111,success,75423
cocobeach,cocobeach,estuaire,IPV1,GAB,69.7748111,success,75423
cocobeach,cocobeach,estuaire,MCV1,GAB,69.7748111,success,75423
cocobeach,cocobeach,estuaire,MCV2,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,MenA,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,PAB_DTP1,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,PCV1,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,PCV2,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,PCV3,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,Pol3,GAB,69.7748111,success,75423
cocobeach,cocobeach,estuaire,RCV1,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,Rota1,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,RotaC,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,TT2plus,GAB,35.68579725,success,75423
cocobeach,cocobeach,estuaire,VAD1,GAB,-4444,success,75423
cocobeach,cocobeach,estuaire,YFV,GAB,62.09318052,success,75423
fougamou,fougamou,ngounie,BCG,GAB,68.88656339,success,75647
fougamou,fougamou,ngounie,DTP1,GAB,78.4753302,success,75647
fougamou,fougamou,ngounie,DTP3,GAB,64.09817047,success,75647
fougamou,fougamou,ngounie,DTP4,GAB,-4444,success,75647
fougamou,fougamou,ngounie,HepB_BD,GAB,-4444,success,75647
fougamou,fougamou,ngounie,HepB_BDall,GAB,-4444,success,75647
fougamou,fougamou,ngounie,HepB3,GAB,64.09817047,success,75647
fougamou,fougamou,ngounie,Hib3,GAB,64.09817047,success,75647
fougamou,fougamou,ngounie,IPV1,GAB,63.89848769,success,75647
fougamou,fougamou,ngounie,MCV1,GAB,56.51022505,success,75647
fougamou,fougamou,ngounie,MCV2,GAB,-4444,success,75647
fougamou,fougamou,ngounie,MenA,GAB,-4444,success,75647
fougamou,fougamou,ngounie,PAB_DTP1,GAB,-4444,success,75647
fougamou,fougamou,ngounie,PCV1,GAB,-4444,success,75647
fougamou,fougamou,ngounie,PCV2,GAB,-4444,success,75647
fougamou,fougamou,ngounie,PCV3,GAB,-4444,success,75647
fougamou,fougamou,ngounie,Pol3,GAB,61.5022944,success,75647
fougamou,fougamou,ngounie,RCV1,GAB,-4444,success,75647
fougamou,fougamou,ngounie,Rota1,GAB,-4444,success,75647
fougamou,fougamou,ngounie,RotaC,GAB,-4444,success,75647
fougamou,fougamou,ngounie,TT2plus,GAB,41.60723402,success,75647
fougamou,fougamou,ngounie,VAD1,GAB,-4444,success,75647
fougamou,fougamou,ngounie,YFV,GAB,56.31054228,success,75647
franceville,franceville,hautogooue,BCG,GAB,63.2905367,success,75652
franceville,franceville,hautogooue,DTP1,GAB,50.45735426,success,75652
franceville,franceville,hautogooue,DTP3,GAB,47.70917638,success,75652
franceville,franceville,hautogooue,DTP4,GAB,-4444,success,75652
franceville,franceville,hautogooue,HepB_BD,GAB,-4444,success,75652
franceville,franceville,hautogooue,HepB_BDall,GAB,-4444,success,75652
franceville,franceville,hautogooue,HepB3,GAB,47.70917638,success,75652
