"","NAME.who","NAME.shpfile","NAME.who_adm1","vaccine","iso3","who_coverage","merge_status","GAUL_CODE"
"1","bubanza","bubanza","bubanza","BCG","BDI",80.18249989,"success",101
"2","bubanza","bubanza","bubanza","DTP1","BDI",94.91756701,"success",101
"3","bubanza","bubanza","bubanza","DTP3","BDI",91.86420102,"success",101
"4","bubanza","bubanza","bubanza","DTP4","BDI",62.1008287,"success",101
"5","bubanza","bubanza","bubanza","HepB_BD","BDI",-4444,"success",101
"6","bubanza","bubanza","bubanza","HepB_BDall","BDI",-4444,"success",101
"7","bubanza","bubanza","bubanza","HepB3","BDI",91.86420102,"success",101
"8","bubanza","bubanza","bubanza","Hib3","BDI",91.86420102,"success",101
"9","bubanza","bubanza","bubanza","IPV1","BDI",-2222,"success",101
"10","bubanza","bubanza","bubanza","MCV1","BDI",100.6426283,"success",101
"11","bubanza","bubanza","bubanza","MCV2","BDI",70.14918267,"success",101
"12","bubanza","bubanza","bubanza","MenA","BDI",-4444,"success",101
"13","bubanza","bubanza","bubanza","PAB_DTP1","BDI",-4444,"success",101
"14","bubanza","bubanza","bubanza","PCV1","BDI",94.91756701,"success",101
"15","bubanza","bubanza","bubanza","PCV2","BDI",95.03601656,"success",101
"16","bubanza","bubanza","bubanza","PCV3","BDI",91.86420102,"success",101
"17","bubanza","bubanza","bubanza","Pol3","BDI",91.86420102,"success",101
"18","bubanza","bubanza","bubanza","RCV1","BDI",-4444,"success",101
"19","bubanza","bubanza","bubanza","Rota1","BDI",94.91756701,"success",101
"20","bubanza","bubanza","bubanza","RotaC","BDI",95.0228555,"success",101
"21","bubanza","bubanza","bubanza","TT2plus","BDI",82.06077133,"success",101
"22","bubanza","bubanza","bubanza","VAD1","BDI",-4444,"success",101
"23","bubanza","bubanza","bubanza","YFV","BDI",-2222,"success",101
"24","bugarama","bugarama","rumonge","BCG","BDI",86.43283785,"success",1802
"25","bugarama","bugarama","rumonge","DTP1","BDI",100.3258603,"success",1802
"26","bugarama","bugarama","rumonge","DTP3","BDI",96.07077169,"success",1802
"27","bugarama","bugarama","rumonge","DTP4","BDI",51.43528506,"success",1802
"28","bugarama","bugarama","rumonge","HepB_BD","BDI",-4444,"success",1802
"29","bugarama","bugarama","rumonge","HepB_BDall","BDI",-4444,"success",1802
"30","bugarama","bugarama","rumonge","HepB3","BDI",96.07077169,"success",1802
"31","bugarama","bugarama","rumonge","Hib3","BDI",96.07077169,"success",1802
"32","bugarama","bugarama","rumonge","IPV1","BDI",-2222,"success",1802
"33","bugarama","bugarama","rumonge","MCV1","BDI",84.11529788,"success",1802
"34","bugarama","bugarama","rumonge","MCV2","BDI",58.72913837,"success",1802
"35","bugarama","bugarama","rumonge","MenA","BDI",-4444,"success",1802
"36","bugarama","bugarama","rumonge","PAB_DTP1","BDI",-4444,"success",1802
"37","bugarama","bugarama","rumonge","PCV1","BDI",100.3111368,"success",1802
"38","bugarama","bugarama","rumonge","PCV2","BDI",97.79342001,"success",1802
"39","bugarama","bugarama","rumonge","PCV3","BDI",96.21800659,"success",1802
"40","bugarama","bugarama","rumonge","Pol3","BDI",96.07077169,"success",1802
"41","bugarama","bugarama","rumonge","RCV1","BDI",-4444,"success",1802
"42","bugarama","bugarama","rumonge","Rota1","BDI",100.5025422,"success",1802
"43","bugarama","bugarama","rumonge","RotaC","BDI",98.42653008,"success",1802
"44","bugarama","bugarama","rumonge","TT2plus","BDI",93.71322728,"success",1802
"45","bugarama","bugarama","rumonge","VAD1","BDI",-4444,"success",1802
"46","bugarama","bugarama","rumonge","YFV","BDI",-2222,"success",1802
"47","buhiga","buhiga","karuzi","BCG","BDI",74.41757024,"success",801
"48","buhiga","buhiga","karuzi","DTP1","BDI",95.33193193,"success",801
"49","buhiga","buhiga","karuzi","DTP3","BDI",91.88074626,"success",801
"50","buhiga","buhiga","karuzi","DTP4","BDI",79.76990293,"success",801
"51","buhiga","buhiga","karuzi","HepB_BD","BDI",-4444,"success",801
"52","buhiga","buhiga","karuzi","HepB_BDall","BDI",-4444,"success",801
"53","buhiga","buhiga","karuzi","HepB3","BDI",91.88074626,"success",801
"54","buhiga","buhiga","karuzi","Hib3","BDI",91.88074626,"success",801
"55","buhiga","buhiga","karuzi","IPV1","BDI",-2222,"success",801
"56","buhiga","buhiga","karuzi","MCV1","BDI",87.02456971,"success",801
"57","buhiga","buhiga","karuzi","MCV2","BDI",62.66458418,"success",801
"58","buhiga","buhiga","karuzi","MenA","BDI",-4444,"success",801
"59","buhiga","buhiga","karuzi","PAB_DTP1","BDI",-4444,"success",801
"60","buhiga","buhiga","karuzi","PCV1","BDI",95.33193193,"success",801
"61","buhiga","buhiga","karuzi","PCV2","BDI",94.04009467,"success",801
"62","buhiga","buhiga","karuzi","PCV3","BDI",91.88074626,"success",801
"63","buhiga","buhiga","karuzi","Pol3","BDI",91.88074626,"success",801
"64","buhiga","buhiga","karuzi","RCV1","BDI",-4444,"success",801
"65","buhiga","buhiga","karuzi","Rota1","BDI",95.29421405,"success",801
"66","buhiga","buhiga","karuzi","RotaC","BDI",93.52147387,"success",801
"67","buhiga","buhiga","karuzi","TT2plus","BDI",91.49396413,"success",801
"68","buhiga","buhiga","karuzi","VAD1","BDI",-4444,"success",801
"69","buhiga","buhiga","karuzi","YFV","BDI",-2222,"success",801
"70","bururi","bururi","bururi","BCG","BDI",78.57691444,"success",401
"71","bururi","bururi","bururi","DTP1","BDI",87.09631484,"success",401
"72","bururi","bururi","bururi","DTP3","BDI",76.30562097,"success",401
"73","bururi","bururi","bururi","DTP4","BDI",65.82965567,"success",401
"74","bururi","bururi","bururi","HepB_BD","BDI",-4444,"success",401
"75","bururi","bururi","bururi","HepB_BDall","BDI",-4444,"success",401
"76","bururi","bururi","bururi","HepB3","BDI",76.30562097,"success",401
"77","bururi","bururi","bururi","Hib3","BDI",76.30562097,"success",401
"78","bururi","bururi","bururi","IPV1","BDI",4.759466762,"success",401
"79","bururi","bururi","bururi","MCV1","BDI",82.27904079,"success",401
"80","bururi","bururi","bururi","MCV2","BDI",67.96852534,"success",401
"81","bururi","bururi","bururi","MenA","BDI",-4444,"success",401
"82","bururi","bururi","bururi","PAB_DTP1","BDI",-4444,"success",401
"83","bururi","bururi","bururi","PCV1","BDI",87.09631484,"success",401
"84","bururi","bururi","bururi","PCV2","BDI",80.60262942,"success",401
"85","bururi","bururi","bururi","PCV3","BDI",76.30562097,"success",401
"86","bururi","bururi","bururi","Pol3","BDI",76.1321991,"success",401
"87","bururi","bururi","bururi","RCV1","BDI",-4444,"success",401
"88","bururi","bururi","bururi","Rota1","BDI",87.01923846,"success",401
"89","bururi","bururi","bururi","RotaC","BDI",80.40993846,"success",401
"90","bururi","bururi","bururi","TT2plus","BDI",130.186796,"success",401
"91","bururi","bururi","bururi","VAD1","BDI",-4444,"success",401
"92","bururi","bururi","bururi","YFV","BDI",-2222,"success",401
"93","busoni","busoni","kirundo","BCG","BDI",60.33407468,"success",1004
"94","busoni","busoni","kirundo","DTP1","BDI",79.89836903,"success",1004
"95","busoni","busoni","kirundo","DTP3","BDI",80.16860027,"success",1004
"96","busoni","busoni","kirundo","DTP4","BDI",56.04128786,"success",1004
"97","busoni","busoni","kirundo","HepB_BD","BDI",-4444,"success",1004
"98","busoni","busoni","kirundo","HepB_BDall","BDI",-4444,"success",1004
"99","busoni","busoni","kirundo","HepB3","BDI",80.16860027,"success",1004
"100","busoni","busoni","kirundo","Hib3","BDI",80.16860027,"success",1004
"101","busoni","busoni","kirundo","IPV1","BDI",-2222,"success",1004
"102","busoni","busoni","kirundo","MCV1","BDI",79.50803503,"success",1004
"103","busoni","busoni","kirundo","MCV2","BDI",57.41454629,"success",1004
"104","busoni","busoni","kirundo","MenA","BDI",-4444,"success",1004
"105","busoni","busoni","kirundo","PAB_DTP1","BDI",-4444,"success",1004
"106","busoni","busoni","kirundo","PCV1","BDI",79.89836903,"success",1004
"107","busoni","busoni","kirundo","PCV2","BDI",78.81744409,"success",1004
"108","busoni","busoni","kirundo","PCV3","BDI",80.16860027,"success",1004
"109","busoni","busoni","kirundo","Pol3","BDI",79.77826626,"success",1004
"110","busoni","busoni","kirundo","RCV1","BDI",-4444,"success",1004
"111","busoni","busoni","kirundo","Rota1","BDI",79.49302218,"success",1004
"112","busoni","busoni","kirundo","RotaC","BDI",79.16273956,"success",1004
"113","busoni","busoni","kirundo","TT2plus","BDI",60.74880569,"success",1004
"114","busoni","busoni","kirundo","VAD1","BDI",-4444,"success",1004
"115","busoni","busoni","kirundo","YFV","BDI",-2222,"success",1004
"116","butezi","butezi","ruyigi","BCG","BDI",68.67209327,"success",1701
"117","butezi","butezi","ruyigi","DTP1","BDI",87.89329102,"success",1701
"118","butezi","butezi","ruyigi","DTP3","BDI",81.72945673,"success",1701
"119","butezi","butezi","ruyigi","DTP4","BDI",59.8870651,"success",1701
"120","butezi","butezi","ruyigi","HepB_BD","BDI",-4444,"success",1701
"121","butezi","butezi","ruyigi","HepB_BDall","BDI",-4444,"success",1701
"122","butezi","butezi","ruyigi","HepB3","BDI",81.72945673,"success",1701
"123","butezi","butezi","ruyigi","Hib3","BDI",81.72945673,"success",1701
"124","butezi","butezi","ruyigi","IPV1","BDI",0.319922195,"success",1701
"125","butezi","butezi","ruyigi","MCV1","BDI",79.34070434,"success",1701
"126","butezi","butezi","ruyigi","MCV2","BDI",58.76911476,"success",1701
"127","butezi","butezi","ruyigi","MenA","BDI",-4444,"success",1701
"128","butezi","butezi","ruyigi","PAB_DTP1","BDI",-4444,"success",1701
"129","butezi","butezi","ruyigi","PCV1","BDI",87.89329102,"success",1701
"130","butezi","butezi","ruyigi","PCV2","BDI",84.246178,"success",1701
"131","butezi","butezi","ruyigi","PCV3","BDI",81.72945673,"success",1701
"132","butezi","butezi","ruyigi","Pol3","BDI",81.72945673,"success",1701
