NAME.who,NAME.shpfile,NAME.who_adm1,vaccine,iso3,who_coverage,merge_status,GAUL_CODE
bobirwa,bobirwa,bobirwa,BCG,BWA,60.89606311,success,21
bobirwa,bobirwa,bobirwa,DTP1,BWA,100.9867655,success,21
bobirwa,bobirwa,bobirwa,DTP3,BWA,84.44285852,success,21
bobirwa,bobirwa,bobirwa,DTP4,BWA,-4444,success,21
bobirwa,bobirwa,bobirwa,HepB_BD,BWA,-2222,success,21
bobirwa,bobirwa,bobirwa,HepB_BDall,BWA,61.89670265,success,21
bobirwa,bobirwa,bobirwa,HepB3,BWA,84.44285852,success,21
bobirwa,bobirwa,bobirwa,Hib3,BWA,84.44285852,success,21
bobirwa,bobirwa,bobirwa,IPV1,BWA,67.35733554,success,21
bobirwa,bobirwa,bobirwa,MCV1,BWA,85.03371234,success,21
bobirwa,bobirwa,bobirwa,MCV2,BWA,82.42410796,success,21
bobirwa,bobirwa,bobirwa,MenA,BWA,-4444,success,21
bobirwa,bobirwa,bobirwa,PAB_DTP1,BWA,-4444,success,21
bobirwa,bobirwa,bobirwa,PCV1,BWA,96.50612402,success,21
bobirwa,bobirwa,bobirwa,PCV2,BWA,80.15916832,success,21
bobirwa,bobirwa,bobirwa,PCV3,BWA,79.66679013,success,21
bobirwa,bobirwa,bobirwa,Pol3,BWA,84.54133415,success,21
bobirwa,bobirwa,bobirwa,RCV1,BWA,85.03371234,success,21
bobirwa,bobirwa,bobirwa,Rota1,BWA,94.88127601,success,21
bobirwa,bobirwa,bobirwa,RotaC,BWA,82.42410796,success,21
bobirwa,bobirwa,bobirwa,TT2plus,BWA,43.88519102,success,21
bobirwa,bobirwa,bobirwa,VAD1,BWA,72,success,21
bobirwa,bobirwa,bobirwa,YFV,BWA,-4444,success,21
boteti,boteti,boteti,BCG,BWA,70.68042488,success,5
boteti,boteti,boteti,DTP1,BWA,108.5005727,success,5
boteti,boteti,boteti,DTP3,BWA,90.13605434,success,5
boteti,boteti,boteti,DTP4,BWA,-4444,success,5
boteti,boteti,boteti,HepB_BD,BWA,-2222,success,5
boteti,boteti,boteti,HepB_BDall,BWA,66.96278868,success,5
boteti,boteti,boteti,HepB3,BWA,90.13605434,success,5
boteti,boteti,boteti,Hib3,BWA,90.13605434,success,5
boteti,boteti,boteti,IPV1,BWA,100.9580027,success,5
boteti,boteti,boteti,MCV1,BWA,91.54150217,success,5
boteti,boteti,boteti,MCV2,BWA,81.89076039,success,5
boteti,boteti,boteti,MenA,BWA,-4444,success,5
boteti,boteti,boteti,PAB_DTP1,BWA,-4444,success,5
boteti,boteti,boteti,PCV1,BWA,106.0644631,success,5
boteti,boteti,boteti,PCV2,BWA,97.02274872,success,5
boteti,boteti,boteti,PCV3,BWA,90.13605434,success,5
boteti,boteti,boteti,Pol3,BWA,91.21356434,success,5
boteti,boteti,boteti,RCV1,BWA,91.54150217,success,5
boteti,boteti,boteti,Rota1,BWA,99.88049265,success,5
boteti,boteti,boteti,RotaC,BWA,84.56111127,success,5
boteti,boteti,boteti,TT2plus,BWA,71.36048028,success,5
boteti,boteti,boteti,VAD1,BWA,88,success,5
boteti,boteti,boteti,YFV,BWA,-4444,success,5
chobe,chobe,chobe,BCG,BWA,68.30794541,success,6
chobe,chobe,chobe,DTP1,BWA,78.24525117,success,6
chobe,chobe,chobe,DTP3,BWA,80.98109911,success,6
chobe,chobe,chobe,DTP4,BWA,-4444,success,6
chobe,chobe,chobe,HepB_BD,BWA,-2222,success,6
chobe,chobe,chobe,HepB_BDall,BWA,66.98414802,success,6
chobe,chobe,chobe,HepB3,BWA,80.98109911,success,6
