NAME.who,NAME.shpfile,NAME.who_adm1,vaccine,iso3,who_coverage,merge_status,GAUL_CODE
abo,abo,littoral,BCG,CMR,88.02612477,success,5274220
abo,abo,littoral,DTP1,CMR,92.84211018,success,5274220
abo,abo,littoral,DTP3,CMR,91.929657,success,5274220
abo,abo,littoral,DTP4,CMR,-4444,success,5274220
abo,abo,littoral,HepB_BD,CMR,-4444,success,5274220
abo,abo,littoral,HepB_BDall,CMR,-4444,success,5274220
abo,abo,littoral,HepB3,CMR,91.929657,success,5274220
abo,abo,littoral,Hib3,CMR,91.929657,success,5274220
abo,abo,littoral,IPV1,CMR,87.13927786,success,5274220
abo,abo,littoral,MCV1,CMR,79.72559584,success,5274220
abo,abo,littoral,MCV2,CMR,-4444,success,5274220
abo,abo,littoral,MenA,CMR,-4444,success,5274220
abo,abo,littoral,PAB_DTP1,CMR,-4444,success,5274220
abo,abo,littoral,PCV1,CMR,92.61399688,success,5274220
abo,abo,littoral,PCV2,CMR,91.24531713,success,5274220
abo,abo,littoral,PCV3,CMR,91.81560036,success,5274220
abo,abo,littoral,Pol3,CMR,92.38588359,success,5274220
abo,abo,littoral,RCV1,CMR,79.72559584,success,5274220
abo,abo,littoral,Rota1,CMR,90.4469206,success,5274220
abo,abo,littoral,RotaC,CMR,90.4469206,success,5274220
abo,abo,littoral,TT2plus,CMR,49.53063533,success,5274220
abo,abo,littoral,VAD1,CMR,80.18182242,success,5274220
abo,abo,littoral,YFV,CMR,77.21634962,success,5274220
abongmbang,abongmbang,est,BCG,CMR,81.1435324,success,2137374
abongmbang,abongmbang,est,DTP1,CMR,95.25488065,success,2137374
abongmbang,abongmbang,est,DTP3,CMR,89.20164652,success,2137374
abongmbang,abongmbang,est,DTP4,CMR,-4444,success,2137374
abongmbang,abongmbang,est,HepB_BD,CMR,-4444,success,2137374
abongmbang,abongmbang,est,HepB_BDall,CMR,-4444,success,2137374
abongmbang,abongmbang,est,HepB3,CMR,89.20164652,success,2137374
abongmbang,abongmbang,est,Hib3,CMR,89.20164652,success,2137374
abongmbang,abongmbang,est,IPV1,CMR,75.72113125,success,2137374
abongmbang,abongmbang,est,MCV1,CMR,83.37123083,success,2137374
abongmbang,abongmbang,est,MCV2,CMR,-4444,success,2137374
abongmbang,abongmbang,est,MenA,CMR,-4444,success,2137374
abongmbang,abongmbang,est,PAB_DTP1,CMR,-4444,success,2137374
abongmbang,abongmbang,est,PCV1,CMR,94.54928895,success,2137374
abongmbang,abongmbang,est,PCV2,CMR,88.97882809,success,2137374
abongmbang,abongmbang,est,PCV3,CMR,88.16182716,success,2137374
abongmbang,abongmbang,est,Pol3,CMR,86.56496172,success,2137374
abongmbang,abongmbang,est,RCV1,CMR,83.37123083,success,2137374
abongmbang,abongmbang,est,Rota1,CMR,90.72423916,success,2137374
abongmbang,abongmbang,est,RotaC,CMR,89.64728339,success,2137374
abongmbang,abongmbang,est,TT2plus,CMR,94.2811439,success,2137374
abongmbang,abongmbang,est,VAD1,CMR,75.68399484,success,2137374
abongmbang,abongmbang,est,YFV,CMR,82.99986677,success,2137374
ako,ako,nordouest,BCG,CMR,82.19836594,success,2137647
ako,ako,nordouest,DTP1,CMR,109.5737794,success,2137647
ako,ako,nordouest,DTP3,CMR,111.3437748,success,2137647
ako,ako,nordouest,DTP4,CMR,-4444,success,2137647
ako,ako,nordouest,HepB_BD,CMR,-4444,success,2137647
ako,ako,nordouest,HepB_BDall,CMR,-4444,success,2137647
ako,ako,nordouest,HepB3,CMR,111.3437748,success,2137647
ako,ako,nordouest,Hib3,CMR,111.3437748,success,2137647
ako,ako,nordouest,IPV1,CMR,111.1778377,success,2137647
ako,ako,nordouest,MCV1,CMR,102.0512988,success,2137647
ako,ako,nordouest,MCV2,CMR,-4444,success,2137647
ako,ako,nordouest,MenA,CMR,-4444,success,2137647
ako,ako,nordouest,PAB_DTP1,CMR,-4444,success,2137647
ako,ako,nordouest,PCV1,CMR,109.4631547,success,2137647
ako,ako,nordouest,PCV2,CMR,113.0031455,success,2137647
ako,ako,nordouest,PCV3,CMR,111.2331501,success,2137647
ako,ako,nordouest,Pol3,CMR,111.2884625,success,2137647
ako,ako,nordouest,RCV1,CMR,102.0512988,success,2137647
ako,ako,nordouest,Rota1,CMR,110.2375277,success,2137647
ako,ako,nordouest,RotaC,CMR,112.7818961,success,2137647
