"","NAME.who","NAME.shpfile","NAME.who_adm1","vaccine","iso3","who_coverage","merge_status","GAUL_CODE"
"1","basankusu","basankusu","equateur","BCG","COD",78.94972141,"success",5
"2","basankusu","basankusu","equateur","DTP1","COD",91.40521746,"success",5
"3","basankusu","basankusu","equateur","DTP3","COD",86.08686271,"success",5
"4","basankusu","basankusu","equateur","DTP4","COD",-4444,"success",5
"5","basankusu","basankusu","equateur","HepB_BD","COD",-4444,"success",5
"6","basankusu","basankusu","equateur","HepB_BDall","COD",-4444,"success",5
"7","basankusu","basankusu","equateur","HepB3","COD",86.08686271,"success",5
"8","basankusu","basankusu","equateur","Hib3","COD",86.08686271,"success",5
"9","basankusu","basankusu","equateur","IPV1","COD",70.21723388,"success",5
"10","basankusu","basankusu","equateur","MCV1","COD",95.37796438,"success",5
"11","basankusu","basankusu","equateur","MCV2","COD",-4444,"success",5
"12","basankusu","basankusu","equateur","MenA","COD",-4444,"success",5
"13","basankusu","basankusu","equateur","PAB_DTP1","COD",-2222,"success",5
"14","basankusu","basankusu","equateur","PCV1","COD",83.43836476,"success",5
"15","basankusu","basankusu","equateur","PCV2","COD",81.69761813,"success",5
"16","basankusu","basankusu","equateur","PCV3","COD",80.09570405,"success",5
"17","basankusu","basankusu","equateur","Pol3","COD",92.15277736,"success",5
"18","basankusu","basankusu","equateur","RCV1","COD",-4444,"success",5
"19","basankusu","basankusu","equateur","Rota1","COD",-4444,"success",5
"20","basankusu","basankusu","equateur","RotaC","COD",-4444,"success",5
"21","basankusu","basankusu","equateur","TT2plus","COD",125.613265,"success",5
"22","basankusu","basankusu","equateur","VAD1","COD",48.93212283,"success",5
"23","basankusu","basankusu","equateur","YFV","COD",76.20839254,"success",5
"24","bikoro","bikoro","equateur","BCG","COD",89.45792819,"success",422
"25","bikoro","bikoro","equateur","DTP1","COD",100.808555,"success",422
"26","bikoro","bikoro","equateur","DTP3","COD",95.27348534,"success",422
"27","bikoro","bikoro","equateur","DTP4","COD",-4444,"success",422
