"","NAME.who","NAME.shpfile","NAME.who_adm1","vaccine","iso3","who_coverage","merge_status","GAUL_CODE"
"1","abaya","abaya","oromiya","BCG","ETH",85.59786578,"success",734
"2","abaya","abaya","oromiya","DTP1","ETH",108.030406,"success",734
"3","abaya","abaya","oromiya","DTP3","ETH",100.2303766,"success",734
"4","abaya","abaya","oromiya","DTP4","ETH",-4444,"success",734
"5","abaya","abaya","oromiya","HepB_BD","ETH",-4444,"success",734
"6","abaya","abaya","oromiya","HepB_BDall","ETH",-4444,"success",734
"7","abaya","abaya","oromiya","HepB3","ETH",100.2303766,"success",734
"8","abaya","abaya","oromiya","Hib3","ETH",100.2303766,"success",734
"9","abaya","abaya","oromiya","IPV1","ETH",-2222,"success",734
"10","abaya","abaya","oromiya","MCV1","ETH",100.9644971,"success",734
"11","abaya","abaya","oromiya","MCV2","ETH",-4444,"success",734
"12","abaya","abaya","oromiya","MenA","ETH",-4444,"success",734
"13","abaya","abaya","oromiya","PAB_DTP1","ETH",116.4957319,"success",734
"14","abaya","abaya","oromiya","PCV1","ETH",107.1127555,"success",734
"15","abaya","abaya","oromiya","PCV2","ETH",103.4650947,"success",734
"16","abaya","abaya","oromiya","PCV3","ETH",99.81743392,"success",734
"17","abaya","abaya","oromiya","Pol3","ETH",92.79740754,"success",734
"18","abaya","abaya","oromiya","RCV1","ETH",-4444,"success",734
"19","abaya","abaya","oromiya","Rota1","ETH",106.2180462,"success",734
"20","abaya","abaya","oromiya","RotaC","ETH",106.4704001,"success",734
"21","abaya","abaya","oromiya","TT2plus","ETH",-2222,"success",734
"22","abaya","abaya","oromiya","VAD1","ETH",-2222,"success",734
"23","abaya","abaya","oromiya","YFV","ETH",-4444,"success",734
"24","abedongoro","abedongoro","oromiya","BCG","ETH",92.25459508,"success",409
"25","abedongoro","abedongoro","oromiya","DTP1","ETH",110.4985418,"success",409
"26","abedongoro","abedongoro","oromiya","DTP3","ETH",98.10287207,"success",409
"27","abedongoro","abedongoro","oromiya","DTP4","ETH",-4444,"success",409
"28","abedongoro","abedongoro","oromiya","HepB_BD","ETH",-4444,"success",409
"29","abedongoro","abedongoro","oromiya","HepB_BDall","ETH",-4444,"success",409
"30","abedongoro","abedongoro","oromiya","HepB3","ETH",98.10287207,"success",409
"31","abedongoro","abedongoro","oromiya","Hib3","ETH",98.10287207,"success",409
"32","abedongoro","abedongoro","oromiya","IPV1","ETH",-2222,"success",409
"33","abedongoro","abedongoro","oromiya","MCV1","ETH",93.74667955,"success",409
"34","abedongoro","abedongoro","oromiya","MCV2","ETH",-4444,"success",409
"35","abedongoro","abedongoro","oromiya","MenA","ETH",-4444,"success",409
"36","abedongoro","abedongoro","oromiya","PAB_DTP1","ETH",110.4277094,"success",409
"37","abedongoro","abedongoro","oromiya","PCV1","ETH",109.5068882,"success",409
"38","abedongoro","abedongoro","oromiya","PCV2","ETH",104.1236259,"success",409
"39","abedongoro","abedongoro","oromiya","PCV3","ETH",98.74036365,"success",409
"40","abedongoro","abedongoro","oromiya","Pol3","ETH",89.99256243,"success",409
"41","abedongoro","abedongoro","oromiya","RCV1","ETH",-4444,"success",409
"42","abedongoro","abedongoro","oromiya","Rota1","ETH",107.5944135,"success",409
"43","abedongoro","abedongoro","oromiya","RotaC","ETH",99.41327144,"success",409
"44","abedongoro","abedongoro","oromiya","TT2plus","ETH",-2222,"success",409
"45","abedongoro","abedongoro","oromiya","VAD1","ETH",-2222,"success",409
"46","abedongoro","abedongoro","oromiya","YFV","ETH",-4444,"success",409
"47","abergele","abergele","amhara","BCG","ETH",107.018955,"success",363
"48","abergele","abergele","amhara","DTP1","ETH",115.5454833,"success",363
"49","abergele","abergele","amhara","DTP3","ETH",112.6209797,"success",363
"50","abergele","abergele","amhara","DTP4","ETH",-4444,"success",363
"51","abergele","abergele","amhara","HepB_BD","ETH",-4444,"success",363
"52","abergele","abergele","amhara","HepB_BDall","ETH",-4444,"success",363
"53","abergele","abergele","amhara","HepB3","ETH",112.6209797,"success",363
"54","abergele","abergele","amhara","Hib3","ETH",112.6209797,"success",363
"55","abergele","abergele","amhara","IPV1","ETH",-2222,"success",363
"56","abergele","abergele","amhara","MCV1","ETH",102.7438825,"success",363
"57","abergele","abergele","amhara","MCV2","ETH",-4444,"success",363
"58","abergele","abergele","amhara","MenA","ETH",-4444,"success",363
"59","abergele","abergele","amhara","PAB_DTP1","ETH",142.7488851,"success",363
"60","abergele","abergele","amhara","PCV1","ETH",117.7526559,"success",363
"61","abergele","abergele","amhara","PCV2","ETH",114.0832315,"success",363
"62","abergele","abergele","amhara","PCV3","ETH",110.4138071,"success",363
"63","abergele","abergele","amhara","Pol3","ETH",109.0895036,"success",363
"64","abergele","abergele","amhara","RCV1","ETH",-4444,"success",363
"65","abergele","abergele","amhara","Rota1","ETH",125.5329391,"success",363
"66","abergele","abergele","amhara","RotaC","ETH",100.0952754,"success",363
"67","abergele","abergele","amhara","TT2plus","ETH",-2222,"success",363
"68","abergele","abergele","amhara","VAD1","ETH",-2222,"success",363
"69","abergele","abergele","amhara","YFV","ETH",-4444,"success",363
"70","abichunagnea","abichunagnea","oromiya","BCG","ETH",84.33645962,"success",626
"71","abichunagnea","abichunagnea","oromiya","DTP1","ETH",94.66141266,"success",626
"72","abichunagnea","abichunagnea","oromiya","DTP3","ETH",91.23188144,"success",626
"73","abichunagnea","abichunagnea","oromiya","DTP4","ETH",-4444,"success",626
"74","abichunagnea","abichunagnea","oromiya","HepB_BD","ETH",-4444,"success",626
"75","abichunagnea","abichunagnea","oromiya","HepB_BDall","ETH",-4444,"success",626
"76","abichunagnea","abichunagnea","oromiya","HepB3","ETH",91.23188144,"success",626
"77","abichunagnea","abichunagnea","oromiya","Hib3","ETH",91.23188144,"success",626
"78","abichunagnea","abichunagnea","oromiya","IPV1","ETH",-2222,"success",626
"79","abichunagnea","abichunagnea","oromiya","MCV1","ETH",95.20124628,"success",626
"80","abichunagnea","abichunagnea","oromiya","MCV2","ETH",-4444,"success",626
"81","abichunagnea","abichunagnea","oromiya","MenA","ETH",-4444,"success",626
"82","abichunagnea","abichunagnea","oromiya","PAB_DTP1","ETH",94.66141266,"success",626
"83","abichunagnea","abichunagnea","oromiya","PCV1","ETH",94.66141266,"success",626
"84","abichunagnea","abichunagnea","oromiya","PCV2","ETH",92.80374992,"success",626
"85","abichunagnea","abichunagnea","oromiya","PCV3","ETH",90.94608718,"success",626
"86","abichunagnea","abichunagnea","oromiya","Pol3","ETH",90.59678307,"success",626
"87","abichunagnea","abichunagnea","oromiya","RCV1","ETH",-4444,"success",626
"88","abichunagnea","abichunagnea","oromiya","Rota1","ETH",95.20124628,"success",626
"89","abichunagnea","abichunagnea","oromiya","RotaC","ETH",91.77171506,"success",626
"90","abichunagnea","abichunagnea","oromiya","TT2plus","ETH",-2222,"success",626
"91","abichunagnea","abichunagnea","oromiya","VAD1","ETH",-2222,"success",626
"92","abichunagnea","abichunagnea","oromiya","YFV","ETH",-4444,"success",626
"93","abobo","abobo","gambella","BCG","ETH",91.84190888,"success",225
"94","abobo","abobo","gambella","DTP1","ETH",107.9672191,"success",225
"95","abobo","abobo","gambella","DTP3","ETH",94.28335146,"success",225
"96","abobo","abobo","gambella","DTP4","ETH",-4444,"success",225
"97","abobo","abobo","gambella","HepB_BD","ETH",-4444,"success",225
"98","abobo","abobo","gambella","HepB_BDall","ETH",-4444,"success",225
"99","abobo","abobo","gambella","HepB3","ETH",94.28335146,"success",225
"100","abobo","abobo","gambella","Hib3","ETH",94.28335146,"success",225
"101","abobo","abobo","gambella","IPV1","ETH",-2222,"success",225
"102","abobo","abobo","gambella","MCV1","ETH",79.847623,"success",225
"103","abobo","abobo","gambella","MCV2","ETH",-4444,"success",225
"104","abobo","abobo","gambella","MenA","ETH",-4444,"success",225
"105","abobo","abobo","gambella","PAB_DTP1","ETH",157.1389191,"success",225
"106","abobo","abobo","gambella","PCV1","ETH",107.5161025,"success",225
"107","abobo","abobo","gambella","PCV2","ETH",100.899727,"success",225
"108","abobo","abobo","gambella","PCV3","ETH",94.28335146,"success",225
"109","abobo","abobo","gambella","Pol3","ETH",94.73446797,"success",225
"110","abobo","abobo","gambella","RCV1","ETH",-4444,"success",225
"111","abobo","abobo","gambella","Rota1","ETH",107.3657304,"success",225
"112","abobo","abobo","gambella","RotaC","ETH",97.89228357,"success",225
"113","abobo","abobo","gambella","TT2plus","ETH",-2222,"success",225
"114","abobo","abobo","gambella","VAD1","ETH",-2222,"success",225
"115","abobo","abobo","gambella","YFV","ETH",-4444,"success",225
"116","adaa","adaa","oromiya","BCG","ETH",71.85789488,"success",706
"117","adaa","adaa","oromiya","DTP1","ETH",77.9135088,"success",706
"118","adaa","adaa","oromiya","DTP3","ETH",74.70378286,"success",706
"119","adaa","adaa","oromiya","DTP4","ETH",-4444,"success",706
"120","adaa","adaa","oromiya","HepB_BD","ETH",-4444,"success",706
"121","adaa","adaa","oromiya","HepB_BDall","ETH",-4444,"success",706
"122","adaa","adaa","oromiya","HepB3","ETH",74.70378286,"success",706
"123","adaa","adaa","oromiya","Hib3","ETH",74.70378286,"success",706
"124","adaa","adaa","oromiya","IPV1","ETH",-2222,"success",706
"125","adaa","adaa","oromiya","MCV1","ETH",72.4949392,"success",706
"126","adaa","adaa","oromiya","MCV2","ETH",-4444,"success",706
"127","adaa","adaa","oromiya","MenA","ETH",-4444,"success",706
"128","adaa","adaa","oromiya","PAB_DTP1","ETH",78.25864062,"success",706
"129","adaa","adaa","oromiya","PCV1","ETH",78.17235767,"success",706
"130","adaa","adaa","oromiya","PCV2","ETH",76.43807026,"success",706
"131","adaa","adaa","oromiya","PCV3","ETH",74.70378286,"success",706
"132","adaa","adaa","oromiya","Pol3","ETH",74.39316422,"success",706
"133","adaa","adaa","oromiya","RCV1","ETH",-4444,"success",706
"134","adaa","adaa","oromiya","Rota1","ETH",78.17235767,"success",706
"135","adaa","adaa","oromiya","RotaC","ETH",72.99538034,"success",706
"136","adaa","adaa","oromiya","TT2plus","ETH",-2222,"success",706
"137","adaa","adaa","oromiya","VAD1","ETH",-2222,"success",706
"138","adaa","adaa","oromiya","YFV","ETH",-4444,"success",706
"139","adaba","adaba","oromiya","BCG","ETH",104.7438855,"success",440
"140","adaba","adaba","oromiya","DTP1","ETH",116.1663623,"success",440
"141","adaba","adaba","oromiya","DTP3","ETH",112.5849622,"success",440
"142","adaba","adaba","oromiya","DTP4","ETH",-4444,"success",440
"143","adaba","adaba","oromiya","HepB_BD","ETH",-4444,"success",440
"144","adaba","adaba","oromiya","HepB_BDall","ETH",-4444,"success",440
"145","adaba","adaba","oromiya","HepB3","ETH",112.5849622,"success",440
