"","NAME","NAME.who","NAME.shpfile","iso3","iso3.x","iso3.y","who_coverage","who_coverage.x","who_coverage.y","merge_status","merge_status.x","merge_status.y","GAUL_CODE","GAUL_CODE.x","GAUL_CODE.y"
"1","abaya","abaya",NA,"ETH",NA,NA,100.2303766,NA,NA,"success",NA,NA,734,NA,NA
"2","abedongoro","abedongoro",NA,"ETH",NA,NA,98.10287207,NA,NA,"success",NA,NA,409,NA,NA
"3","abergele","abergele",NA,"ETH",NA,NA,112.6209797,NA,NA,"success",NA,NA,363,NA,NA
"4","abichunagnea","abichunagnea",NA,"ETH",NA,NA,91.23188144,NA,NA,"success",NA,NA,626,NA,NA
"5","abobo","abobo",NA,"ETH",NA,NA,94.28335146,NA,NA,"success",NA,NA,225,NA,NA
"6","adaa","adaa",NA,"ETH",NA,NA,74.70378286,NA,NA,"success",NA,NA,706,NA,NA
"7","adaba","adaba",NA,"ETH",NA,NA,112.5849622,NA,NA,"success",NA,NA,440,NA,NA
"8","adadle","adadle",NA,"ETH",NA,NA,93.20458211,NA,NA,"success",NA,NA,84,NA,NA
"9","adama","adama",NA,"ETH",NA,NA,92.77814589,NA,NA,"success",NA,NA,674,NA,NA
"10","adamatown","adamatown",NA,"ETH",NA,NA,101.2726774,NA,NA,"success",NA,NA,477,NA,NA
"11","adamitulujidokombolcha","adamitulujidokombolcha",NA,"ETH",NA,NA,113.1359873,NA,NA,"success",NA,NA,704,NA,NA
"12","addisketema","addisketema",NA,"ETH",NA,NA,90.05195718,NA,NA,"success",NA,NA,652,NA,NA
"13","addisketema","addisketema",NA,"ETH",NA,NA,71.25988899,NA,NA,"success",NA,NA,652,NA,NA
"14","adolatown","adolatown",NA,"ETH",NA,NA,93.96084343,NA,NA,"success",NA,NA,535,NA,NA
"15","adwatown","adwatown",NA,"ETH",NA,NA,62.67207201,NA,NA,"success",NA,NA,1,NA,NA
"16","afambo","afambo",NA,"ETH",NA,NA,130.6463701,NA,NA,"success",NA,NA,375,NA,NA
"17","afdem","afdem",NA,"ETH",NA,NA,86.25289027,NA,NA,"success",NA,NA,37,NA,NA
"18","afdera","afdera",NA,"ETH",NA,NA,74.09249311,NA,NA,"success",NA,NA,368,NA,NA
"19","agalometi","agalometi",NA,"ETH",NA,NA,87.31385421,NA,NA,"success",NA,NA,248,NA,NA
"20","agarfa","agarfa",NA,"ETH",NA,NA,94.51979026,NA,NA,"success",NA,NA,523,NA,NA
"21","ahferom","ahferom",NA,"ETH",NA,NA,67.98585337,NA,NA,"success",NA,NA,2,NA,NA
"22","akaki","akaki",NA,"ETH",NA,NA,112.858721,NA,NA,"success",NA,NA,708,NA,NA
"23","akobo","akobo",NA,"ETH",NA,NA,62.31010104,NA,NA,"success",NA,NA,218,NA,NA
"24","alamatatown","alamatatown",NA,"ETH",NA,NA,61.62457195,NA,NA,"success",NA,NA,4,NA,NA
"25","albuko","albuko",NA,"ETH",NA,NA,95.2767717,NA,NA,"success",NA,NA,255,NA,NA
"26","ale","ale",NA,"ETH",NA,NA,53.72537518,NA,NA,"success",NA,NA,550,NA,NA
"27","ale","ale",NA,"ETH",NA,NA,130.4828122,NA,NA,"success",NA,NA,550,NA,NA
"28","algesachi","algesachi",NA,"ETH",NA,NA,83.29242885,NA,NA,"success",NA,NA,479,NA,NA
"29","ambotown","ambotown",NA,"ETH",NA,NA,114.62015,NA,NA,"success",NA,NA,397,NA,NA
"30","ameya","ameya",NA,"ETH",NA,NA,111.2556127,NA,NA,"success",NA,NA,448,NA,NA
"31","amuru","amuru",NA,"ETH",NA,NA,102.9449533,NA,NA,"success",NA,NA,562,NA,NA
"32","anchar","anchar",NA,"ETH",NA,NA,90.3753402,NA,NA,"success",NA,NA,454,NA,NA
"33","aneded","aneded",NA,"ETH",NA,NA,103.8785761,NA,NA,"success",NA,NA,720,NA,NA
"34","ankober","ankober",NA,"ETH",NA,NA,71.38270478,NA,NA,"success",NA,NA,262,NA,NA
"35","arada","arada",NA,"ETH",NA,NA,101.1809166,NA,NA,"success",NA,NA,654,NA,NA
"36","ararso","ararso",NA,"ETH",NA,NA,56.5567534,NA,NA,"success",NA,NA,726,NA,NA
"37","arbaminchtown","arbaminchtown",NA,"ETH",NA,NA,58.01205666,NA,NA,"success",NA,NA,150,NA,NA
"38","arbaminchzuria","arbaminchzuria",NA,"ETH",NA,NA,102.4966594,NA,NA,"success",NA,NA,687,NA,NA
"39","arekatown","arekatown",NA,"ETH",NA,NA,126.8282605,NA,NA,"success",NA,NA,125,NA,NA
"40","arero","arero",NA,"ETH",NA,NA,119.0332133,NA,NA,"success",NA,NA,614,NA,NA
"41","argoba","argoba",NA,"ETH",NA,NA,103.5394835,NA,NA,"success",NA,NA,267,NA,NA
"42","artumafursi","artumafursi",NA,"ETH",NA,NA,115.3584836,NA,NA,"success",NA,NA,365,NA,NA
"43","aseko","aseko",NA,"ETH",NA,NA,92.68989343,NA,NA,"success",NA,NA,480,NA,NA
"44","awabel","awabel",NA,"ETH",NA,NA,95.10420985,NA,NA,"success",NA,NA,269,NA,NA
"45","aware","aware",NA,"ETH",NA,NA,133.1395797,NA,NA,"success",NA,NA,90,NA,NA
"46","awashfentale","awashfentale",NA,"ETH",NA,NA,119.3415185,NA,NA,"success",NA,NA,694,NA,NA
"47","awashtown","awashtown",NA,"ETH",NA,NA,114.0817286,NA,NA,"success",NA,NA,666,NA,NA
"48","aysaita","aysaita",NA,"ETH",NA,NA,104.3131196,NA,NA,"success",NA,NA,374,NA,NA
"49","babile","babile",NA,"ETH",NA,NA,43.27334015,NA,NA,"success",NA,NA,40,NA,NA
"50","babile","babile",NA,"ETH",NA,NA,43.27334015,NA,NA,"success",NA,NA,432,NA,NA
"51","bahirdarzuria","bahirdarzuria",NA,"ETH",NA,NA,106.8922313,NA,NA,"success",NA,NA,699,NA,NA
"52","bakotibe","bakotibe",NA,"ETH",NA,NA,88.08888028,NA,NA,"success",NA,NA,437,NA,NA
"53","bambasi","bambasi",NA,"ETH",NA,NA,93.97959297,NA,NA,"success",NA,NA,253,NA,NA
"54","bare","bare",NA,"ETH",NA,NA,60.02346005,NA,NA,"success",NA,NA,70,NA,NA
"55","basoliben","basoliben",NA,"ETH",NA,NA,110.5853467,NA,NA,"success",NA,NA,271,NA,NA
"56","batitown","batitown",NA,"ETH",NA,NA,108.1882868,NA,NA,"success",NA,NA,259,NA,NA
"57","bedeletown","bedeletown",NA,"ETH",NA,NA,81.2979487,NA,NA,"success",NA,NA,552,NA,NA
"58","benatsemay","benatsemay",NA,"ETH",NA,NA,144.1224851,NA,NA,"success",NA,NA,181,NA,NA
"59","berbere","berbere",NA,"ETH",NA,NA,117.5707858,NA,NA,"success",NA,NA,527,NA,NA
"60","berehet","berehet",NA,"ETH",NA,NA,38.55757172,NA,NA,"success",NA,NA,272,NA,NA
"61","bero","bero",NA,"ETH",NA,NA,105.0361418,NA,NA,"success",NA,NA,201,NA,NA
"62","beyeda","beyeda",NA,"ETH",NA,NA,63.13232951,NA,NA,"success",NA,NA,273,NA,NA
"63","bibugn","bibugn",NA,"ETH",NA,NA,76.75664712,NA,NA,"success",NA,NA,274,NA,NA
"64","bidu","bidu",NA,"ETH",NA,NA,84.69153678,NA,NA,"success",NA,NA,637,NA,NA
"65","bilonopha","bilonopha",NA,"ETH",NA,NA,74.08764021,NA,NA,"success",NA,NA,548,NA,NA
"66","bishoftutown","bishoftutown",NA,"ETH",NA,NA,91.61324984,NA,NA,"success",NA,NA,460,NA,NA
"67","bodititown","bodititown",NA,"ETH",NA,NA,149.6087094,NA,NA,"success",NA,NA,123,NA,NA
"68","boke","boke",NA,"ETH",NA,NA,103.3529337,NA,NA,"success",NA,NA,665,NA,NA
"69","bole","bole",NA,"ETH",NA,NA,190.5407848,NA,NA,"success",NA,NA,655,NA,NA
"70","bonazuria","bonazuria",NA,"ETH",NA,NA,104.5242167,NA,NA,"success",NA,NA,180,NA,NA
"71","bonke","bonke",NA,"ETH",NA,NA,103.5713176,NA,NA,"success",NA,NA,646,NA,NA
"72","bora","bora",NA,"ETH",NA,NA,106.5366051,NA,NA,"success",NA,NA,577,NA,NA
"73","bore","bore",NA,"ETH",NA,NA,89.74562936,NA,NA,"success",NA,NA,640,NA,NA
"74","boreda","boreda",NA,"ETH",NA,NA,91.93913921,NA,NA,"success",NA,NA,101,NA,NA
"75","boset","boset",NA,"ETH",NA,NA,93.65080739,NA,NA,"success",NA,NA,471,NA,NA
"76","bugna","bugna",NA,"ETH",NA,NA,95.09478963,NA,NA,"success",NA,NA,275,NA,NA
"77","burayu","burayu",NA,"ETH",NA,NA,148.3708382,NA,NA,"success",NA,NA,683,NA,NA
"78","bure","bure",NA,"ETH",NA,NA,65.91460403,NA,NA,"success",NA,NA,617,NA,NA
"79","bure","bure",NA,"ETH",NA,NA,65.91460403,NA,NA,"success",NA,NA,710,NA,NA
"80","bursa","bursa",NA,"ETH",NA,NA,98.12238844,NA,NA,"success",NA,NA,182,NA,NA
"81","cheha","cheha",NA,"ETH",NA,NA,99.37780263,NA,NA,"success",NA,NA,104,NA,NA
"82","chena","chena",NA,"ETH",NA,NA,82.72976175,NA,NA,"success",NA,NA,122,NA,NA
"83","chencha","chencha",NA,"ETH",NA,NA,100.722007,NA,NA,"success",NA,NA,147,NA,NA
"84","cheta","cheta",NA,"ETH",NA,NA,108.575711,NA,NA,"success",NA,NA,99,NA,NA
"85","chifra","chifra",NA,"ETH",NA,NA,85.15068467,NA,NA,"success",NA,NA,383,NA,NA
"86","chilga","chilga",NA,"ETH",NA,NA,79.80334593,NA,NA,"success",NA,NA,698,NA,NA
"87","chirotown","chirotown",NA,"ETH",NA,NA,53.70886168,NA,NA,"success",NA,NA,589,NA,NA
"88","chole","chole",NA,"ETH",NA,NA,97.66937063,NA,NA,"success",NA,NA,490,NA,NA
"89","chora","chora",NA,"ETH",NA,NA,85.58079338,NA,NA,"success",NA,NA,482,NA,NA
"90","dabat","dabat",NA,"ETH",NA,NA,94.04191537,NA,NA,"success",NA,NA,277,NA,NA
"91","dabohana","dabohana",NA,"ETH",NA,NA,98.38774947,NA,NA,"success",NA,NA,623,NA,NA
"92","dale","dale",NA,"ETH",NA,NA,92.84734891,NA,NA,"success",NA,NA,799,NA,NA
"93","dalocha","dalocha",NA,"ETH",NA,NA,97.07600446,NA,NA,"success",NA,NA,215,NA,NA
"94","damotgale","damotgale",NA,"ETH",NA,NA,89.2823387,NA,NA,"success",NA,NA,713,NA,NA
"95","damotsore","damotsore",NA,"ETH",NA,NA,100.9262728,NA,NA,"success",NA,NA,161,NA,NA
"96","dano","dano",NA,"ETH",NA,NA,89.5325079,NA,NA,"success",NA,NA,462,NA,NA
"97","danot","danot",NA,"ETH",NA,NA,72.78819892,NA,NA,"success",NA,NA,810,NA,NA
"98","dara","dara",NA,"ETH",NA,NA,94.98618021,NA,NA,"success",NA,NA,738,NA,NA
"99","daramalo","daramalo",NA,"ETH",NA,NA,105.7340816,NA,NA,"success",NA,NA,139,NA,NA
"100","daratole","daratole",NA,"ETH",NA,NA,74.63991108,NA,NA,"success",NA,NA,61,NA,NA
