ADMIN1_NAME,iso3,NAME,ADM0_NAME,GAUL_CODE
Tigray,ETH,Adwa Town,Ethiopia,1
Tigray,ETH,Ahferom,Ethiopia,2
Tigray,ETH,Alaje,Ethiopia,3
Tigray,ETH,Alamata Town,Ethiopia,4
Tigray,ETH,Asgede Tsimbila,Ethiopia,5
Tigray,ETH,Atsbi Wenberta,Ethiopia,6
Tigray,ETH,Degua Temben,Ethiopia,7
Tigray,ETH,Enderta,Ethiopia,8
Tigray,ETH,Erob,Ethiopia,9
Tigray,ETH,Adi Girat Town,Ethiopia,10
Tigray,ETH,Gulomekeda,Ethiopia,11
Tigray,ETH,Hawzen,Ethiopia,12
Tigray,ETH,Hintalo Wejirat,Ethiopia,13
Tigray,ETH,Tahtay Maychew,Ethiopia,14
Tigray,ETH,Tanqua Abergele,Ethiopia,15
Tigray,ETH,Tsegede,Ethiopia,16
Tigray,ETH,Tselemti,Ethiopia,17
Tigray,ETH,Humera Town,Ethiopia,18
Tigray,ETH,Wekero Town,Ethiopia,19
Tigray,ETH,Abiyi adi Town,Ethiopia,20
Tigray,ETH,Laelay Adiyabo,Ethiopia,21
Tigray,ETH,Akisum Town,Ethiopia,22
Tigray,ETH,Medebay Zana,Ethiopia,23
Tigray,ETH,Mereb Leke,Ethiopia,24
Tigray,ETH,Naeder Adet,Ethiopia,25
Tigray,ETH,Korem Town,Ethiopia,26
Tigray,ETH,Saesie Tsaedaemba,Ethiopia,27
Tigray,ETH,Saharti Samre,Ethiopia,28
Tigray,ETH,Shiraro Town,Ethiopia,29
Tigray,ETH,Shire Enida Silase Town,Ethiopia,30
Tigray,ETH,Welkait,Ethiopia,31
Tigray,ETH,Werei Leke,Ethiopia,32
Tigray,ETH,Maychew Town,Ethiopia,33
Tigray,ETH,Raya Azebo,Ethiopia,34
Somali,ETH,Ayisha,Ethiopia,35
Somali,ETH,Erer,Ethiopia,36
Somali,ETH,Afdem,Ethiopia,37
Somali,ETH,Hadigala,Ethiopia,38
Somali,ETH,Geladin,Ethiopia,39
Somali,ETH,Babile,Ethiopia,40
Somali,ETH,Teferi Ber,Ethiopia,41
Somali,ETH,Dembel,Ethiopia,42
Somali,ETH,Miesso,Ethiopia,43
Somali,ETH,Jijiga Town,Ethiopia,44
Dire Dawa,ETH,Dire Dawa,Ethiopia,45
Somali,ETH,Degehabur Town,Ethiopia,46
Somali,ETH,Kebribeyah,Ethiopia,47
Somali,ETH,Hareshen,Ethiopia,48
Hareri,ETH,Harar,Ethiopia,49
Somali,ETH,Gursum,Ethiopia,50
Somali,ETH,Dihun,Ethiopia,51
Somali,ETH,Misrak Gashamo,Ethiopia,52
Somali,ETH,Degehamedo,Ethiopia,53
Somali,ETH,Marsin,Ethiopia,54
Somali,ETH,Fik,Ethiopia,55
Somali,ETH,Boh,Ethiopia,56
Somali,ETH,Hamero,Ethiopia,57
Somali,ETH,Segeg,Ethiopia,58
Somali,ETH,Gerbo,Ethiopia,59
Somali,ETH,Shekosh,Ethiopia,60
Somali,ETH,Daratole,Ethiopia,61
Somali,ETH,Kebridehar Town,Ethiopia,62
Somali,ETH,Shilabo,Ethiopia,63
Oromia,ETH,Dawe Serer,Ethiopia,64
Somali,ETH,Raaso,Ethiopia,65
Somali,ETH,Debeweyin,Ethiopia,66
Somali,ETH,Gode Town,Ethiopia,67
Somali,ETH,Kelafo,Ethiopia,68
Somali,ETH,Mustahil,Ethiopia,69
Somali,ETH,Bare,Ethiopia,70
Somali,ETH,Chereti/Weyib,Ethiopia,71
Somali,ETH,Ferfer,Ethiopia,72
Somali,ETH,Hudet,Ethiopia,73
SNNPR,ETH,Geta,Ethiopia,74
Somali,ETH,Afder,Ethiopia,75
Somali,ETH,Dolobay,Ethiopia,76
Somali,ETH,Moyale,Ethiopia,77
SNNPR,ETH,Sodo,Ethiopia,78
Somali,ETH,Dolo Odo,Ethiopia,79
Somali,ETH,Lagahida,Ethiopia,80
Somali,ETH,Meyumuluka,Ethiopia,81
Somali,ETH,Selahad,Ethiopia,82
Somali,ETH,West Imi,Ethiopia,83
Somali,ETH,Adadle,Ethiopia,84
Somali,ETH,Filtu,Ethiopia,85
Somali,ETH,East Imi,Ethiopia,86
Somali,ETH,Denan,Ethiopia,87
Somali,ETH,Gunagado,Ethiopia,88
SNNPR,ETH,Analemmo,Ethiopia,89
Somali,ETH,Aware,Ethiopia,90
SNNPR,ETH,Tepi Town,Ethiopia,91
SNNPR,ETH,Menjiwo,Ethiopia,92
SNNPR,ETH,Kacha Bira,Ethiopia,93
SNNPR,ETH,Tembaro,Ethiopia,94
SNNPR,ETH,Abeshege,Ethiopia,95
SNNPR,ETH,Decha,Ethiopia,96
SNNPR,ETH,Menit Shasha,Ethiopia,97
SNNPR,ETH,Ela (Konta) SP Woreda,Ethiopia,98
SNNPR,ETH,Cheta,Ethiopia,99
SNNPR,ETH,Loma Bosa,Ethiopia,100
SNNPR,ETH,Boreda,Ethiopia,101
SNNPR,ETH,Kokir Gedbano,Ethiopia,102
SNNPR,ETH,Butajira Town,Ethiopia,103
SNNPR,ETH,Cheha,Ethiopia,104
SNNPR,ETH,Jinka Town,Ethiopia,105
SNNPR,ETH,Dita,Ethiopia,106
SNNPR,ETH,Enemorina Eaner,Ethiopia,107
SNNPR,ETH,Alicho Woriro,Ethiopia,108
SNNPR,ETH,Selti,Ethiopia,109
SNNPR,ETH,Yem SP Woreda,Ethiopia,110
SNNPR,ETH,Gibe,Ethiopia,111
SNNPR,ETH,Tulo,Ethiopia,112
SNNPR,ETH,Lanfero,Ethiopia,113
SNNPR,ETH,Gesha (Deka),Ethiopia,114
SNNPR,ETH,Werabe Town,Ethiopia,115
SNNPR,ETH,Soro,Ethiopia,116
SNNPR,ETH,Masha Town,Ethiopia,117
SNNPR,ETH,Bonga Town,Ethiopia,118
SNNPR,ETH,Mierab Azenet Berbere,Ethiopia,119
SNNPR,ETH,Alaba SP Woreda,Ethiopia,120
SNNPR,ETH,Anigacha,Ethiopia,121
SNNPR,ETH,Chena,Ethiopia,122
SNNPR,ETH,Boditi Town,Ethiopia,123
SNNPR,ETH,Sankura,Ethiopia,124
SNNPR,ETH,Areka Town,Ethiopia,125
SNNPR,ETH,Terche Town,Ethiopia,126
SNNPR,ETH,Wondo-Genet,Ethiopia,127
SNNPR,ETH,Doya Gena,Ethiopia,128
SNNPR,ETH,Esira,Ethiopia,129
SNNPR,ETH,Sodo Town,Ethiopia,130
SNNPR,ETH,Loka-Abaya,Ethiopia,131
SNNPR,ETH,Melekoza,Ethiopia,132
SNNPR,ETH,Arbe Gonna,Ethiopia,133
SNNPR,ETH,Ofa,Ethiopia,134
SNNPR,ETH,Kucha,Ethiopia,135
SNNPR,ETH,Hulla,Ethiopia,136
SNNPR,ETH,Basketo SP Woreda,Ethiopia,137
SNNPR,ETH,Chuko,Ethiopia,138
