iso3,ADM0_NAME,year,NAME.who_adm1,NAME.who,NAME.shpfile,who_coverage,merge_status,field_name,location_code,shapefile
AGO,Angola,2017,bengo,ambriz,NA,67,NA,NA,NA,NA
AGO,Angola,2017,bengo,bulaatumba,NA,150,NA,NA,NA,NA
AGO,Angola,2017,bengo,dande,NA,79,NA,NA,NA,NA
AGO,Angola,2017,bengo,dembosquibaxe,NA,66,NA,NA,NA,NA
AGO,Angola,2017,bengo,nambuangongo,NA,45,NA,NA,NA,NA
AGO,Angola,2017,bengo,pangoaluquem,NA,102,NA,NA,NA,NA
AGO,Angola,2017,benguela,baiafarta,NA,101,NA,NA,NA,NA
AGO,Angola,2017,benguela,balombo,NA,73,NA,NA,NA,NA
AGO,Angola,2017,benguela,benguela,NA,72,NA,NA,NA,NA
AGO,Angola,2017,benguela,bocoio,NA,95,NA,NA,NA,NA
AGO,Angola,2017,benguela,caimbambo,NA,56,NA,NA,NA,NA
AGO,Angola,2017,benguela,catumbela,NA,117,NA,NA,NA,NA
AGO,Angola,2017,benguela,chongoroi,NA,102,NA,NA,NA,NA
AGO,Angola,2017,benguela,cubal,NA,71,NA,NA,NA,NA
AGO,Angola,2017,benguela,ganda,NA,94,NA,NA,NA,NA
AGO,Angola,2017,benguela,lobito,NA,78,NA,NA,NA,NA
AGO,Angola,2017,bie,andulo,NA,82,NA,NA,NA,NA
AGO,Angola,2017,bie,camacupa,NA,56,NA,NA,NA,NA
AGO,Angola,2017,bie,catabola,NA,75,NA,NA,NA,NA
AGO,Angola,2017,bie,chinguar,NA,72,NA,NA,NA,NA
AGO,Angola,2017,bie,chitembo,NA,65,NA,NA,NA,NA
AGO,Angola,2017,bie,cuemba,NA,24,NA,NA,NA,NA
AGO,Angola,2017,bie,cuito,NA,79,NA,NA,NA,NA
AGO,Angola,2017,bie,cunhinga,NA,89,NA,NA,NA,NA
AGO,Angola,2017,bie,nharea,NA,84,NA,NA,NA,NA
AGO,Angola,2017,cabinda,belize,NA,92,NA,NA,NA,NA
AGO,Angola,2017,cabinda,bucozau,NA,78,NA,NA,NA,NA
AGO,Angola,2017,cabinda,cabinda,NA,69,NA,NA,NA,NA
AGO,Angola,2017,cabinda,cacongo,NA,90,NA,NA,NA,NA
AGO,Angola,2017,cuandocubango,calai,NA,79,NA,NA,NA,NA
AGO,Angola,2017,cuandocubango,cuangar,NA,37,NA,NA,NA,NA
AGO,Angola,2017,cuandocubango,cuchi,NA,54,NA,NA,NA,NA
AGO,Angola,2017,cuandocubango,cuitocuanavale,NA,55,NA,NA,NA,NA
AGO,Angola,2017,cuandocubango,dirico,NA,21,NA,NA,NA,NA
AGO,Angola,2017,cuandocubango,mavinga,NA,31,NA,NA,NA,NA
AGO,Angola,2017,cuandocubango,menongue,NA,29,NA,NA,NA,NA
AGO,Angola,2017,cuandocubango,nancova,NA,370,NA,NA,NA,NA
AGO,Angola,2017,cuandocubango,rivungo,NA,0,NA,NA,NA,NA
AGO,Angola,2017,cuanzanorte,ambaca,NA,32,NA,NA,NA,NA
AGO,Angola,2017,cuanzanorte,banga,NA,92,NA,NA,NA,NA
AGO,Angola,2017,cuanzanorte,bolongongo,NA,115,NA,NA,NA,NA
AGO,Angola,2017,cuanzanorte,cambambe,NA,58,NA,NA,NA,NA
AGO,Angola,2017,cuanzanorte,cazengo,NA,83,NA,NA,NA,NA
AGO,Angola,2017,cuanzanorte,golungoalto,NA,47,NA,NA,NA,NA
AGO,Angola,2017,cuanzanorte,gonguembo,NA,31,NA,NA,NA,NA
AGO,Angola,2017,cuanzanorte,lucala,NA,127,NA,NA,NA,NA
AGO,Angola,2017,cuanzanorte,quiculungo,NA,65,NA,NA,NA,NA
AGO,Angola,2017,cuanzanorte,sambacaju,NA,67,NA,NA,NA,NA
AGO,Angola,2017,cuanzasul,amboim,NA,83,NA,NA,NA,NA
AGO,Angola,2017,cuanzasul,cassongue,NA,109,NA,NA,NA,NA
AGO,Angola,2017,cuanzasul,cela,NA,47,NA,NA,NA,NA
AGO,Angola,2017,cuanzasul,conda,NA,85,NA,NA,NA,NA
AGO,Angola,2017,cuanzasul,ebo,NA,64,NA,NA,NA,NA
AGO,Angola,2017,cuanzasul,libolo,NA,58,NA,NA,NA,NA
AGO,Angola,2017,cuanzasul,mussende,NA,99,NA,NA,NA,NA
AGO,Angola,2017,cuanzasul,portoamboim,NA,88,NA,NA,NA,NA
AGO,Angola,2017,cuanzasul,quibala,NA,53,NA,NA,NA,NA
AGO,Angola,2017,cuanzasul,quilenda,NA,40,NA,NA,NA,NA
AGO,Angola,2017,cuanzasul,seles,NA,85,NA,NA,NA,NA
AGO,Angola,2017,cuanzasul,sumbe,NA,61,NA,NA,NA,NA
AGO,Angola,2017,cunene,cahama,NA,99,NA,NA,NA,NA
AGO,Angola,2017,cunene,cuanhama,NA,47,NA,NA,NA,NA
AGO,Angola,2017,cunene,curoca,NA,21,NA,NA,NA,NA
AGO,Angola,2017,cunene,cuvelai,NA,92,NA,NA,NA,NA
AGO,Angola,2017,cunene,namacunde,NA,34,NA,NA,NA,NA
AGO,Angola,2017,cunene,ombadja,NA,59,NA,NA,NA,NA
AGO,Angola,2017,huambo,bailundo,NA,68,NA,NA,NA,NA
AGO,Angola,2017,huambo,caala,NA,110,NA,NA,NA,NA
AGO,Angola,2017,huambo,catchiungo,NA,97,NA,NA,NA,NA
AGO,Angola,2017,huambo,ecunha,NA,100,NA,NA,NA,NA
AGO,Angola,2017,huambo,huambo,NA,114,NA,NA,NA,NA
AGO,Angola,2017,huambo,londuimbale,NA,123,NA,NA,NA,NA
AGO,Angola,2017,huambo,longonjo,NA,186,NA,NA,NA,NA
AGO,Angola,2017,huambo,mungo,NA,70,NA,NA,NA,NA
AGO,Angola,2017,huambo,tchikalatcholohang,NA,67,NA,NA,NA,NA
AGO,Angola,2017,huambo,tchinjenje,NA,86,NA,NA,NA,NA
AGO,Angola,2017,huambo,ukuma,NA,113,NA,NA,NA,NA
AGO,Angola,2017,huila,caconda,NA,85,NA,NA,NA,NA
AGO,Angola,2017,huila,cacula,NA,132,NA,NA,NA,NA
AGO,Angola,2017,huila,caluquembe,NA,87,NA,NA,NA,NA
AGO,Angola,2017,huila,chibia,NA,92,NA,NA,NA,NA
AGO,Angola,2017,huila,chicomba,NA,87,NA,NA,NA,NA
AGO,Angola,2017,huila,chipindo,NA,96,NA,NA,NA,NA
AGO,Angola,2017,huila,cuvango,NA,91,NA,NA,NA,NA
AGO,Angola,2017,huila,gambos,NA,102,NA,NA,NA,NA
AGO,Angola,2017,huila,humpata,NA,89,NA,NA,NA,NA
AGO,Angola,2017,huila,jamba,NA,94,NA,NA,NA,NA
AGO,Angola,2017,huila,lubango,NA,79,NA,NA,NA,NA
AGO,Angola,2017,huila,matala,NA,63,NA,NA,NA,NA
AGO,Angola,2017,huila,quilengues,NA,110,NA,NA,NA,NA
AGO,Angola,2017,huila,quipungo,NA,91,NA,NA,NA,NA
AGO,Angola,2017,luanda,belas,NA,51,NA,NA,NA,NA
AGO,Angola,2017,luanda,cacuaco,NA,50,NA,NA,NA,NA
AGO,Angola,2017,luanda,cazenga,NA,61,NA,NA,NA,NA
AGO,Angola,2017,luanda,icoloebengo,NA,60,NA,NA,NA,NA
AGO,Angola,2017,luanda,ingombota,NA,109,NA,NA,NA,NA
AGO,Angola,2017,luanda,kilambakiaxi,NA,67,NA,NA,NA,NA
AGO,Angola,2017,luanda,maianga,NA,84,NA,NA,NA,NA
AGO,Angola,2017,luanda,quissama,NA,45,NA,NA,NA,NA
AGO,Angola,2017,luanda,rangel,NA,136,NA,NA,NA,NA
AGO,Angola,2017,luanda,samba,NA,136,NA,NA,NA,NA
AGO,Angola,2017,luanda,sambizanga,NA,39,NA,NA,NA,NA
AGO,Angola,2017,luanda,viana,NA,70,NA,NA,NA,NA
AGO,Angola,2017,lundanorte,cambulo,NA,67,NA,NA,NA,NA
AGO,Angola,2017,lundanorte,capendacamulemba,NA,91,NA,NA,NA,NA
AGO,Angola,2017,lundanorte,caungula,NA,47,NA,NA,NA,NA
AGO,Angola,2017,lundanorte,chitato,NA,85,NA,NA,NA,NA
AGO,Angola,2017,lundanorte,cuango,NA,74,NA,NA,NA,NA
AGO,Angola,2017,lundanorte,cuilo,NA,21,NA,NA,NA,NA
AGO,Angola,2017,lundanorte,lubalo,NA,80,NA,NA,NA,NA
AGO,Angola,2017,lundanorte,lucapa,NA,111,NA,NA,NA,NA
AGO,Angola,2017,lundanorte,xamuteba,NA,99,NA,NA,NA,NA
AGO,Angola,2017,lundasul,cacolo,NA,78,NA,NA,NA,NA
AGO,Angola,2017,lundasul,dala,NA,69,NA,NA,NA,NA
AGO,Angola,2017,lundasul,muconda,NA,87,NA,NA,NA,NA
AGO,Angola,2017,lundasul,saurimo,NA,84,NA,NA,NA,NA
AGO,Angola,2017,malanje,caculamamucari,NA,72,NA,NA,NA,NA
AGO,Angola,2017,malanje,cacuso,NA,70,NA,NA,NA,NA
AGO,Angola,2017,malanje,cahombo,NA,68,NA,NA,NA,NA
AGO,Angola,2017,malanje,calandula,NA,158,NA,NA,NA,NA
AGO,Angola,2017,malanje,cambundicatembo,NA,124,NA,NA,NA,NA
AGO,Angola,2017,malanje,cangandala,NA,74,NA,NA,NA,NA
AGO,Angola,2017,malanje,cundadiabaze,NA,3,NA,NA,NA,NA
AGO,Angola,2017,malanje,kiuabanzoji,NA,51,NA,NA,NA,NA
AGO,Angola,2017,malanje,luquembo,NA,61,NA,NA,NA,NA
