iso3,ADM0_NAME,year,vaccine,NAME.who_adm1,NAME.who,NAME.shpfile,location_code,who_coverage,merge_status,field_name,shapefile
AGO,Angola,2017,DTP3,bengo,ambriz,NA,NA,67,NA,NA,NA
AGO,Angola,2017,DTP3,bengo,bulaatumba,NA,NA,150,NA,NA,NA
AGO,Angola,2017,DTP3,bengo,dande,NA,NA,79,NA,NA,NA
AGO,Angola,2017,DTP3,bengo,dembosquibaxe,NA,NA,66,NA,NA,NA
AGO,Angola,2017,DTP3,bengo,nambuangongo,NA,NA,45,NA,NA,NA
AGO,Angola,2017,DTP3,bengo,pangoaluquem,NA,NA,102,NA,NA,NA
AGO,Angola,2017,DTP3,benguela,baiafarta,NA,NA,101,NA,NA,NA
AGO,Angola,2017,DTP3,benguela,balombo,NA,NA,73,NA,NA,NA
AGO,Angola,2017,DTP3,benguela,benguela,NA,NA,72,NA,NA,NA
AGO,Angola,2017,DTP3,benguela,bocoio,NA,NA,95,NA,NA,NA
AGO,Angola,2017,DTP3,benguela,caimbambo,NA,NA,56,NA,NA,NA
AGO,Angola,2017,DTP3,benguela,catumbela,NA,NA,117,NA,NA,NA
AGO,Angola,2017,DTP3,benguela,chongoroi,NA,NA,102,NA,NA,NA
AGO,Angola,2017,DTP3,benguela,cubal,NA,NA,71,NA,NA,NA
AGO,Angola,2017,DTP3,benguela,ganda,NA,NA,94,NA,NA,NA
AGO,Angola,2017,DTP3,benguela,lobito,NA,NA,78,NA,NA,NA
AGO,Angola,2017,DTP3,bie,andulo,NA,NA,82,NA,NA,NA
AGO,Angola,2017,DTP3,bie,camacupa,NA,NA,56,NA,NA,NA
AGO,Angola,2017,DTP3,bie,catabola,NA,NA,75,NA,NA,NA
AGO,Angola,2017,DTP3,bie,chinguar,NA,NA,72,NA,NA,NA
AGO,Angola,2017,DTP3,bie,chitembo,NA,NA,65,NA,NA,NA
AGO,Angola,2017,DTP3,bie,cuemba,NA,NA,24,NA,NA,NA
