NAME.who,NAME.shpfile,NAME.who_adm1,vaccine,iso3,who_coverage,merge_status,GAUL_CODE,,filepath
abadam,abadam,borno,BCG,NGA,-2222,success,101,,J:/DATA/Incoming Data/GEOGRAPHIC_POPULATION_DEMOGRAPHIC_DATA_GEOPODE/NGA_shapefiles/NGA_shapefile_adm2
abadam,abadam,borno,DTP1,NGA,-2222,success,101,,
abadam,abadam,borno,DTP3,NGA,-2222,success,101,,
abadam,abadam,borno,DTP4,NGA,-4444,success,101,,
abadam,abadam,borno,HepB_BD,NGA,-2222,success,101,,
abadam,abadam,borno,HepB_BDall,NGA,-2222,success,101,,
abadam,abadam,borno,HepB3,NGA,-2222,success,101,,
abadam,abadam,borno,Hib3,NGA,-2222,success,101,,
abadam,abadam,borno,IPV1,NGA,-2222,success,101,,
abadam,abadam,borno,MCV1,NGA,-2222,success,101,,
abadam,abadam,borno,MCV2,NGA,-4444,success,101,,
abadam,abadam,borno,MenA,NGA,-4444,success,101,,
abadam,abadam,borno,PAB_DTP1,NGA,-4444,success,101,,
abadam,abadam,borno,PCV1,NGA,-2222,success,101,,
abadam,abadam,borno,PCV2,NGA,-2222,success,101,,
abadam,abadam,borno,PCV3,NGA,-2222,success,101,,
abadam,abadam,borno,Pol3,NGA,-2222,success,101,,
abadam,abadam,borno,RCV1,NGA,-4444,success,101,,
abadam,abadam,borno,Rota1,NGA,-4444,success,101,,
abadam,abadam,borno,RotaC,NGA,-4444,success,101,,
abadam,abadam,borno,TT2plus,NGA,0,success,101,,
abadam,abadam,borno,VAD1,NGA,-2222,success,101,,
abadam,abadam,borno,YFV,NGA,-2222,success,101,,
abaji,abaji,fct,BCG,NGA,77.08781288,success,15001,,
abaji,abaji,fct,DTP1,NGA,101.751514,success,15001,,
abaji,abaji,fct,DTP3,NGA,99.47375452,success,15001,,
abaji,abaji,fct,DTP4,NGA,-4444,success,15001,,
abaji,abaji,fct,HepB_BD,NGA,-2222,success,15001,,
abaji,abaji,fct,HepB_BDall,NGA,63.86420212,success,15001,,
abaji,abaji,fct,HepB3,NGA,99.47375452,success,15001,,
abaji,abaji,fct,Hib3,NGA,99.47375452,success,15001,,
abaji,abaji,fct,IPV1,NGA,99.16077993,success,15001,,
abaji,abaji,fct,MCV1,NGA,84.53791198,success,15001,,
abaji,abaji,fct,MCV2,NGA,-4444,success,15001,,
abaji,abaji,fct,MenA,NGA,-4444,success,15001,,
abaji,abaji,fct,PAB_DTP1,NGA,-4444,success,15001,,
abaji,abaji,fct,PCV1,NGA,98.20446871,success,15001,,
abaji,abaji,fct,PCV2,NGA,97.28293245,success,15001,,
abaji,abaji,fct,PCV3,NGA,99.97799134,success,15001,,
abaji,abaji,fct,Pol3,NGA,99.47375452,success,15001,,
abaji,abaji,fct,RCV1,NGA,-4444,success,15001,,
abaji,abaji,fct,Rota1,NGA,-4444,success,15001,,
abaji,abaji,fct,RotaC,NGA,-4444,success,15001,,
