"","NAME.who","NAME.shpfile","iso3.x","who_coverage","merge_status","GAUL_CODE"
"1","abs","abs","YEM",91.61969073,"success",1013253
"2","addahi","addahi","YEM",79.72491209,"success",1005253
"3","addis","addis","YEM",72.69662052,"success",1012253
"4","addurayhimi","addurayhimi","YEM",80.90184354,"success",2005253
"5","adhdhliaah","adhdhliaah","YEM",49.77811009,"success",2012253
"6","aflahalyaman","aflahalyaman","YEM",99.36748627,"success",2013253
"7","aflahashshawm","aflahashshawm","YEM",96.45506974,"success",3013253
"8","ahwar","ahwar","YEM",86.12346896,"success",1002253
"9","ain","ain","YEM",45.25978978,"success",1020253
"10","alabdiyah","alabdiyah","YEM",83.44197512,"success",1016253
"11","alabr","alabr","YEM",74.95859716,"success",3012253
"12","alazariq","alazariq","YEM",89.59709253,"success",2004253
"13","alburaiqeh","alburaiqeh","YEM",101.5172421,"success",1001253
"14","algarrahi","algarrahi","YEM",114.0932233,"success",3005253
"15","alghaydah","alghaydah","YEM",79.19877132,"success",1007253
"16","alghayl","alghayl","YEM",39.0612001,"success",1006253
"17","alhad","alhad","YEM",43.6110113,"success",2015253
"18","alhada","alhada","YEM",93.99639761,"success",1011253
"19","alhajjaylah","alhajjaylah","YEM",92.34991754,"success",4005253
"20","alhali","alhali","YEM",74.72977851,"success",5005253
"21","alhawak","alhawak","YEM",62.31996148,"success",6005253
"22","alhazm","alhazm","YEM",63.83574464,"success",2006253
"23","alhusha","alhusha","YEM",86.56573733,"success",3004253
"24","alhusn","alhusn","YEM",85.09023417,"success",3019253
"25","alhussein","alhussein","YEM",101.8449992,"success",4004253
"26","aljabin","aljabin","YEM",93.61478293,"success",1017253
"27","aljafariyah","aljafariyah","YEM",81.76077614,"success",2017253
"28","aljamimah","aljamimah","YEM",93.36458809,"success",4013253
"29","aljubah","aljubah","YEM",79.62343761,"success",2016253
"30","alkhabt","alkhabt","YEM",65.23464269,"success",1008253
"31","alkhawkhah","alkhawkhah","YEM",79.70588571,"success",7005253
"32","almaafer","almaafer","YEM",81.65750469,"success",2021253
"33","almadan","almadan","YEM",67.70303823,"success",2010253
"34","almaghrabah","almaghrabah","YEM",95.86949822,"success",5013253
"35","almahabishah","almahabishah","YEM",98.04398347,"success",6013253
"36","almahwait","almahwait","YEM",89.37034366,"success",2008253
"37","almahwaitcity","almahwaitcity","YEM",85.39531242,"success",3008253
"38","almakhadir","almakhadir","YEM",123.5316501,"success",2014253
"39","almalagim","almalagim","YEM",82.78014231,"success",4003253
"40","almanar","almanar","YEM",99.61639825,"success",2011253
"41","almansura","almansura","YEM",85.37083707,"success",2001253
"42","almansuriyah","almansuriyah","YEM",94.19438084,"success",8005253
"43","almaqatirah","almaqatirah","YEM",97.516099,"success",5015253
"44","almarawiah","almarawiah","YEM",81.60870321,"success",9005253
"45","almashannah","almashannah","YEM",60.4066206,"success",3014253
"46","almasilah","almasilah","YEM",49.94471889,"success",2007253
"47","almatammah","almatammah","YEM",51.18588621,"success",6006253
"48","almiftah","almiftah","YEM",100.2413832,"success",7013253
"49","almighlaf","almighlaf","YEM",106.9856933,"success",10005253
"50","almilah","almilah","YEM",84.76166813,"success",6015253
"51","almina","almina","YEM",64.60567461,"success",11005253
"52","almisrakh","almisrakh","YEM",76.22564771,"success",4021253
"53","almualla","almualla","YEM",47.53939674,"success",3001253
"54","almudhaffar","almudhaffar","YEM",138.7504901,"success",5021253
"55","almukalla","almukalla","YEM",178.1223578,"success",4012253
"56","almukallacity","almukallacity","YEM",94.12351158,"success",5012253
"57","almukha","almukha","YEM",44.6240854,"success",1021253
"58","almunirah","almunirah","YEM",104.3052551,"success",12005253
"59","almusaymir","almusaymir","YEM",87.2428567,"success",7015253
"60","alqabbaytah","alqabbaytah","YEM",73.52324184,"success",8015253
"61","alqaflah","alqaflah","YEM",104.9427806,"success",3010253
"62","alqafr","alqafr","YEM",99.0595138,"success",4014253
"63","alqahirah","alqahirah","YEM",24.28175991,"success",6021253
"64","alqanawis","alqanawis","YEM",79.51897368,"success",13005253
"65","alqatn","alqatn","YEM",84.67580485,"success",7012253
"66","alquraishyah","alquraishyah","YEM",87.90000081,"success",5003253
"67","aludayn","aludayn","YEM",114.5880732,"success",5014253
"68","alwadea","alwadea","YEM",75.91133226,"success",3002253
"69","alwaziiyah","alwaziiyah","YEM",48.4448834,"success",7021253
"70","amran","amran","YEM",80.14973561,"success",4010253
"71","annadirah","annadirah","YEM",85.42820001,"success",6014253
"72","anss","anss","YEM",92.61185857,"success",3011253
"73","arhab","arhab","YEM",108.2086973,"success",4019253
"74","arma","arma","YEM",87.92382681,"success",4020253
"75","arradmah","arradmah","YEM",97.88248098,"success",7014253
"76","arrawdah","arrawdah","YEM",89.53433631,"success",3020253
"77","arrujum","arrujum","YEM",75.59001583,"success",4008253
"78","arryashyyah","arryashyyah","YEM",82.96827899,"success",6003253
"79","ashshaghadirah","ashshaghadirah","YEM",94.15203662,"success",8013253
"80","ashshahil","ashshahil","YEM",88.59103194,"success",9013253
"81","ashshaikhouthman","ashshaikhouthman","YEM",97.3125267,"success",4001253
"82","ashshair","ashshair","YEM",76.83834931,"success",11014253
"83","ashsharyah","ashsharyah","YEM",58.70513672,"success",9003253
"84","ashshuayb","ashshuayb","YEM",86.33949031,"success",5004253
"85","assabain","assabain","YEM",73.73671779,"success",2009253
"86","assabrah","assabrah","YEM",101.55854,"success",8014253
"87","assaddah","assaddah","YEM",69.94757343,"success",9014253
"88","assafiyah","assafiyah","YEM",77.83806491,"success",3009253
"89","assafra","assafra","YEM",26.38718332,"success",3018253
"90","assalafiyah","assalafiyah","YEM",91.76184791,"success",3017253
"91","assalif","assalif","YEM",80.78668542,"success",15005253
"92","assawd","assawd","YEM",75.7618168,"success",5010253
"93","assawmaah","assawmaah","YEM",97.09956444,"success",8003253
"94","assayyani","assayyani","YEM",91.89726991,"success",10014253
"95","assilw","assilw","YEM",60.13903848,"success",8021253
"96","assudah","assudah","YEM",78.2668634,"success",6010253
"97","assukhnah","assukhnah","YEM",85.04642865,"success",16005253
"98","ataq","ataq","YEM",103.5316105,"success",6020253
"99","aththaorah","aththaorah","YEM",63.05203831,"success",5009253
"100","attaffah","attaffah","YEM",99.24210242,"success",10003253
"101","attahrir","attahrir","YEM",67.03557613,"success",4009253
"102","attawahi","attawahi","YEM",72.05512281,"success",5001253
"103","attawilah","attawilah","YEM",76.56445808,"success",5008253
"104","attyal","attyal","YEM",104.1203081,"success",5019253
"105","azzahir","azzahir","YEM",117.6534162,"success",11003253
"106","azzahir","azzahir","YEM",117.6534162,"success",8006253
"107","azzahir","azzahir","YEM",47.89836578,"success",11003253
"108","azzahir","azzahir","YEM",47.89836578,"success",8006253
"109","azzal","azzal","YEM",66.34322714,"success",6009253
"110","azzaydiyah","azzaydiyah","YEM",98.64005181,"success",18005253
"111","azzuhrah","azzuhrah","YEM",98.95044993,"success",19005253
"112","badan","badan","YEM",76.45069323,"success",12014253
"113","bajil","bajil","YEM",95.48761962,"success",20005253
"114","bakilalmir","bakilalmir","YEM",90.4331187,"success",11013253
"115","banialharith","banialharith","YEM",83.91206111,"success",7009253
"116","banidhabyan","banidhabyan","YEM",91.51001958,"success",6019253
"117","banihushaysh","banihushaysh","YEM",113.5723971,"success",7019253
"118","banimatar","banimatar","YEM",91.39028565,"success",8019253
"119","banisad","banisad","YEM",88.57978084,"success",6008253
"120","banisuraim","banisuraim","YEM",79.62568287,"success",7010253
"121","baqim","baqim","YEM",14.60694911,"success",4018253
"122","baytalfaqiah","baytalfaqiah","YEM",98.85767436,"success",21005253
"123","biladarrus","biladarrus","YEM",101.3320132,"success",9019253
"124","biladattaam","biladattaam","YEM",81.19247543,"success",4017253
"125","bura","bura","YEM",104.1970436,"success",22005253
"126","craiter","craiter","YEM",79.6883245,"success",6001253
"127","damt","damt","YEM",80.10935465,"success",6004253
"128","darsad","darsad","YEM",80.63688419,"success",7001253
"129","dawan","dawan","YEM",63.47499016,"success",13012253
"130","dawrananess","dawrananess","YEM",90.19672713,"success",4011253
"131","dhibin","dhibin","YEM",81.48539716,"success",8010253
"132","dhinaim","dhinaim","YEM",106.8804893,"success",12003253
"133","dhubab","dhubab","YEM",20.30394415,"success",11021253
"134","faraludayn","faraludayn","YEM",94.65043255,"success",14014253
"135","habban","habban","YEM",72.72926158,"success",9020253
"136","habiljabr","habiljabr","YEM",86.98898794,"success",9015253
"137","hagrassaiar","hagrassaiar","YEM",85.51263468,"success",16012253
"138","hajjah","hajjah","YEM",91.10699334,"success",14013253
"139","hajjahcity","hajjahcity","YEM",108.8522408,"success",15013253
"140","hajr","hajr","YEM",36.7812141,"success",17012253
"141","hamdan","hamdan","YEM",119.8219358,"success",10019253
"142","harad","harad","YEM",9.684433006,"success",16013253
"143","harfsufyan","harfsufyan","YEM",77.43677958,"success",10010253
"144","harib","harib","YEM",108.9333084,"success",4016253
"145","haribalqaramish","haribalqaramish","YEM",74.25379091,"success",5016253
"146","hat","hat","YEM",58.37017582,"success",3007253
"147","hawf","hawf","YEM",66.42647612,"success",4007253
"148","haydan","haydan","YEM",25.9352914,"success",6018253
"149","hayran","hayran","YEM",92.85526729,"success",17013253
"150","hays","hays","YEM",80.006049,"success",23005253
"151","hazmaludayn","hazmaludayn","YEM",93.20048511,"success",15014253
"152","hubaysh","hubaysh","YEM",101.9707119,"success",16014253
"153","hufash","hufash","YEM",79.75022166,"success",7008253
"154","huraidhah","huraidhah","YEM",88.0969188,"success",19012253
"155","huswain","huswain","YEM",56.01885999,"success",5007253
