iso3,Country_who,Country_mbg
AGO,Angola,Angola
BDI,Burundi,Burundi
BEN,Benin,Benin
BFA,Burkina Faso,Burkina Faso
BWA,Botswana,Botswana
CAF,Central African Republic,Central African Republic
CIV,Côte d'Ivoire,Cote d'Ivoire
CMR,Cameroon,Cameroon
COD,Democratic Republic of the Congo,Democratic Republic of the Congo
COG,Congo,Congo
COM,Comoros,Comoros
CPV,Cape Verde,Cape Verde
DZA,Algeria,Algeria
ERI,Eritrea,Eritrea
ETH,Ethiopia,Ethiopia
GAB,Gabon,Gabon
GHA,Ghana,Ghana
GIN,Guinea,Guinea
GMB,Gambia,Gambia
GNB,Guinea-Bissau,Guinea-Bissau
GNQ,Equatorial Guinea,Equatorial Guinea
KEN,Kenya,Kenya
LBR,Liberia,Liberia
LSO,Lesotho,Lesotho
MDG,Madagascar,Madagascar
MLI,Mali,Mali
MOZ,Mozambique,Mozambique
MRT,Mauritania,Mauritania
MWI,Malawi,Malawi
NAM,Namibia,Namibia
NER,Niger,Niger
RWA,Rwanda,Rwanda
SEN,Senegal,Senegal
SLE,Sierra Leone,Sierra Leone
SSD,South Sudan,South Sudan
STP,Sao Tome and Principe,Sao Tome and Principe
SWZ,Swaziland,Swaziland
SYC,Seychelles,Seychelles
TCD,Chad,Chad
TGO,Togo,Togo
TZA,Tanzania,Tanzania
UGA,Uganda,Uganda
ZAF,South Africa,South Africa
ZMB,Zambia,Zambia
ZWE,Zimbabwe,Zimbabwe
DJI,NA,Djibouti
EGY,NA,Egypt
NGA,NA,Nigeria
SDN,NA,Sudan
