,NAME.who,NAME.shpfile,Country,iso3.x,who_coverage,merge_status,GAUL_CODE,shapefile
1,aragattsonskaya,aragatsotn,,ARM,96.07,fuzzy success,1010,gadm_36_ad1
2,araratskaya,ararat,,ARM,95.61,fuzzy success,2010,gadm_36_ad1
3,armauirskaya,armavir,,ARM,96.79,fuzzy success,3010,gadm_36_ad1
4,ghegarkunijskaya,gegharkunik,,ARM,93.24,fuzzy success,5010,gadm_36_ad1
5,kotajskaya,kotayk,,ARM,95.3,fuzzy success,6010,gadm_36_ad1
6,lorijskaya,lori,,ARM,95.84,fuzzy success,7010,gadm_36_ad1
7,shirakskaya,shirak,,ARM,97.38,fuzzy success,8010,gadm_36_ad1
8,siunikskaya,syunik,,ARM,93.03,fuzzy success,9010,gadm_36_ad1
9,tavushskaya,tavush,,ARM,94.43,fuzzy success,10010,gadm_36_ad1
10,vajotsdzorskaya,vayotsdzor,,ARM,95.54,fuzzy success,11010,gadm_36_ad1
11,yerevanskaya,erevan,,ARM,90.7,fuzzy success,4010,gadm_36_ad1
23,belize,belize,,BLZ,79.375,success,1030,gadm_36_ad1
24,cayo,cayo,,BLZ,83.32491157,success,2030,gadm_36_ad1
25,corozal,corozal,,BLZ,111.3821138,success,3030,gadm_36_ad1
26,orangewalk,orangewalk,,BLZ,94.32835821,success,4030,gadm_36_ad1
27,stanncreek,stanncreek,,BLZ,67.43951613,success,5030,gadm_36_ad1
28,toledo,toledo,,BLZ,117.1561051,success,6030,gadm_36_ad1
29,adrar,adrar,,DZA,87.46614418,success,1065,gadm_36_ad1
30,alger,alger,,DZA,90.89303123,success,4065,gadm_36_ad1
31,annaba,annaba,,DZA,86.68296508,success,5065,gadm_36_ad1
32,batna,batna,,DZA,88.82405176,success,6065,gadm_36_ad1
33,biskra,biskra,,DZA,87.60024676,success,9065,gadm_36_ad1
34,blida,blida,,DZA,92.44867157,success,10065,gadm_36_ad1
35,bouira,bouira,,DZA,89.28469881,success,12065,gadm_36_ad1
36,chlef,chlef,,DZA,90.70721193,success,14065,gadm_36_ad1
37,constantine,constantine,,DZA,90.53164776,success,15065,gadm_36_ad1
