"","countries","freq","V1","region","gaul_adm2","gadm_adm2","gaul_adm1","gadm_adm1","Unit match","Unit matchStatus","shapefile","Name matching"
"1","",NA,NA,"","",NA,NA,NA,"","","",""
"2","",NA,NA,"","",NA,NA,NA,"","","",""
"3","Afghanistan",NA,98,"world",NA,NA,NA,NA,NA,"no data","",""
"4","Algeria",48,24,"Africa","3",3,100,100,"100","total match","","100%"
"5","American Samoa",NA,99,"world",NA,NA,NA,NA,NA,"no data","",""
"6","Angola",166,1,"Africa","104",102,922,922,"102","ok match","gadm","done"
"7","Armenia",11,2,"world","28",100,100,100,"100","total match","","100%"
"8","Azerbaijan",63,3,"world","84",80,573,630,"80","poor match","",""
"9","Bahrain",NA,100,"world",NA,NA,NA,NA,NA,"no data","",""
"10","Bangladesh",64,7,"world","100",100,914,914,"100","total match","","100%"
"11","Belize",6,8,"world","100",100,100,100,"100","total match","","100%"
"12","Benin",77,5,"Africa","100",101,642,642,"100","total match","","100%"
"13","Bhutan",20,11,"world","10",10,100,100,"100","total match","","100%"
"14","Bolivia",339,9,"world","300",357,3767,3767,"300","poor match","",""
"15","Botswana",24,12,"Africa","240",80,240,150,"80","poor match","",""
"16","Brazil",5569,10,"world","101",101,17965,20626,"101","ok match","gadm","on hold/delete from matching"
"17","Burkina Faso",70,6,"Africa","156",156,538,538,"156","poor match","",""
"18","Burundi",46,4,"Africa","34",35,271,271,"35","poor match","",""
"19","Cambodia",102,47,"world","55",57,392,408,"57","poor match","",""
"20","Cameroon",189,15,"Africa","326",326,1890,1890,"326","poor match","",""
"21","Cape Verde",22,20,"Africa","100",100,157,100,"100","total match","","100%"
"22","Central African Republic",30,13,"Africa","42",59,176,176,"59","poor match","",""
"23","Chad",116,83,"Africa","33",211,414,504,"33","poor match","",""
"24","China",NA,101,"world",NA,NA,NA,NA,NA,"no data","",""
"25","Colombia",1122,18,"world","103",105,3400,3506,"103","ok match","gaul","done/<20 unmatched locations"
"26","Comoros",17,19,"Africa","567",567,567,567,"567","poor match","",""
"27","Congo",41,17,"Africa","46",Inf,342,342,"46","poor match","",""
"28","Costa Rica",81,21,"world","100",100,1157,1157,"100","total match","","100%"
"29","Cote d'Ivoire",83,14,"Africa","252",Inf,593,593,"252","poor match","",""
"30","Cuba",168,22,"world","74",100,1120,1050,"100","total match","","100%"
"31","Democratic Republic of the Congo",516,16,"Africa","1032",215,4691,1985,"within 90%","ok match","health_repaired","specific shapefile: 4 unmatched locations"
"32","Djibouti",NA,102,"Africa",NA,NA,NA,NA,NA,"no data","",""
"33","Dominica",NA,103,"world",NA,NA,NA,NA,NA,"no data","",""
"34","Dominican Republic",93,23,"world","57",60,291,291,"60","poor match","",""
"35","Ecuador",224,25,"world","100",100,896,933,"100","ok match","gadm","done"
"36","Egypt",NA,104,"Africa",NA,NA,NA,NA,NA,"no data","",""
