"","ID","ADM0_NAME","CTRY_ISO_C","CTY_ISO_A3","CTRY_NAT_N","ADM1_NAME","ADM1_ISO_C","SALB1_C","ADM1_NAT_C","NAME","SALB3_N","SALB3_C","ADM3_NAT_N","ADM3_NAT_C","ADM3_TYPEN","ADM3_TYPEC","REGION","GAUL_CODE","LONGITUDE","LATITUDE","ID2","STATUS"
"1",1,"Argentina",32,"ARG","Argentina","salta","AR-A","ARG017","66","anta","Anta","ARG017001","Anta","007","Departamento",2,"SOC","AR_A_66007",-63.8379947,-24.86667192,1,1
"2",2,"Argentina",32,"ARG","Argentina","salta","AR-A","ARG017","66","cachi","Cachi","ARG017002","Cachi","014","Departamento",2,"SOC","AR_A_66014",-66.19470403,-25.04468919,2,1
"3",3,"Argentina",32,"ARG","Argentina","salta","AR-A","ARG017","66","cafayate","Cafayate","ARG017003","Cafayate","021","Departamento",2,"SOC","AR_A_66021",-65.8772794,-26.13079055,3,1
"4",4,"Argentina",32,"ARG","Argentina","salta","AR-A","ARG017","66","salta","Capital","ARG017004","Salta (Capital)","028","Departamento",2,"SOC","AR_A_66028",-65.27179369,-24.90005378,4,1
"5",5,"Argentina",32,"ARG","Argentina","salta","AR-A","ARG017","66","cerrillos","Cerrillos","ARG017005","Cerrillos","035","Departamento",2,"SOC","AR_A_66035",-65.39796339,-24.99236025,5,1
"6",6,"Argentina",32,"ARG","Argentina","salta","AR-A","ARG017","66","chicoana","Chicoana","ARG017006","Chicoana","042","Departamento",2,"SOC","AR_A_66042",-65.60872333,-25.14556468,6,1
"7",7,"Argentina",32,"ARG","Argentina","salta","AR-A","ARG017","66","generalguemes","General Guemes","ARG017007","General Guemes","049","Departamento",2,"SOC","AR_A_66049",-64.96880146,-24.77196093,7,1
"8",8,"Argentina",32,"ARG","Argentina","salta","AR-A","ARG017","66","generaljosedesanmartin","General Jose de San Martin","ARG017008","General Jos?ÇÜ de San Mart?ín","056","Departamento",2,"SOC","AR_A_66056",-63.65583665,-22.70938284,8,1
"9",9,"Argentina",32,"ARG","Argentina","salta","AR-A","ARG017","66","guachipas","Guachipas","ARG017009","Guachipas","063","Departamento",2,"SOC","AR_A_66063",-65.44039961,-25.71508544,9,1
"10",10,"Argentina",32,"ARG","Argentina","salta","AR-A","ARG017","66","iruya","Iruya","ARG017010","Iruya","070","Departamento",2,"SOC","AR_A_66070",-64.90905281,-22.796872,10,1
