,NAME.who_adm1,NAME.who,NAME.shpfile,Country,iso3,who_coverage,merge_status,field_name,location_code,shapefile
1,2222,bumthang,bumthang,Bhutan,BTN,95,success,GAUL_CODE,1036,gadm_36_ad1
2,2222,chhukha,chhukha,Bhutan,BTN,96,success,GAUL_CODE,2036,gadm_36_ad1
3,2222,dagana,dagana,Bhutan,BTN,94,success,GAUL_CODE,3036,gadm_36_ad1
4,2222,gasa,gasa,Bhutan,BTN,73,success,GAUL_CODE,4036,gadm_36_ad1
5,2222,haa,haa,Bhutan,BTN,96,success,GAUL_CODE,5036,gadm_36_ad1
6,2222,paro,paro,Bhutan,BTN,113,success,GAUL_CODE,8036,gadm_36_ad1
7,2222,pemagatshel,pemagatshel,Bhutan,BTN,99,success,GAUL_CODE,9036,gadm_36_ad1
8,2222,punakha,punakha,Bhutan,BTN,114,success,GAUL_CODE,10036,gadm_36_ad1
9,2222,samdrupjongkhar,samdrupjongkhar,Bhutan,BTN,95,success,GAUL_CODE,11036,gadm_36_ad1
10,2222,samtse,samtse,Bhutan,BTN,99,success,GAUL_CODE,12036,gadm_36_ad1
11,2222,sarpang,sarpang,Bhutan,BTN,95,success,GAUL_CODE,13036,gadm_36_ad1
12,2222,thimphu,thimphu,Bhutan,BTN,96,success,GAUL_CODE,14036,gadm_36_ad1
13,2222,trongsa,trongsa,Bhutan,BTN,106,success,GAUL_CODE,16036,gadm_36_ad1
14,2222,tsirang,tsirang,Bhutan,BTN,99,success,GAUL_CODE,17036,gadm_36_ad1
15,2222,wangduephodrang,wangduephodrang,Bhutan,BTN,95,success,GAUL_CODE,18036,gadm_36_ad1
16,2222,zhemgang,zhemgang,Bhutan,BTN,94,success,GAUL_CODE,20036,gadm_36_ad1
17,2222,lhuntse,lhuentse,Bhutan,BTN,98,fuzzy success,GAUL_CODE,6036,gadm_36_ad1
18,2222,mongar,monggar,Bhutan,BTN,96,fuzzy success,GAUL_CODE,7036,gadm_36_ad1
19,2222,trashignag,trashigang,Bhutan,BTN,98,fuzzy success,GAUL_CODE,15036,gadm_36_ad1
20,2222,trashiyangtse,yangtse,Bhutan,BTN,95,fuzzy success,GAUL_CODE,19036,gadm_36_ad1
81,region1,barimawaini,barimawaini,Guyana,GUY,91.09109109,success,GAUL_CODE,1096,gadm_36_ad1
82,region7,cuyunimazaruni,cuyunimazaruni,Guyana,GUY,82.7123696,success,GAUL_CODE,2096,gadm_36_ad1
83,region4,demeraramahaica,demeraramahaica,Guyana,GUY,92.26823012,success,GAUL_CODE,3096,gadm_36_ad1
84,region6,eastberbicecorentyne,eastberbicecorentyne,Guyana,GUY,91.86220669,success,GAUL_CODE,4096,gadm_36_ad1
85,region3,essequiboislandswestdemerara,essequiboislandswestdemerara,Guyana,GUY,92.71356784,success,GAUL_CODE,5096,gadm_36_ad1
86,region5,mahaicaberbice,mahaicaberbice,Guyana,GUY,91.08138239,success,GAUL_CODE,6096,gadm_36_ad1
87,region2,pomeroonsupenaam,pomeroonsupenaam,Guyana,GUY,99.15522703,success,GAUL_CODE,7096,gadm_36_ad1
88,region8,potarosiparuni,potarosiparuni,Guyana,GUY,85.40372671,success,GAUL_CODE,8096,gadm_36_ad1
89,region10,upperdemeraraberbice,upperdemeraraberbice,Guyana,GUY,95.35135135,success,GAUL_CODE,9096,gadm_36_ad1
90,region9,uppertakatuupperessequibo,uppertakutuupperessequibo,Guyana,GUY,97.47545582,fuzzy success,GAUL_CODE,10096,gadm_36_ad1
91,riftvalleyprovince,baringo,baringo,Kenya,KEN,53.35616236,success,GAUL_CODE,1118,gadm_36_ad1
92,riftvalleyprovince,bomet,bomet,Kenya,KEN,64.86759464,success,GAUL_CODE,2118,gadm_36_ad1
93,westernprovince,bungoma,bungoma,Kenya,KEN,65.80392953,success,GAUL_CODE,3118,gadm_36_ad1
94,westernprovince,busia,busia,Kenya,KEN,57.64660568,success,GAUL_CODE,4118,gadm_36_ad1
95,riftvalleyprovince,elgeyomarakwet,elgeyomarakwet,Kenya,KEN,54.17224108,success,GAUL_CODE,5118,gadm_36_ad1
96,easternprovince,embu,embu,Kenya,KEN,81.5852267,success,GAUL_CODE,6118,gadm_36_ad1
97,northeasternprovince,garissa,garissa,Kenya,KEN,135.1841785,success,GAUL_CODE,7118,gadm_36_ad1
98,nyanzaprovince,homabay,homabay,Kenya,KEN,62.76804629,success,GAUL_CODE,8118,gadm_36_ad1
99,easternprovince,isiolo,isiolo,Kenya,KEN,87.32361162,success,GAUL_CODE,9118,gadm_36_ad1
100,riftvalleyprovince,kajiado,kajiado,Kenya,KEN,81.08503556,success,GAUL_CODE,10118,gadm_36_ad1
101,westernprovince,kakamega,kakamega,Kenya,KEN,67.08847437,success,GAUL_CODE,11118,gadm_36_ad1
102,riftvalleyprovince,kericho,kericho,Kenya,KEN,58.69100804,success,GAUL_CODE,12118,gadm_36_ad1
103,centralprovince,kiambu,kiambu,Kenya,KEN,100.9557539,success,GAUL_CODE,13118,gadm_36_ad1
104,coastprovince,kilifi,kilifi,Kenya,KEN,61.69747097,success,GAUL_CODE,14118,gadm_36_ad1
105,centralprovince,kirinyaga,kirinyaga,Kenya,KEN,77.26778166,success,GAUL_CODE,15118,gadm_36_ad1
106,nyanzaprovince,kisii,kisii,Kenya,KEN,50.8737885,success,GAUL_CODE,16118,gadm_36_ad1
107,nyanzaprovince,kisumu,kisumu,Kenya,KEN,68.27109414,success,GAUL_CODE,17118,gadm_36_ad1
108,easternprovince,kitui,kitui,Kenya,KEN,65.64485728,success,GAUL_CODE,18118,gadm_36_ad1
109,coastprovince,kwale,kwale,Kenya,KEN,61.81507295,success,GAUL_CODE,19118,gadm_36_ad1
110,riftvalleyprovince,laikipia,laikipia,Kenya,KEN,81.33959168,success,GAUL_CODE,20118,gadm_36_ad1
111,coastprovince,lamu,lamu,Kenya,KEN,76.04056335,success,GAUL_CODE,21118,gadm_36_ad1
112,easternprovince,machakos,machakos,Kenya,KEN,82.20461068,success,GAUL_CODE,22118,gadm_36_ad1
113,easternprovince,makueni,makueni,Kenya,KEN,73.52226457,success,GAUL_CODE,23118,gadm_36_ad1
114,northeasternprovince,mandera,mandera,Kenya,KEN,97.72160777,success,GAUL_CODE,24118,gadm_36_ad1
115,easternprovince,marsabit,marsabit,Kenya,KEN,95.14133127,success,GAUL_CODE,25118,gadm_36_ad1
116,easternprovince,meru,meru,Kenya,KEN,68.85992291,success,GAUL_CODE,26118,gadm_36_ad1
117,nyanzaprovince,migori,migori,Kenya,KEN,66.90167936,success,GAUL_CODE,27118,gadm_36_ad1
118,coastprovince,mombasa,mombasa,Kenya,KEN,83.73686147,success,GAUL_CODE,28118,gadm_36_ad1
119,centralprovince,muranga,muranga,Kenya,KEN,69.2226406,success,GAUL_CODE,29118,gadm_36_ad1
120,nairobi,nairobi,nairobi,Kenya,KEN,84.51827688,success,GAUL_CODE,30118,gadm_36_ad1
121,riftvalleyprovince,nakuru,nakuru,Kenya,KEN,80.94712949,success,GAUL_CODE,31118,gadm_36_ad1
122,riftvalleyprovince,nandi,nandi,Kenya,KEN,60.26945457,success,GAUL_CODE,32118,gadm_36_ad1
123,riftvalleyprovince,narok,narok,Kenya,KEN,59.48198967,success,GAUL_CODE,33118,gadm_36_ad1
124,nyanzaprovince,nyamira,nyamira,Kenya,KEN,63.32361983,success,GAUL_CODE,34118,gadm_36_ad1
125,centralprovince,nyandarua,nyandarua,Kenya,KEN,64.31598783,success,GAUL_CODE,35118,gadm_36_ad1
126,centralprovince,nyeri,nyeri,Kenya,KEN,75.58353682,success,GAUL_CODE,36118,gadm_36_ad1
127,riftvalleyprovince,samburu,samburu,Kenya,KEN,56.20727041,success,GAUL_CODE,37118,gadm_36_ad1
128,nyanzaprovince,siaya,siaya,Kenya,KEN,58.68993895,success,GAUL_CODE,38118,gadm_36_ad1
129,coastprovince,taitataveta,taitataveta,Kenya,KEN,60.0835332,success,GAUL_CODE,39118,gadm_36_ad1
130,coastprovince,tanariver,tanariver,Kenya,KEN,47.99100758,success,GAUL_CODE,40118,gadm_36_ad1
131,easternprovince,tharakanithi,tharakanithi,Kenya,KEN,64.41574711,success,GAUL_CODE,41118,gadm_36_ad1
132,riftvalleyprovince,transnzoia,transnzoia,Kenya,KEN,46.07747266,success,GAUL_CODE,42118,gadm_36_ad1
133,riftvalleyprovince,turkana,turkana,Kenya,KEN,98.71564599,success,GAUL_CODE,43118,gadm_36_ad1
134,riftvalleyprovince,uasingishu,uasingishu,Kenya,KEN,80.28038495,success,GAUL_CODE,44118,gadm_36_ad1
135,westernprovince,vihiga,vihiga,Kenya,KEN,58.49763294,success,GAUL_CODE,45118,gadm_36_ad1
136,northeasternprovince,wajir,wajir,Kenya,KEN,153.8742325,success,GAUL_CODE,46118,gadm_36_ad1
137,riftvalleyprovince,westpokot,westpokot,Kenya,KEN,50.72526493,success,GAUL_CODE,47118,gadm_36_ad1
