iso3admin1,countries,admin1,admin2,,
ABW,#N/A,1,1,,
AFG,Afghanistan,66,728,,
AGO,Angola,18,162,,
AIA,#N/A,4,4,,
ALB,Albania,36,#N/A,,
AND,Andorra,7,#N/A,,
ANT,#N/A,5,5,,
ARE,United Arab Emirates,7,9,,
ARG,Argentina,24,510,,
ARM,Armenia,11,40,,
ASM,American Samoa,5,16,,
ATG,Antigua and Barbuda,8,8,,
AUS,Australia,9,629,,
AUT,Austria,9,99,,
AZE,Azerbaijan,71,#N/A,,
BDI,Burundi,17,38,,
BEL,Belgium,3,43,,
BEN,Benin,12,77,,
BES,#N/A,3,3,,
BFA,Burkina Faso,13,77,,
BGD,Bangladesh,8,80,,
BGR,Bulgaria,28,#N/A,,
BHR,Bahrain,8,8,,
BHS,The Bahamas,22,32,,
BIH,Bosnia and Herzegovina,3,10,,
BLM,#N/A,1,1,,
BLR,Belarus,7,119,,
BLZ,Belize,6,6,,
BMU,Bermuda,11,11,,
BOL,Bolivia,9,112,,
BRA,Brazil,27,5563,,
BRB,Barbados,11,11,,
BRN,Brunei,4,4,,
BTN,Bhutan,20,20,,
BWA,Botswana,21,24,,
CAF,Central African Republic,14,59,,
CAN,Canada,13,218,,
CHE,Switzerland,26,#N/A,,
CHL,Chile,13,51,,
CHN,China,34,2833,,
CIV,Cote d'Ivoire,20,65,,
CMR,Cameroon,10,172,,
COD,Democratic Republic of the Congo,37,1038,,
COG,Republic of the Congo,12,28,,
COK,#N/A,15,15,,
COL,Colombia,32,1108,,
COM,Comoros,3,3,,
CPV,Cape Verde,9,17,,
CRI,Costa Rica,7,81,,
CUB,Cuba,15,169,,
CUW,#N/A,1,1,,
CYM,#N/A,7,7,,
CYP,Cyprus,6,#N/A,,
CZE,Czech Republic,14,98,,
DEU,Germany,16,40,,
DJI,Djibouti,6,6,,
DMA,Dominica,10,10,,
DOM,Dominican Republic,32,153,,
DZA,Algeria,47,48,,
ECU,Ecuador,22,221,,
EGY,Egypt,55,565,,
ERI,Eritrea,6,58,,
ESP,Spain,19,52,,
EST,Estonia,15,212,,
ETH,Ethiopia,11,79,,
FJI,Fiji,4,47,,
FSM,Federated States of Micronesia,4,4,,
GAB,Gabon,10,51,,
GEO,Georgia,12,69,,
GHA,Ghana,20,353,,
GIN,Guinea,8,34,340,
GLP,#N/A,5,52,,
GMB,The Gambia,6,37,,
GNB,Guinea-Bissau,9,10,,
GNQ,Equatorial Guinea,7,18,,
GRC,Greece,13,52,,
GRD,Grenada,7,7,,
GTM,Guatemala,22,331,,
GUF,French Guiana,2,22,,
GUM,Guam,19,19,,
GUY,Guyana,10,26,,
HND,Honduras,18,298,,
HRV,Croatia,21,#N/A,,
HTI,Haiti,9,41,,
HUN,Hungary,20,#N/A,,
IDN,Indonesia,35,511,,
IND,India,38,690,,
IRL,Ireland,8,#N/A,,
IRN,Iran,32,353,,
IRQ,Iraq,26,183,,
ISR,Israel,6,14,,
ITA,Italy,20,110,,
JAM,Jamaica,13,13,,
JOR,Jordan,12,21,,
JPN,Japan,47,3340,,
KAZ,Kazakhstan,16,#N/A,,
KEN,Kenya,55,359,,
KGZ,Kyrgyzstan,7,40,,
KHM,Cambodia,24,178,,
KIR,Kiribati,24,24,,
KNA,#N/A,14,14,,
KOR,South Korea,15,15,,
KWT,Kuwait,11,11,,
LAO,Laos,18,142,,
LBN,Lebanon,6,26,,
LBR,Liberia,15,15,136,823
LBY,Libya,14,72,,
LCA,Saint Lucia,9,9,,
LKA,Sri Lanka,8,26,,
LSO,Lesotho,10,10,,
LTU,Lithuania,10,56,,
LVA,Latvia,5,26,,
MAF,#N/A,1,1,,
MAR,Morocco,28,152,,
MDA,Moldova,37,#N/A,,
MDG,Madagascar,28,205,,
MEX,Mexico,32,2454,,
MHL,Marshall Islands,33,33,,
MLI,Mali,9,59,,
MLT,Malta,68,#N/A,,
MMR,Myanmar,17,325,,
MNG,Mongolia,18,18,,
MNP,Northern Mariana Islands,4,4,,
MOZ,Mozambique,21,265,,
MRT,Mauritania,13,53,,
MSR,#N/A,3,3,,
MTQ,#N/A,4,34,,
MUS,Mauritius,11,11,,
MWI,Malawi,4,25,,
MYS,Malaysia,14,133,,
NAM,Namibia,13,35,,
NCL,#N/A,3,33,,
NER,Niger,16,115,,
NGA,Nigeria,37,774,,
NIC,Nicaragua,17,152,,
NIU,#N/A,7,7,,
NOR,Norway,19,433,,
NPL,Nepal,5,75,,
NRU,#N/A,14,14,,
NZL,New Zealand,14,14,,
OMN,Oman,11,61,,
PAK,Pakistan,11,241,18,182
PAN,Panama,12,75,,
PCN,#N/A,4,4,,
PER,Peru,25,194,,
PHL,Philippines,16,80,,
PLW,#N/A,16,16,,
PNG,Papua New Guinea,42,190,,
POL,Poland,16,375,,
PRI,Puerto Rico,79,79,,
PRK,North Korea,12,180,,
PRT,Portugal,7,30,,
PRY,Paraguay,18,217,,
PSE,Palestine,2,32,,
PYF,#N/A,5,5,,
QAT,Qatar,18,18,,
ROU,Romania,42,3186,,
RUS,Russia,8,89,,
RWA,Rwanda,5,30,,
SAU,Saudi Arabia,20,20,,
SDN,Sudan,58,574,,
SEN,Senegal,10,56,,
SLB,Solomon Islands,10,10,,
SLE,Sierra Leone,4,14,166,1323
SLV,El Salvador,14,262,,
SOM,Somalia,19,115,,
SRB,Serbia,30,200,,
SSD,South Sudan,10,78,,
