Country,loc_id,parent_id,level,loc_nm_sh,spr_reg_id,region_id,ihme_lc_id,GAUL_CODE,phase
Afghanistan,160,138,3,Afghanistan,137,138,AFG,1,2
Algeria,139,138,3,Algeria,137,138,DZA,4,1
American Samoa,298,21,3,Am Samoa,4,21,ASM,5,2
Angola,168,167,3,Angola,166,167,AGO,8,1
Armenia,33,32,3,Armenia,31,32,ARM,13,2
Azerbaijan,34,32,3,Azerbaijan,31,32,AZE,19,2
Bahrain,140,138,3,Bahrain,137,138,BHR,21,2
Bangladesh,161,159,3,Bangladesh,158,159,BGD,23,2
Belize,108,104,3,Belize,103,104,BLZ,28,2
Benin,200,199,3,Benin,166,199,BEN,29,1
Bhutan,162,159,3,Bhutan,158,159,BTN,31,2
Bolivia,121,120,3,Bolivia,103,120,BOL,33,2
Botswana,193,192,3,Botswana,166,192,BWA,35,1
Brazil,135,134,3,Brazil,103,134,BRA,37,2
Burkina Faso,201,199,3,Burkina Faso,166,199,BFA,42,1
Burundi,175,174,3,Burundi,166,174,BDI,43,1
Cambodia,10,9,3,Cambodia,4,9,KHM,44,2
Cameroon,202,199,3,Cameroon,166,199,CMR,45,1
Cape Verde,203,199,3,Cape Verde,166,199,CPV,47,1
Central African Republic,169,167,3,C African Rep,166,167,CAF,49,1
Chad,204,199,3,Chad,166,199,TCD,50,1
China,6,5,3,China,4,5,CHN,147295,2
Colombia,125,124,3,Colombia,103,124,COL,57,2
Comoros,176,174,3,Comoros,166,174,COM,58,1
Congo,170,167,3,Congo,166,167,COG,59,1
Costa Rica,126,124,3,Costa Rica,103,124,CRI,61,2
Cote d'Ivoire,205,199,3,Cote d'Ivoire,166,199,CIV,66,1
Cuba,109,104,3,Cuba,103,104,CUB,63,2
Democratic Republic of the Congo,171,167,3,Congo DR,166,167,COD,68,1
Djibouti,177,174,3,Djibouti,166,174,DJI,70,1
Dominica,110,104,3,Dominica,103,104,DMA,71,2
Dominican Republic,111,104,3,Dominican Rep,103,104,DOM,72,2
Ecuador,122,120,3,Ecuador,103,120,ECU,73,2
Egypt,141,138,3,Egypt,137,138,EGY,40765,1
El Salvador,127,124,3,El Salvador,103,124,SLV,75,2
Equatorial Guinea,172,167,3,Eq Guinea,166,167,GNQ,76,1
Eritrea,178,174,3,Eritrea,166,174,ERI,77,1
Ethiopia,179,174,3,Ethiopia,166,174,ETH,79,1
Federated States of Micronesia,25,21,3,Micronesia,4,21,FSM,163,2
Fiji,22,21,3,Fiji,4,21,FJI,83,2
French Guiana,NA,NA,NA,NA,NA,NA,NA,86,2
Gabon,173,167,3,Gabon,166,167,GAB,89,1
Georgia,35,32,3,Georgia,31,32,GEO,92,2
Ghana,207,199,3,Ghana,166,199,GHA,94,1
Grenada,112,104,3,Grenada,103,104,GRD,99,2
Guatemala,128,124,3,Guatemala,103,124,GTM,103,2
Guinea,208,199,3,Guinea,166,199,GIN,106,1
Guinea-Bissau,209,199,3,Guinea-Bissau,166,199,GNB,105,1
Guyana,113,104,3,Guyana,103,104,GUY,107,2
Haiti,114,104,3,Haiti,103,104,HTI,108,2
Honduras,129,124,3,Honduras,103,124,HND,111,2
India,163,159,3,India,158,159,IND,115,2
Indonesia,11,9,3,Indonesia,4,9,IDN,116,2
Iran,142,138,3,Iran,137,138,IRN,117,2
Iraq,143,138,3,Iraq,137,138,IRQ,118,2
Jamaica,115,104,3,Jamaica,103,104,JAM,123,2
Jordan,144,138,3,Jordan,137,138,JOR,130,2
Kenya,180,174,3,Kenya,166,174,KEN,133,1
Kiribati,23,21,3,Kiribati,4,21,KIR,135,2
Kyrgyzstan,37,32,3,Kyrgyzstan,31,32,KGZ,138,2
Laos,12,9,3,Laos,4,9,LAO,139,2
Lesotho,194,192,3,Lesotho,166,192,LSO,142,1
