,iso3,vaccine,ADM0_NAME,ADM1_NAME,NAME,who_coverage
1,AGO,DTP3,Angola,bengo,ambriz,67
2,AGO,DTP3,Angola,bengo,bulaatumba,150
3,AGO,DTP3,Angola,bengo,dande,79
4,AGO,DTP3,Angola,bengo,dembosquibaxe,66
5,AGO,DTP3,Angola,bengo,nambuangongo,45
6,AGO,DTP3,Angola,bengo,pangoaluquem,102
7,AGO,DTP3,Angola,benguela,baiafarta,101
8,AGO,DTP3,Angola,benguela,balombo,73
9,AGO,DTP3,Angola,benguela,benguela,72
10,AGO,DTP3,Angola,benguela,bocoio,95
11,AGO,DTP3,Angola,benguela,caimbambo,56
12,AGO,DTP3,Angola,benguela,catumbela,117
13,AGO,DTP3,Angola,benguela,chongoroi,102
14,AGO,DTP3,Angola,benguela,cubal,71
15,AGO,DTP3,Angola,benguela,ganda,94
16,AGO,DTP3,Angola,benguela,lobito,78
17,AGO,DTP3,Angola,bie,andulo,82
18,AGO,DTP3,Angola,bie,camacupa,56
19,AGO,DTP3,Angola,bie,catabola,75
20,AGO,DTP3,Angola,bie,chinguar,72
21,AGO,DTP3,Angola,bie,chitembo,65
22,AGO,DTP3,Angola,bie,cuemba,24
23,AGO,DTP3,Angola,bie,cuito,79
24,AGO,DTP3,Angola,bie,cunhinga,89
25,AGO,DTP3,Angola,bie,nharea,84
26,AGO,DTP3,Angola,cabinda,belize,92
27,AGO,DTP3,Angola,cabinda,bucozau,78
28,AGO,DTP3,Angola,cabinda,cabinda,69
29,AGO,DTP3,Angola,cabinda,cacongo,90
30,AGO,DTP3,Angola,cuandocubango,calai,79
31,AGO,DTP3,Angola,cuandocubango,cuangar,37
32,AGO,DTP3,Angola,cuandocubango,cuchi,54
33,AGO,DTP3,Angola,cuandocubango,cuitocuanavale,55
34,AGO,DTP3,Angola,cuandocubango,dirico,21
35,AGO,DTP3,Angola,cuandocubango,mavinga,31
36,AGO,DTP3,Angola,cuandocubango,menongue,29
37,AGO,DTP3,Angola,cuandocubango,nancova,370
38,AGO,DTP3,Angola,cuandocubango,rivungo,0
39,AGO,DTP3,Angola,cuanzanorte,ambaca,32
40,AGO,DTP3,Angola,cuanzanorte,banga,92
41,AGO,DTP3,Angola,cuanzanorte,bolongongo,115
42,AGO,DTP3,Angola,cuanzanorte,cambambe,58
43,AGO,DTP3,Angola,cuanzanorte,cazengo,83
44,AGO,DTP3,Angola,cuanzanorte,golungoalto,47
45,AGO,DTP3,Angola,cuanzanorte,gonguembo,31
46,AGO,DTP3,Angola,cuanzanorte,lucala,127
47,AGO,DTP3,Angola,cuanzanorte,quiculungo,65
48,AGO,DTP3,Angola,cuanzanorte,sambacaju,67
49,AGO,DTP3,Angola,cuanzasul,amboim,83
50,AGO,DTP3,Angola,cuanzasul,cassongue,109
51,AGO,DTP3,Angola,cuanzasul,cela,47
52,AGO,DTP3,Angola,cuanzasul,conda,85
53,AGO,DTP3,Angola,cuanzasul,ebo,64
54,AGO,DTP3,Angola,cuanzasul,libolo,58
55,AGO,DTP3,Angola,cuanzasul,mussende,99
56,AGO,DTP3,Angola,cuanzasul,portoamboim,88
57,AGO,DTP3,Angola,cuanzasul,quibala,53
58,AGO,DTP3,Angola,cuanzasul,quilenda,40
59,AGO,DTP3,Angola,cuanzasul,seles,85
60,AGO,DTP3,Angola,cuanzasul,sumbe,61
61,AGO,DTP3,Angola,cunene,cahama,99
62,AGO,DTP3,Angola,cunene,cuanhama,47
63,AGO,DTP3,Angola,cunene,curoca,21
64,AGO,DTP3,Angola,cunene,cuvelai,92
65,AGO,DTP3,Angola,cunene,namacunde,34
66,AGO,DTP3,Angola,cunene,ombadja,59
67,AGO,DTP3,Angola,huambo,bailundo,68
68,AGO,DTP3,Angola,huambo,caala,110
69,AGO,DTP3,Angola,huambo,catchiungo,97
70,AGO,DTP3,Angola,huambo,ecunha,100
71,AGO,DTP3,Angola,huambo,huambo,114
72,AGO,DTP3,Angola,huambo,londuimbale,123
73,AGO,DTP3,Angola,huambo,longonjo,186
74,AGO,DTP3,Angola,huambo,mungo,70
75,AGO,DTP3,Angola,huambo,tchikalatcholohang,67
76,AGO,DTP3,Angola,huambo,tchinjenje,86
77,AGO,DTP3,Angola,huambo,ukuma,113
78,AGO,DTP3,Angola,huila,caconda,85
79,AGO,DTP3,Angola,huila,cacula,132
80,AGO,DTP3,Angola,huila,caluquembe,87
81,AGO,DTP3,Angola,huila,chibia,92
82,AGO,DTP3,Angola,huila,chicomba,87
83,AGO,DTP3,Angola,huila,chipindo,96
84,AGO,DTP3,Angola,huila,cuvango,91
85,AGO,DTP3,Angola,huila,gambos,102
86,AGO,DTP3,Angola,huila,humpata,89
87,AGO,DTP3,Angola,huila,jamba,94
88,AGO,DTP3,Angola,huila,lubango,79
89,AGO,DTP3,Angola,huila,matala,63
90,AGO,DTP3,Angola,huila,quilengues,110
91,AGO,DTP3,Angola,huila,quipungo,91
92,AGO,DTP3,Angola,luanda,belas,51
93,AGO,DTP3,Angola,luanda,cacuaco,50
94,AGO,DTP3,Angola,luanda,cazenga,61
95,AGO,DTP3,Angola,luanda,icoloebengo,60
96,AGO,DTP3,Angola,luanda,ingombota,109
97,AGO,DTP3,Angola,luanda,kilambakiaxi,67
98,AGO,DTP3,Angola,luanda,maianga,84
99,AGO,DTP3,Angola,luanda,quissama,45
100,AGO,DTP3,Angola,luanda,rangel,136
101,AGO,DTP3,Angola,luanda,samba,136
102,AGO,DTP3,Angola,luanda,sambizanga,39
103,AGO,DTP3,Angola,luanda,viana,70
104,AGO,DTP3,Angola,lundanorte,cambulo,67
105,AGO,DTP3,Angola,lundanorte,capendacamulemba,91
106,AGO,DTP3,Angola,lundanorte,caungula,47
107,AGO,DTP3,Angola,lundanorte,chitato,85
108,AGO,DTP3,Angola,lundanorte,cuango,74
109,AGO,DTP3,Angola,lundanorte,cuilo,21
110,AGO,DTP3,Angola,lundanorte,lubalo,80
111,AGO,DTP3,Angola,lundanorte,lucapa,111
112,AGO,DTP3,Angola,lundanorte,xamuteba,99
113,AGO,DTP3,Angola,lundasul,cacolo,78
114,AGO,DTP3,Angola,lundasul,dala,69
115,AGO,DTP3,Angola,lundasul,muconda,87
116,AGO,DTP3,Angola,lundasul,saurimo,84
117,AGO,DTP3,Angola,malanje,caculamamucari,72
118,AGO,DTP3,Angola,malanje,cacuso,70
119,AGO,DTP3,Angola,malanje,cahombo,68
120,AGO,DTP3,Angola,malanje,calandula,158
121,AGO,DTP3,Angola,malanje,cambundicatembo,124
122,AGO,DTP3,Angola,malanje,cangandala,74
123,AGO,DTP3,Angola,malanje,cundadiabaze,3
124,AGO,DTP3,Angola,malanje,kiuabanzoji,51
125,AGO,DTP3,Angola,malanje,luquembo,61
126,AGO,DTP3,Angola,malanje,malanje,107
127,AGO,DTP3,Angola,malanje,marimba,60
128,AGO,DTP3,Angola,malanje,massango,46
129,AGO,DTP3,Angola,malanje,quela,26
130,AGO,DTP3,Angola,malanje,quirima,50
131,AGO,DTP3,Angola,moxico,altozambeze,472
132,AGO,DTP3,Angola,moxico,camanongue,121
133,AGO,DTP3,Angola,moxico,leua,216
134,AGO,DTP3,Angola,moxico,luacano,250
135,AGO,DTP3,Angola,moxico,luau,65
136,AGO,DTP3,Angola,moxico,luchazes,33
137,AGO,DTP3,Angola,moxico,lumbalanguimbo,241
138,AGO,DTP3,Angola,moxico,lumejecameia,250
139,AGO,DTP3,Angola,moxico,moxicoluena,111
140,AGO,DTP3,Angola,namibe,bibala,71
141,AGO,DTP3,Angola,namibe,camucuio,50
142,AGO,DTP3,Angola,namibe,namibe,48
143,AGO,DTP3,Angola,namibe,tombua,85
144,AGO,DTP3,Angola,namibe,virei,20
145,AGO,DTP3,Angola,uige,ambuila,99
146,AGO,DTP3,Angola,uige,bembe,83
147,AGO,DTP3,Angola,uige,buengas,53
148,AGO,DTP3,Angola,uige,bungo,94
149,AGO,DTP3,Angola,uige,cangola,82
150,AGO,DTP3,Angola,uige,damba,120
151,AGO,DTP3,Angola,uige,maqueladozombo,60
152,AGO,DTP3,Angola,uige,milunga,88
153,AGO,DTP3,Angola,uige,mucaba,84
154,AGO,DTP3,Angola,uige,negage,114
155,AGO,DTP3,Angola,uige,puri,101
156,AGO,DTP3,Angola,uige,quimbele,89
157,AGO,DTP3,Angola,uige,quitexe,93
158,AGO,DTP3,Angola,uige,sanzapombo,68
159,AGO,DTP3,Angola,uige,songo,124
160,AGO,DTP3,Angola,uige,uige,86
161,AGO,DTP3,Angola,zaire,cuimba,40
162,AGO,DTP3,Angola,zaire,mbanzacongo,44
163,AGO,DTP3,Angola,zaire,noqui,85
164,AGO,DTP3,Angola,zaire,nzeto,67
165,AGO,DTP3,Angola,zaire,soyo,45
166,AGO,DTP3,Angola,zaire,tomboco,53
167,BDI,DTP3,Burundi,bubanza,bubanza,91.86420102
168,BDI,DTP3,Burundi,bubanza,mpanda,128.8595725
169,BDI,DTP3,Burundi,bujumburamairie,zonecentre,71.4500901
170,BDI,DTP3,Burundi,bujumburamairie,zonenord,109.6721466
171,BDI,DTP3,Burundi,bujumburamairie,zonesud,98.46198187
172,BDI,DTP3,Burundi,bujumburarural,kabezi,76.49842482
173,BDI,DTP3,Burundi,bujumburarural,rwibaga,66.97786198
174,BDI,DTP3,Burundi,bujumburarural,isale,94.16030775
175,BDI,DTP3,Burundi,bururi,bururi,76.30562097
176,BDI,DTP3,Burundi,bururi,matana,62.46907688
177,BDI,DTP3,Burundi,cankuzo,cankuzo,94.96440096
178,BDI,DTP3,Burundi,cankuzo,murore,124.3589169
179,BDI,DTP3,Burundi,cibitoke,cibitoke,104.0198762
180,BDI,DTP3,Burundi,cibitoke,mabayi,104.4133507
181,BDI,DTP3,Burundi,gitega,gitega,97.23977302
182,BDI,DTP3,Burundi,gitega,kibuye,85.88981204
183,BDI,DTP3,Burundi,gitega,mutaho,86.93142257
184,BDI,DTP3,Burundi,gitega,ryansoro,77.64230693
185,BDI,DTP3,Burundi,karuzi,buhiga,91.88074626
186,BDI,DTP3,Burundi,karuzi,nyabikere,95.79488069
187,BDI,DTP3,Burundi,kayanza,gahombo,69.79556182
188,BDI,DTP3,Burundi,kayanza,kayanza,85.9865516
189,BDI,DTP3,Burundi,kayanza,musema,68.30234516
190,BDI,DTP3,Burundi,kirundo,busoni,80.16860027
191,BDI,DTP3,Burundi,kirundo,kirundo,86.38611769
192,BDI,DTP3,Burundi,kirundo,mukenke,99.522349
193,BDI,DTP3,Burundi,kirundo,vumbi,98.02907936
194,BDI,DTP3,Burundi,makamba,makamba,93.78442408
195,BDI,DTP3,Burundi,makamba,nyanzalac,100.9610312
196,BDI,DTP3,Burundi,muramvya,kiganda,73.50468694
197,BDI,DTP3,Burundi,muramvya,muramvya,86.14534263
198,BDI,DTP3,Burundi,muyinga,gashoho,111.2656467
199,BDI,DTP3,Burundi,muyinga,giteranyi,90.39277787
200,BDI,DTP3,Burundi,muyinga,muyinga,114.8257176
201,BDI,DTP3,Burundi,mwaro,fota,63.45915607
202,BDI,DTP3,Burundi,mwaro,kibumbu,68.30335263
203,BDI,DTP3,Burundi,ngozi,buye,77.16368346
204,BDI,DTP3,Burundi,ngozi,kiremba,92.95484238
205,BDI,DTP3,Burundi,ngozi,ngozi,84.55215568
206,BDI,DTP3,Burundi,rumonge,bugarama,96.07077169
207,BDI,DTP3,Burundi,rumonge,rumonge,110.2525081
208,BDI,DTP3,Burundi,rutana,gihofi,121.1024575
209,BDI,DTP3,Burundi,rutana,rutana,85.36364193
210,BDI,DTP3,Burundi,ruyigi,butezi,81.72945673
211,BDI,DTP3,Burundi,ruyigi,kinyinya,99.08515299
212,BDI,DTP3,Burundi,ruyigi,ruyigi,105.1802246
213,BEN,DTP3,Benin,alibori,banikoara,101.8545279
214,BEN,DTP3,Benin,alibori,gogounou,92.87518949
215,BEN,DTP3,Benin,alibori,kandi,95.56144419
216,BEN,DTP3,Benin,alibori,karimama,107.0693512
217,BEN,DTP3,Benin,alibori,malanville,100.5809859
218,BEN,DTP3,Benin,alibori,scgbana,100.0666667
219,BEN,DTP3,Benin,atacora,boukoumbe,117.1656687
