NAME.who,NAME.shpfile,NAME.who_adm1,vaccine,iso3,who_coverage,merge_status,GAUL_CODE
aau,aau,riograndedonorte,DTP1,BRA,93.76498801,success,50835
aau,aau,riograndedonorte,DTP3,BRA,74.2206235,success,50835
aau,aau,riograndedonorte,MCV1,BRA,90.88729017,success,50835
aaucena,aaucena,minasgerais,DTP1,BRA,118.75,success,48498
aaucena,aaucena,minasgerais,DTP3,BRA,121.875,success,48498
aaucena,aaucena,minasgerais,MCV1,BRA,110.4166667,success,48498
abadiadosdourados,abadiadosdourados,minasgerais,DTP1,BRA,91.54929577,success,48499
abadiadosdourados,abadiadosdourados,minasgerais,DTP3,BRA,90.14084507,success,48499
abadiadosdourados,abadiadosdourados,minasgerais,MCV1,BRA,97.18309859,success,48499
abaete,abaete,minasgerais,DTP1,BRA,87.30769231,success,48500
abaete,abaete,minasgerais,DTP3,BRA,75.76923077,success,48500
abaete,abaete,minasgerais,MCV1,BRA,74.23076923,success,48500
abaetetuba,abaetetuba,para,DTP1,BRA,87.236404,success,49570
abaetetuba,abaetetuba,para,DTP3,BRA,70.29226785,success,49570
abaetetuba,abaetetuba,para,MCV1,BRA,67.03662597,success,49570
abaiara,abaiara,ceara,DTP1,BRA,106.6666667,success,47772
abaiara,abaiara,ceara,DTP3,BRA,89.62962963,success,47772
abaiara,abaiara,ceara,MCV1,BRA,107.4074074,success,47772
abare,abare,bahia,DTP1,BRA,85.22012579,success,47357
abare,abare,bahia,DTP3,BRA,86.79245283,success,47357
abare,abare,bahia,MCV1,BRA,76.41509434,success,47357
abdonbatista,abdonbatista,santacatarina,DTP1,BRA,112.1212121,success,51565
abdonbatista,abdonbatista,santacatarina,DTP3,BRA,78.78787879,success,51565
abdonbatista,abdonbatista,santacatarina,MCV1,BRA,60.60606061,success,51565
abelardoluz,abelardoluz,santacatarina,DTP1,BRA,96.4664311,success,51566
abelardoluz,abelardoluz,santacatarina,DTP3,BRA,82.68551237,success,51566
abelardoluz,abelardoluz,santacatarina,MCV1,BRA,77.03180212,success,51566
abelfigueiredo,abelfigueiredo,para,DTP1,BRA,141,success,49571
abelfigueiredo,abelfigueiredo,para,DTP3,BRA,117,success,49571
abelfigueiredo,abelfigueiredo,para,MCV1,BRA,131,success,49571
abrecampo,abrecampo,minasgerais,DTP1,BRA,86.70886076,success,48501
abrecampo,abrecampo,minasgerais,DTP3,BRA,77.84810127,success,48501
abrecampo,abrecampo,minasgerais,MCV1,BRA,86.07594937,success,48501
abreuelima,abreuelima,pernambuco,DTP1,BRA,92.39344262,success,50335
abreuelima,abreuelima,pernambuco,DTP3,BRA,99.08196721,success,50335
abreuelima,abreuelima,pernambuco,MCV1,BRA,100.0655738,success,50335
acaiaca,acaiaca,minasgerais,DTP1,BRA,121.0526316,success,48502
acaiaca,acaiaca,minasgerais,DTP3,BRA,134.2105263,success,48502
acaiaca,acaiaca,minasgerais,MCV1,BRA,147.3684211,success,48502
acajutiba,acajutiba,bahia,DTP1,BRA,67.41573034,success,47358
acajutiba,acajutiba,bahia,DTP3,BRA,43.82022472,success,47358
acajutiba,acajutiba,bahia,MCV1,BRA,46.62921348,success,47358
acarape,acarape,ceara,DTP1,BRA,94.51476793,success,47774
acarape,acarape,ceara,DTP3,BRA,101.6877637,success,47774
acarape,acarape,ceara,MCV1,BRA,100,success,47774
acarau,acarau,ceara,DTP1,BRA,106.3212435,success,47773
acarau,acarau,ceara,DTP3,BRA,107.4611399,success,47773
acarau,acarau,ceara,MCV1,BRA,107.8756477,success,47773
acari,acari,riograndedonorte,DTP1,BRA,79.59183673,success,50836
acari,acari,riograndedonorte,DTP3,BRA,70.06802721,success,50836
acari,acari,riograndedonorte,MCV1,BRA,70.06802721,success,50836
acaua,acaua,piaui,DTP1,BRA,110.3448276,success,50520
acaua,acaua,piaui,DTP3,BRA,105.7471264,success,50520
acaua,acaua,piaui,MCV1,BRA,80.45977011,success,50520
acopiara,acopiara,ceara,DTP1,BRA,90.01584786,success,47775
acopiara,acopiara,ceara,DTP3,BRA,75.27733756,success,47775
acopiara,acopiara,ceara,MCV1,BRA,93.81933439,success,47775
acorizal,acorizal,matogrosso,DTP1,BRA,115.8730159,success,49351
acorizal,acorizal,matogrosso,DTP3,BRA,98.41269841,success,49351
acorizal,acorizal,matogrosso,MCV1,BRA,63.49206349,success,49351
acreuna,acreuna,goias,DTP1,BRA,93.83561644,success,48037
acreuna,acreuna,goias,DTP3,BRA,79.79452055,success,48037
acreuna,acreuna,goias,MCV1,BRA,92.80821918,success,48037
adamantina,adamantina,saopaulo,DTP1,BRA,78.47769029,success,51858
adamantina,adamantina,saopaulo,DTP3,BRA,67.71653543,success,51858
adamantina,adamantina,saopaulo,MCV1,BRA,76.37795276,success,51858
adolfo,adolfo,saopaulo,DTP1,BRA,78.57142857,success,51859
adolfo,adolfo,saopaulo,DTP3,BRA,62.5,success,51859
adolfo,adolfo,saopaulo,MCV1,BRA,89.28571429,success,51859
adrianopolis,adrianopolis,parana,DTP1,BRA,118.8405797,success,49937
adrianopolis,adrianopolis,parana,DTP3,BRA,121.7391304,success,49937
adrianopolis,adrianopolis,parana,MCV1,BRA,82.60869565,success,49937
adustina,adustina,bahia,DTP1,BRA,80.45977011,success,47359
adustina,adustina,bahia,DTP3,BRA,71.83908046,success,47359
adustina,adustina,bahia,MCV1,BRA,68.96551724,success,47359
afogadosdaingazeira,afogadosdaingazeira,pernambuco,DTP1,BRA,77.94793262,success,50338
afogadosdaingazeira,afogadosdaingazeira,pernambuco,DTP3,BRA,69.37212864,success,50338
afogadosdaingazeira,afogadosdaingazeira,pernambuco,MCV1,BRA,79.63246554,success,50338
afonsobezerra,afonsobezerra,riograndedonorte,DTP1,BRA,81.14754098,success,50838
afonsobezerra,afonsobezerra,riograndedonorte,DTP3,BRA,67.21311475,success,50838
afonsobezerra,afonsobezerra,riograndedonorte,MCV1,BRA,71.31147541,success,50838
afonsocunha,afonsocunha,maranhao,DTP1,BRA,167.2566372,success,48283
afonsocunha,afonsocunha,maranhao,DTP3,BRA,128.3185841,success,48283
afonsocunha,afonsocunha,maranhao,MCV1,BRA,110.619469,success,48283
agrestina,agrestina,pernambuco,DTP1,BRA,100.5617978,success,50340
agrestina,agrestina,pernambuco,DTP3,BRA,88.76404494,success,50340
agrestina,agrestina,pernambuco,MCV1,BRA,116.8539326,success,50340
agronomica,agronomica,santacatarina,DTP1,BRA,122.2222222,success,51572
agronomica,agronomica,santacatarina,DTP3,BRA,124.0740741,success,51572
agronomica,agronomica,santacatarina,MCV1,BRA,96.2962963,success,51572
aguanil,aguanil,minasgerais,DTP1,BRA,84.90566038,success,48507
aguanil,aguanil,minasgerais,DTP3,BRA,73.58490566,success,48507
aguanil,aguanil,minasgerais,MCV1,BRA,75.47169811,success,48507
agudo,agudo,riograndedosul,DTP1,BRA,93.20987654,success,51005
agudo,agudo,riograndedosul,DTP3,BRA,87.03703704,success,51005
agudo,agudo,riograndedosul,MCV1,BRA,106.1728395,success,51005
agudos,agudos,saopaulo,DTP1,BRA,108.9494163,success,51869
agudos,agudos,saopaulo,DTP3,BRA,101.5564202,success,51869
agudos,agudos,saopaulo,MCV1,BRA,85.40856031,success,51869
agudosdosul,agudosdosul,parana,DTP1,BRA,116.6666667,success,49939
agudosdosul,agudosdosul,parana,DTP3,BRA,105.2631579,success,49939
agudosdosul,agudosdosul,parana,MCV1,BRA,75.43859649,success,49939
aguiar,aguiar,paraiba,DTP1,BRA,95.45454545,success,49714
aguiar,aguiar,paraiba,DTP3,BRA,93.93939394,success,49714
aguiar,aguiar,paraiba,MCV1,BRA,106.0606061,success,49714
aguiarnopolis,aguiarnopolis,tocantins,DTP1,BRA,21.25,success,52579
aguiarnopolis,aguiarnopolis,tocantins,DTP3,BRA,13.75,success,52579
aguiarnopolis,aguiarnopolis,tocantins,MCV1,BRA,6.25,success,52579
aimores,aimores,minasgerais,DTP1,BRA,95.29780564,success,48508
aimores,aimores,minasgerais,DTP3,BRA,95.29780564,success,48508
aimores,aimores,minasgerais,MCV1,BRA,84.01253918,success,48508
aiquara,aiquara,bahia,DTP1,BRA,95.83333333,success,47362
aiquara,aiquara,bahia,DTP3,BRA,66.66666667,success,47362
aiquara,aiquara,bahia,MCV1,BRA,47.91666667,success,47362
aiuaba,aiuaba,ceara,DTP1,BRA,94.23076923,success,47776
aiuaba,aiuaba,ceara,DTP3,BRA,91.02564103,success,47776
aiuaba,aiuaba,ceara,MCV1,BRA,81.41025641,success,47776
aiuruoca,aiuruoca,minasgerais,DTP1,BRA,141.8604651,success,48509
aiuruoca,aiuruoca,minasgerais,DTP3,BRA,109.3023256,success,48509
aiuruoca,aiuruoca,minasgerais,MCV1,BRA,113.9534884,success,48509
ajuricaba,ajuricaba,riograndedosul,DTP1,BRA,96.72131148,success,51006
ajuricaba,ajuricaba,riograndedosul,DTP3,BRA,111.4754098,success,51006
ajuricaba,ajuricaba,riograndedosul,MCV1,BRA,118.0327869,success,51006
alagoa,alagoa,minasgerais,DTP1,BRA,64.28571429,success,48511
alagoa,alagoa,minasgerais,DTP3,BRA,92.85714286,success,48511
alagoa,alagoa,minasgerais,MCV1,BRA,60.71428571,success,48511
alagoagrande,alagoagrande,paraiba,DTP1,BRA,112.3626374,success,49715
